;Island Nation; Island Area (km2); Coastline Length (km); Number Of Islands; 
0; Bahamas; 13,940; 3,542; 700;
1;Fiji; 18,274; 11,292; 332;
2;Indonesia; 1,910,931; 54,716; 17,508;
3;Japan; 377,975; 29,751; 6,852;
4;Madagascar; 587,041; 4,828; 1;
5;New Zealand; 268,680; 15,134; 704;
6;Philippines; 300,000; 36,289; 7,107;
7;Sri Lanka; 65,610; 1,340; 1;
8;United Kingdom; 242,495; 12,429; 1;
9;United States (Hawaii); 16,635; 2,460; 137.</s>;
10; Philippines; 300,000; 36,289; 7,641;
11;Indonesia; 1,919,440; 54,716; 17,508;
12;New Zealand; 268,021; 15,134; 772;
13;Papua New Guinea; 462,840; 5,152; 6,000;
14;Bahamas; 13,880; 3,542; 700;
15;Ireland; 84,421; 3,171; 1;
16;Cuba; 110,860; 3,735; 1;
17;Maldives; 300; 644; 1,192;</s>
18;New Zealand; 268,838; 15,134; 2;
19;United Kingdom; 242,495; 12,429; 14;
20;Bahamas; 13,880; 3,598; 700;
21;Papua New Guinea; 462,840; 5,152; 600;
22;Iceland; 103,000; 4,970; 1;</s>
23; Philippines; 300,00</s>;;;
24; Japan; 377,975; 29,751; 6,852;
25;Ireland; 84,421; 1,448; 1;
26;New Zealand; 268,021; 15,134; 2;
27;Bahamas; 13,880; 3,592; 700;
28;Hawaii (USA); 16,625; 1,228; 8;
29;United Kingdom; 242,495; 12,429; 1,000;
30;Ireland; 84,421; 5,432; 800;
31;Sri Lanka; 65,610; 1,340; 1,200;
32;Madagascar; 587,041; 4,828; 5;
33;Cuba; 110,860; 3,735; 4;
34;Borneo (Indonesia, Malaysia, Brunei); 743,330; 4,675; 3;</s>
35;Sri Lanka; 65,610; 1,340; 84,000;
36;British Isles; 315,159; 19,885; 6,289;
37;Philippines; 300,000; 36,289; 7,641;
38;New Zealand; 268,680; 15,134; 2;
39;Iceland; 103,000; 4,970; 1;
40;Irish Islands; 84,421; 5,473; 8;
41;Hawaiian Islands; 16,625; 1,208; 137;
42;Canary Islands (Spain); 7,492; 1,580; 7;</s>
