;Peak Position; Weeks On Chart; Production Company; Music Video Director; Movie or Show (if featured as soundtrack); Episode Number (for TV show features); Conductor; Orchestra Name; Marketing and Sales - Digital Platform Streaming Count; Physical Copies Sold; *Billboard* Hot 100 Peak; US Streamings Weekly Summit Percentage; Global Download Chart Leader Board Place
0;"  ""1"; 12; Universal Music Group; Hannah Lux Davis; Never Be The Same; -; Esa-Pekka Salonen; Philharmonia Orchestra; 150,000,000; 500,000; 6; 3.5%;" 1"""
1;" ""2"; 10; Sony Music Entertainment; Colin Tilley; This Is Me; 3; Gustavo Dudamel; Los Angeles Philharmonic; 120,000,000; 200,000; 9; 2.9%;" 5"""
2;" ""3"; 8; Warner Music Group; Dave Meyers; All The Stars; -; Jules Buckley; Heritage Orchestra; 175,000,000; 350,000; 4; 4.3%;" 2"""
3;" ""4"; 15; Atlantic Records; Hiro Murai; SAD!; -; Jae Jin In; London Symphony Orchestra; 90,000,000; 100,000; 18; 1.8%;" 12"""
4;" ""5"; 9; Capitol Music Group; Ava DuVernay; I Will Always Love You; -; Grant Williams; Royal Philharmonic Orchestra; 200,000,000; 750,000; 1; 5.8%;" 3"""
5;" ""6"; 7; Island Records; Melina Matsoukas; Formation; -; André de Ridder; Konzerthausorchester Berlin; 110,000,000; 450,000; 7; 2.6%;" 6"""
6;" ""7"; 11; Republic Records; Spike Jonze; HUMBLE; -; Damon Riddick; The Dap-Kings; 185,000,000; 650,000; 3; 2.9%;" 8"""
7;" ""8"; 10; RCA Records; Jake Schreier; Location; 2; Alondra de la Parra; Mexican Radio Orchestra; 85,000,000; 200,000; 12; 2.5%;" 9"""
8;" ""9"; 14; Columbia Records; video not officially released; God's Plan; -; Michael Tilson Thomas; San Francisco Symphony; 210,000,000; 800,000; 1; 6.1%;" 4"""
9;" ""10"; 16; Def Jam Recordings; Kahlil Joseph; LOVE.; 4; Jeff Lynne; The Royal Orchestra; 125,000,000; 600,000; 23; 1.7%;" 7""</s>"
