;Island Nation; Oceanic Region; Number Of Islands; Coastline Length (km); Underwater Terrains; Volcanism Information; Marine Life Richness; Endemic Flora & Fauna; Internet TLD; National Animal
0;  Bahamas; Atlantic Ocean; over 700 Islands; 2,200 km; Coral Reefs, Blue Holes; Active underwater volcanoes; High marine life richness; Many endemic species; .bs; Black Swallowtail Butterfly
1; Iceland; North Atlantic Ocean; 1 Island; 4,970 km; Mid-Atlantic Ridge; High volcanic activity; Rich marine life; Some endemic species; .is; Icelandic Horse
2; Indonesia; Pacific & Indian Oceans; 17,508 Islands; 54,720 km; Deep trenches, diverse seafloor features; Numerous active volcanoes; Extremely high marine life richness; Many endemic species; .id; Komodo Dragon
3; Philipines; Pacific Ocean; 7,641 Islands; 36,289 km; Trenches, seamounts, coral reefs; Significant volcanic activity; High marine life richness; Many endemic species; .ph; Philippine Eagle
4; Japan; Pacific Ocean; 6,852 Islands; 29,751 km; Trenches, seamounts, volcanic rocks; High volcanic activity; Rich marine life; Some endemic species; .jp; Japanese Macaque
5; Seychelles; Indian Ocean; 115 Islands; 491 km; Plateaus, banks, atolls; No significant volcanic activity; High marine life richness; Many endemic species; .sc; Coconut Crab
6; New Zealand; Pacific & Tasman Seas; 2 main Islands, several smaller ones; 15,134 km; Trenches, seamounts, continental fragments; Volcanic activity (mainly North Island); High marine life richness; Many endemic species; .nz; Kiwi Bird
7; Maldives; Indian Ocean; 1,190 Islands; 1,300 km; Atolls, reefs, banks; No significant volcanic activity; Rich marine life; Many endemic species; .mv; Dhondra Kulhi Bangarama (Manta Ray)
8; Cuba; Atlantic Ocean & Caribbean Sea; 1 Island; 3,735 km; Seamounts, banks, knolls; No significant volcanic activity; High marine life richness; Many endemic species; .cu; Cuban Hutia
9; Mauritius; Indian Ocean; 2 Islands; 177 km; Seamounts, oceanic plateaus; No significant volcanic activity; High marine life richness; Many endemic species; .mu; Dodo (Extinct - now official National Bird, Pink Pigeon)</s>
10;  Seychelles; Indian Ocean; 115 Islands; 491 km; Mid-ocean ridges, banks; Some volcanic activity; High marine life richness; Many endemic species; .sc; Coco de Mer
