;Equipment Used;File Name;Date Taken;Shutter Speed;Aperture Value;Focal Length;Flash;Lens Type;Manufacturer Model;Copyright Info;Location Description;Exposure Program;Sensing Method;Custom Rendered;White Balance;Scene Capture Type
0;" ""Nikon D850";DSC\_1234;08/15/2021;1/2000;f/4.5;200mm;Did not fire;Telephoto;Nikkor 200-500mm f/5.6E ED VR;(c) John Doe;Central Park, NYC;Manual;Negative film;Custom;Auto;"Standard"" "
1;"""Canon EOS 5D Mark IV";5DMarkIV\_001;09/01/2021;1/125;f/8;35mm;Did not fire;Standard;Canon EF 35mm f/1.4L II USM;(c) Jane Smith;Times Square, NYC;Aperture priority;Monochrome;Standard;Auto;"Standard"" "
2;"""Sony A7R IV";A7R4\_ABCDE;08/30/2021;1/640;f/5.6;100mm;Did not fire;Macro;Sony FE 90mm f/2.8 Macro G OSS;(c) Alex Nguyen;Botanical Garden, NYC;Manual;Color;Standard;Manual;"Daylight"" "
3;"""Fujifilm X-T4";XT4\_123;09/05/2021;1/250;f/8;56mm;Did not fire;Portrait;Fujinon XF56mmF1.2 R;(c) Sarah Lee;Central Park, NYC;Program;Color;Standard;Auto;"Fluorescent"" "
4;"""Nikon Z6";Z6\_001;08/28/2021;1/500;f/5.6;24-70mm;Did not fire;Standard;Nikkor Z 24-70mm f/4 S;(c) Mike Johnson;Brooklyn Bridge, NYC;Shutter priority;Color;Standard;Auto;"Daylight"" "
5;"""Canon EOS R6";EOSR6\_456;09/10/2021;1/1000;f/2.8;85mm;Did not fire;Portrait;Canon RF 85mm f/1.2L USM;(c) Emily Chen;Central Park, NYC;Manual;Color;Standard;Manual;"Flash"" "
6;"""Sony A1";A1\_7890;08/22/2021;1/160;f/8;70-200mm;Did not fire;Telephoto;Sony FE 70-200mm f/2.8 GM OSS;(c) Daniel Park;Metropolitan Museum of Art, NYC;Aperture priority;Color;Standard;Auto;"Manual"" "
7;"""Panasonic Lumix S1R";S1R\_321;09/15/2021;1/200;f/5.6;150mm;Did not fire;Telephoto;Leica DG Vario-Elmarit 100-400mm f/4-6.3 ASPH.;(c) Jessica Taylor;Central Park Zoo, NYC;Program;Color;Standard;Auto;"Daylight"" "
8;"""Olympus OM-D E-M1 Mark III";OMD\_EM1M3\_098;08/31/2021;1/320;f/8;12-40mm;Did not fire;Standard;M.Zuiko Digital ED 12-40mm f/2.8 PRO;(c) William Thompson;Statue of Liberty, NYC;Shutter priority;Color;Standard;Auto;"Auto"" "
9;"""Pentax K-1 Mark II";PENTAX\_K1II\_765;09/07/2021;1/50;f/16;28-105mm;Did not fire;Standard;HD PENTAX-D FA 28-105mm f/3.5-5.6 ED DC WR;(c) Rebecca Kim;Top of the Rock, NYC;Manual;Color;Standard;Manual;"Auto"".</s>"
