;ArrowheadShape; CulturalAffiliation; PotteryDesignPattern; SoilComposition; SampleSizeStudied; RadiocarbonDatingResults; DendrochronologyMethodUsed; GeophysicsSurveyMethodUtilized; PetroglyphIconographyInterpretation; StratigraphyLayerClassification; PaleoethnobotanyDataCollected; ExperimentalReconstructionOutcome; EthnoarchaeologyFindings; ComparativeEthnicityResearch; PublicEngagementActivities
0;  Triangular; Clovis; SimpleSpiral; SandyLoam; 500; 11000-10500 BC; CoreSample; ResistivitySurvey; HuntingScenes; C-Layer; WildGrainsPollen; Successful; ModernHuntingPracticesComparison; PlainsIndiansResearch; ArchaeologicalFieldschool
1; Leaf-shaped; Hopewell; GeometricComplicated; ClayLoam; 300; 2000-1500 BC; TreeRingsMatch; GroundPenetratingRadar; SpiritualMotifs; B-Horizon; DomesticatedCornPollen; Unsuccessful; AgriculturalLifestyleComparison; FarmingCommunitiesStudy; EasternWoodlandsCulturesResearch  LocalMuseumExhibit
2; Pointed; Olmec; AbstractGeometric; SiltLoam; 800; 1500-500 BC; AMSDating; Magnetometry; SupernaturalIcons; E-Zone; CacaoResidue; Inconclusive; CeremonialStructuresAnalysis; MesoamericanCivilizationsResearch; EducationalOutreachProgram
3; Rounded; Inca; NaturalisticCountryside; RockyLoam; 700; 1400-1500 AD; AcceleratorMassSpec; ElectricalResistivity; DeityRepresentations; F-Layer; PotatoStarchResidue; Successful; AndeanAgricultureComparison; Pre-ColumbianCulturesStudy; ArchaeologicalDocumentary
4; Elongated; AncestralPueblo; PuebloStyle; SandyClay; 1000; 500-1300 AD; RadiometricDating; GroundPenetratingRadar; CommunityDesign; G-Zone; CottonResidue; Successful; SouthwesternArchitectureAnalysis; NativeAmericanCulturesResearch; CommunityArchaeologyProject
5; Notched; Aztec; FloralStylized; Clay; 1500; 1400-1500 AD; LuminescenceDating; ElectromagneticInduction; ReligiousSymbols; H-Horizon; MaizePollen; Successful; AgriculturalPracticesAnalysis; CentralMexicoCivilizationsStudy; SchoolVisit
6; Barbed; Maya; CalligraphicLines; LoamySand; 400; 250-900 AD; RadiocarbonDating; GroundProbingRadar; CosmologicalMotifs; I-Zone; BeanResidue; Successful; FoodProductionMethodsComparison; LowlandMayaCulturesResearch; ArchaeologicalSiteGuidedTour
7; Stemmed; Harappan; Geometric; Sandy; 3000; 2600-1900 BC; C14Dating; Magnetometry; MythologicalCreatures; J-Horizon; WheatResidue; Successful; IndusValleyCivilizationAnalysis; SouthAsianCulturesResearch; CulturalExchangeSeminar
8; Shouldered; Moche; SymbolicRepresentations; SiltyClay; 600; 100-700 AD; TreeRingDating; ElectricalResistivity; WarfareImagery; K-Layer; SquashResidue; Successful; AgriculturalTechniquesComparison; PeruvianPre-IncaCulturesResearch; StudentResearchInternship
9; Basal-notched; Zapotec; Animalistic; Loamy; 900; 500 BC-800 AD; AMSDating; GroundPenetratingRadar; AnimalSymbols; L-Zone; TomatoResidue; Successful; AgriculturalSystemsAnalysis; OaxacanCulturesResearch; CommunityLecture.</s>
