;Song Key; Audio Quality; Peak Chart Position; Total Streaming Count; Additional Producers; Collaborating Artists; Original Soundtrack Of; Remixed From
0; C Sharp; High Definition Audio; #1 on Billboard Hot 100; 120 Million Streams; Mike Dean, Rick Rubin; None; The Great Gatsby (Original Motion Picture Soundtrack); None
1;A Minor; Lossless Audio; #5 on UK Singles Chart; 80 Million Streams; Max Martin, Shellback; Ariana Grande; Sweetener; None
2;D Major; CD Quality; #3 on ARIA Charts; 50 Million Streams; Greg Kurstin; Sia, Sean Paul; Cheap Thrills; None
3;E Flat Major; High Quality MP3; #2 on Dutch Top 40; 65 Million Streams; Martin Garrix, Giorgio Tuinfort; Troye Sivan; Strawberries & Cigarettes; None
4;F Major; Master Quality Authenticated; #1 on Global Top 50; 200 Million Streams; Benny Blanco, Cashmere Cat, Kanye West; The Weeknd; I Feel It Coming; None
5;G Sharp Minor; High Resolution Audio; #6 on France Singles Chart; 70 Million Streams; DJ Snake, Yellow Claw; Elliphant; Within; None
6;A Flat Major; Standard Audio; #4 on Canadian Hot 100; 100 Million Streams; Nineteen85, Jordan Evans, Matthew Samuels; Drake; One Dance; None
7;B Major; High Quality MQA; #8 on German Singles Chart; 40 Million Streams; Mark Ronson, Thomas Brenneck; Bruno Mars; Uptown Funk; None
8;C Minor; Studio Master Quality; #9 on Swiss Singles Chart; 35 Million Streams; Timbaland, Jerome Harmon, Daniel Jones; Justin Timberlake; Suit & Tie; None
9;E Major; CD-Quality; #10 on Norway Singles Chart; 45 Million Streams; Stargate, Tom Hull; Ne-Yo, Sia; Let Me Love You (Until You Learn to Love Yourself); None</s>
