;Periodic Timeline; Geographical Distribution; Social Impact; Critical Reception; Adaptations; Intertextuality; Parodies & Satires; Awards Won; Influence On Other Works; Subgenres Spawned; Visual Art Representations.
0;  Renaissance Period; Europe (primarily Italy); Revival of interest in humanism and the arts; Praised for realistic depictions and emphasis on individualism; Numerous retellings of classical myths and legends; Incorporation of classical themes and motifs in later works;" Giorgione's ""The Tempest"" and Botticelli's ""The Birth of Venus""";" Multiple plays by Shakespeare win the ""Laurel Crown"" award"; Influenced Romantic literature; Pastoral and heroic poetry.;
1; Enlightenment Age; France, England, and Germany; Emphasis on reason, individuality, and progress; Often critiqued societal norms and institutions;" Voltaire's ""Candide"" and Jonathan Swift's ""Gulliver's Travels""";" ""The Rape of the Lock"" by Alexander Pope"; None directly awarded, but recognized as influential; Influenced Realism; Epistolary novels and philosophical treatises.;;
2; Romantic Period; Europe (especially England and Germany); Emphasis on emotion, imagination, and the beauty of nature; Often rebellious towards industrialization and rationalism;" ""Wuthering Heights"" by Emily Bronte and ""Frankenstein"" by Mary Shelley";" Lord Byron's ""Don Juan"" and Percy Bysshe Shelley's ""Adonais"""; None specifically, but many authors received acclaim; Inspired Gothic literature; Poetry with supernatural elements.;;
3; Victorian Era; England; Exploration of social issues, such as class conflict and moral hypocrisy; Often serious and somber in tone;" Charles Dickens' ""Bleak House"" and George Eliot's ""Middlemarch""";" Alfred Lord Tennyson's ""In Memoriam A.H.H."" and Robert Browning's ""The Ring and the Book"""; Several Booker Prize and Costa Book Award winners; Led to Naturalism; Detailed narratives about everyday life.;;
4; Modernist Period; Global (esp. Europe and North America); Rejection of traditional narrative structures and themes; Emphasis on introspection and psychological complexity;" James Joyce's ""Ulysses"" and Virginia Woolf's ""Mrs. Dalloway""";" T.S. Eliot's ""The Waste Land"" and Ezra Pound's ""Hugh Selwyn Mauberley"""; Numerous Nobel and Pulitzer Prize winners; Birthed Postmodernism; Metafictional and experimental styles.;;
5; Postmodern Period; Global (esp. USA and Western Europe); Further break down of narrative structures and themes; Incorporation of parody and irony;" Thomas Pynchon's ""Gravity's Rainbow"" and Don DeLillo's ""White Noise""";" Samuel Beckett's ""Waiting for Godot"" and Kurt Vonnegut's ""Slaughterhouse-Five"""; Many Man Booker and National Book Award winners; Led to Magical Realism; Blending of fantastical elements with reality.;;
6; Contemporary Period; Global (esp. emerging economies); Exploration of diverse themes, including race, gender, and sexuality; Often politically engaged and socially conscious;" Chimamanda Ngozi Adichie's ""Half of a Yellow Sun"" and Mohsin Hamid's ""The Reluctant Fundamentalist""";" Jhumpa Lahiri's ""Interpreter of Maladies"" and Marlon James' ""A Brief History of Seven Killings"""; Man Booker, Pulitzer, and Women's Prize for Fiction winners; Emergence of Multicultural literature; Stories reflecting a variety of cultural experiences.;;
7; American Golden Age of Detective Fiction; USA; Emphasis on logical reasoning and puzzle-solving; Often formulaic in structure;" Dashiell Hammett's ""The Maltese Falcon"" and Raymond Chandler's ""The Big Sleep"""; Several Ellery Queen's Mystery Magazine awards; Influenced Film Noir; Hard-boiled detective stories.;;;
8; Latin American Boom; Latin America (esp. Argentina, Brazil, and Cuba); Emphasis on magical realism and exploration of national identity; Often politically charged;" Gabriel Garcia Marquez's ""One Hundred Years of Solitude"" and Jorge Luis Borges' ""Labyrinths"""; Several Premio Nadal and Premio Planeta awards; Led to Magic Realism; Blend of fantastical and mundane.;;;
9; Science Fiction New Wave; Global (esp. UK and USA); Experimental storytelling and emphasis on social and philosophical themes; Often genre-blending;" Philip K. Dick's ""Do Androids Dream of Electric Sheep?"" and Ursula K. Le Guin's ""The Dispossessed"""; Nebula, Hugo, and Locus Awards; Influenced Cyberpunk; Exploration of technological and societal change.</s>;;;
