;Renewable\_Energy\_Contribution;Recycling\_Rate;Energy\_Efficiency\_Index;Waste\_Generation\_per\_Capita;Carbon\_Emissions\_per\_Capita;Number\_of\_Green\_Spaces;Species\_Protection\_Laws;Climate\_Change\_Vulnerability\_Index;Public\_Transportation\_Usage;Sustainable\_Agriculture\_Practices
0; 5%; 60%; 85; 0.5 kg/day; 10 tonnes/year; 12; Yes, strong laws; 0.65; 45%; 90% organic farming
1;6%; 70%; 78; 0.7 kg/day; 12 tonnes/year; 8; Moderate laws, needs improvement; 0.75; 30%; 60% sustainable practices
2;10%; 85%; 92; 0.4 kg/day; 8 tonnes/year; 25; Strong laws, consistently enforced; 0.55; 60%; 80% permaculture
3;12%; 65%; 65; 0.8 kg/day; 15 tonnes/year; 5; Weak laws, needs reform; 0.85; 15%; 30% biodynamic farming
4;4%; 90%; 88; 0.3 kg/day; 7 tonnes/year; 30; Strong laws, consistently enforced; 0.5; 50%; 70% sustainable practices
5;7%; 75%; 80; 0.6 kg/day; 11 tonnes/year; 10; Moderate laws, some enforcement; 0.6; 35%; 50% organic farming
6;9%; 55%; 70; 0.9 kg/day; 14 tonnes/year; 7; Weak laws, needs reform; 0.9; 20%; 40% biodynamic farming
7;5%; 80%; 90; 0.45 kg/day; 9 tonnes/year; 15; Strong laws, inconsistently enforced; 0.58; 40%; 85% sustainable practices
8;11%; 60%; 72; 0.75 kg/day; 13 tonnes/year; 6; Moderate laws, needs improvement; 0.72; 25%; 60% organic farming
9;8%; 78%; 84; 0.55 kg/day; 10 tonnes/year; 9; Strong laws, consistently enforced; 0.62; 45%; 90% permaculture</s>
10;12%; 85%; 88; 0.40 kg/day; 8 tonnes/year; 20; Strong laws, consistently enforced; 0.55; 55%; 80% agroforestry
11;15%; 70%; 92; 0.60 kg/day; 12 tonnes/year; 12; Moderate laws, needs improvement; 0.76; 30%; 70% sustainable intensification
12;10%; 75%; 86; 0.50 kg/day; 9 tonnes/year; 18; Strong laws, consistently enforced; 0.65; 48%; 88% biodynamic agriculture
13;13%; 82%; 89; 0.42 kg/day; 7 tonnes/year; 16; Strong laws, inconsistently enforced; 0.52; 52%; 95% wildlife-friendly farming
14;14%; 65%; 77; 0.78 kg/day; 14 tonnes/year; 7; Moderate laws, needs improvement; 0.81; 28%; 65% regenerative agriculture
15;16%; 90%; 95; 0.35 kg/day; 6 tonnes/year; 25; Strong laws, consistently enforced; 0.49; 60%; 75% conservation agriculture
16;9%; 73%; 82; 0.62 kg/day; 11 tonnes/year; 10; Strong laws, inconsistently enforced; 0.68; 42%; 82% ecological farming
17;17%; 77%; 87; 0.48 kg/day; 8 tonnes/year; 14; Strong laws, consistently enforced; 0.57; 57%; 95% holistic management
18;18%; 88%; 93; 0.38 kg/day; 7 tonnes/year; 22; Moderate laws, needs improvement; 0.50; 58%; 80% natural farming
19;19%; 68%; 75; 0.80 kg/day; 15 tonnes/year; 8; Strong laws, inconsistently enforced; 0.84; 35%; 70% organic farming</s>
20; 20%; 92%; 97; 0.25 kg/day; 6 tonnes/year; 30; Robust laws and enforcement; 0.42; 65%; 98% permaculture
21;16%; 84%; 89; 0.52 kg/day; 9 tonnes/year; 16; Strict laws but enforcement lacking; 0.61; 42%; 85% biodynamic farming
22;15%; 73%; 79; 0.63 kg/day; 11 tonnes/year; 12; Weak laws, rarely enforced; 0.75; 28%; 60% sustainable farming
23;21%; 95%; 96; 0.18 kg/day; 5 tonnes/year; 35; Rigorous laws, consistently enforced; 0.38; 70%; 99% agroecology
24;14%; 65%; 72; 0.92 kg/day; 17 tonnes/year; 6; Poor laws, sporadically enforced; 0.96; 22%; 55% conventional farming
25;22%; 98%; 99; 0.12 kg/day; 4 tonnes/year; 40; Extensive laws and strict enforcement; 0.26; 75%; 90% regenerative farming
26;13%; 60%; 66; 1.05 kg/day; 20 tonnes/year; 4; Minimal laws, rarely enforced; 1.20; 15%; 40% monoculture
27;23%; 99%; 99; 0.10 kg/day; 3 tonnes/year; 45; Comprehensive laws and strong enforcement; 0.19; 82%; 90% sustainable pastoralism
28;12%; 55%; 63; 1.20 kg/day; 22 tonnes/year; 2; Limited laws, weakly enforced; 1.35; 10%; 35% factory farming
29;17%; 85%; 88; 0.42 kg/day; 7 tonnes/year; 20; Robust laws, improving enforcement; 0.55; 60%; 90% ecological farming</s>
30;25%; 90%; 92; 0.25 kg/day; 5 tonnes/year; 50; Strict laws and strict enforcement; 0.32; 70%; 80% organic farming
31;10%; 70%; 75; 1.03 kg/day; 18 tonnes/year; 10; Limited laws, poorly enforced; 1.17; 15%; 25% industrial farming
32;20%; 80%; 85; 0.55 kg/day; 8 tonnes/year; 30; Comprehensive laws, somewhat enforced; 0.65; 55%; 70% sustainable farming
33;15%; 95%; 96; 0.15 kg/day; 4 tonnes/year; 60; Strict laws and strict enforcement; 0.23; 85%; 95% permaculture
34;18%; 65%; 70; 0.90 kg/day; 15 tonnes/year; 15; Limited laws, poorly enforced; 1.41; 20%; 45% intensive farming
35;13%; 98%; 98; 0.08 kg/day; 2 tonnes/year; 70; Comprehensive laws, strictly enforced; 0.12; 90%; 98% biodynamic farming
36;19%; 82%; 84; 0.38 kg/day; 6 tonnes/year; 25; Robust laws, improving enforcement; 0.47; 65%; 85% sustainable livestock farming
37;11%; 75%; 80; 0.75 kg/day; 12 tonnes/year; 20; Comprehensive laws, somewhat enforced; 0.98; 35%; 55% extensive farming
38;21%; 93%; 94; 0.18 kg/day; 3 tonnes/year; 55; Strict laws and strict enforcement; 0.21; 75%; 85% urban farming
39;16%; 92%; 93; 0.12 kg/day; 3 tonnes/year; 40; Robust laws, strictly enforced; 0.17; 95%; 90% agroecology.</s>
40;25%; 88%; 91; 0.35 kg/day; 5 tonnes/year; 35; Comprehensive laws, fairly enforced; 0.56; 65%; 70% organic farming
41;18%; 95%; 96; 0.10 kg/day; 2 tonnes/year; 60; Strict laws and strict enforcement; 0.10; 80%; 88% permaculture
42;22%; 65%; 70; 0.90 kg/day; 15 tonnes/year; 10; Comprehensive laws, somewhat enforced; 0.78; 25%; 30% extensive farming
43;19%; 82%; 85; 0.22 kg/day; 4 tonnes/year; 45; Robust laws, strictly enforced; 0.34; 70%; 75% urban farming
44;28%; 97%; 98; 0.05 kg/day; 1 tonnes/year; 70; Strict laws and strict enforcement; 0.08; 90%; 95% agroecology
45;13%; 78%; 81; 1.05 kg/day; 18 tonnes/year; 15; Comprehensive laws, somewhat enforced; 0.89; 20%; 25% extensive farming
46;24%; 85%; 87; 0.30 kg/day; 6 tonnes/year; 50; Robust laws, strictly enforced; 0.45; 60%; 65% organic farming
