;"""City Name""";"""Metro Pop.""";" ""Timezone""";" ""CountryName""";" ""Continent""";" ""State or Province""";" ""Mean Elevation""";" ""Main Industry(ies)""";" ""Currency""";" ""Currency Code""";" ""Phone Prefix""+(""country code"")"
0;" ""Santiago""";"""7046000""";"""UTC-4/-3""";"""Chile""";"""South America""";"""Santiago Metropolitan Region""";"""567 meters""";"""Manufacturing, mining, services""";"""Chilean Peso""";"""CLP""";"""56+2""+"
1;"""Beijing""";"""21540000""";"""UTC+8""";"""China""";"""Asia""";"""Beijing""";"""43 meters""";"""Services, manufacturing, tourism""";"""Renminbi""";"""CNY""";"""86+10""+"
2;"""Cairo""";"""21000000""";"""UTC+2""";"""Egypt""";"""Africa""";"""Cairo Governorate""";"""76 meters""";"""Tourism, retail, media, real estate""";"""Egyptian Pound""";"""EGP""";"""20+2""+"
3;"""Moscow""";"""17430000""";"""UTC+3""";"""Russia""";"""Europe""";"""Moscow City""";"""156 meters""";"""Manufacturing, finance, real estate, retail""";"""Russian Ruble""";"""RUB""";"""7+9""+"
4;"""Buenos Aires""";"""15400000""";"""UTC-3""";"""Argentina""";"""South America""";"""City of Buenos Aires""";"""25 meters""";"""Manufacturing, services, retail""";"""Argentine Peso""";"""ARS""";"""54+11""+"
5;"""Osaka-Kobe""";"""19230000""";"""UTC+9""";"""Japan""";"""Asia""";"""Osaka, Hyogo""";"""10 meters""";"""Manufacturing, services, retail""";"""Japanese Yen""";"""JPY""";"""81+6""+"
6;"""Mumbai""";"""20712000""";"""UTC+5:30""";"""India""";"""Asia""";"""Maharashtra""";"""14 meters""";"""Finance, IT, textiles, machinery""";"""Indian Rupee""";"""INR""";"""91+22""+"
7;"""Paris""";"""12405000""";"""UTC+1""";"""France""";"""Europe""";"""Île-de-France""";"""35 meters""";"""Tourism, luxury goods, fashion, manufacturing""";"""Euro""";"""EUR""";"""33+1""+"
8;"""Istanbul""";"""15390000""";"""UTC+3""";"""Turkey""";"""Europe""";"""İstanbul""";"""39 meters""";"""Tourism, manufacturing, retail, services""";"""Turkish Lira""";"""TRY""";"""90+212""+"
9;"""São Paulo""";"""21846000""";"""UTC-3""";"""Brazil""";"""South America""";"""São Paulo""";"""799 meters""";"""Services, retail, manufacturing, finance""";"""Real""";"""BRL""";"""55+11""+"
10;" ""Los Angeles""";"""18679000""";"""UTC-8""";"""United States""";"""North America""";"""California""";"""91 meters""";"""Entertainment, technology, tourism, international trade""";"""US Dollar""";"""USD""";"""1+1""+"
11;"""Shanghai""";"""27058000""";"""UTC+8""";"""China""";"""Asia""";"""Shanghai""";"""4 meters""";"""Manufacturing, finance, retail, real estate, shipping""";"""Renminbi""";"""CNY""";"""86+151""+"
