;`Planet Name; Primary Star; Orbital Semi-Major Axis (AU); Position Angle; Orbital Incline (deg); Orbit Eccentricity; Rotational Period (days); Average Temperature (K); Galactic Neighborhood; Stellar Cluster Affiliation`
0;* Jupiter; Sun; 5.20; 100.5; 1.3; 0.048; 9.9; 110; Orion Arm; Hyades
1;* Saturn; Sun; 9.58; 113.7; 2.5; 0.056; 10.7; 95; Orion Arm; None
2;* Mars; Sun; 1.52; 49.6; 1.9; 0.093; 1.03; 215; Orion Arm; None
3;* Gliese 581g; Gliese 581; 0.15; 201.5; 3.2; 0.17; 87; 230; Libra; None
4;* HD 209458b; HD 209458; 0.04; 86.4; 87.0; 0.047; 3.5; 1200; Cygnus; None
5;* Kepler-22b; Kepler-22; 0.85; 90.0; 90.0; 0.14; 29; 260; Cygnus; None
6;* 55 Cancri e; 55 Cancri; 0.016; 88.2; 1.0; 0.33; 0.74; 2300; Cancer; None
7;* Uranus; Sun; 19.18; 74.0; 0.8; 0.047; -17.2; 59; Orion Arm; None
8;* Neptune; Sun; 30.07; 131.8; 1.8; 0.009; 16.1; 60; Orion Arm; None
9;* 47 Ursae Majoris b; 47 Ursae Majoris; 2.10; 305.5; 1.4; 0.052; 1200; 180; Ursa Major; None</s>
