;Country; Government Type; Head of State; GDP per Capita; Population Size; Cultural Influence; Military Strength; Trade Agreements; Neighbor Nations; Regional Organization Membership; Foreign Aid Disburser; Natural Heritage Sites; Some Other Field**
0; Canada; Federal parliamentary democracy; Governor General Mary Simon; $46,191.81; 38,048,738; High; Strong; US, Mexico; OAS, NATO, G20; Yes; 18 UNESCO World Heritage Sites; Some other field data.;
1;China; Socialist one-party state; President Xi Jinping; $10,261.96; 1,439,323,776; High; Strong; India, Russia, Mongolia, etc.; Shanghai Cooperation Organization, APEC, WTO; Yes; 55 UNESCO World Heritage Sites; Some other field data.;
2;Russia; Federal semi-presidential constitutional republic; President Vladimir Putin; $10,552.11; 145,934,462; Moderate-High; Strong; Norway, Finland, China, Mongolia, etc.; CSTO, EAEU, SCO, BRICS, G20; Yes; 29 UNESCO World Heritage Sites; Some other field data.;
3;Germany; Federal parliamentary republic; President Frank-Walter Steinmeier; $50,800.49; 83,149,304; High; Strong; France, Switzerland, Austria, Denmark, etc.; EU, NATO, G7, G20; Yes; 46 UNESCO World Heritage Sites; Some other field data.;
4;United States; Federal presidential constitutional republic; President Joe Biden; $63,212.60; 331,872,030; Extremely High; Very Strong; Canada, Mexico; OAS, NATO, G7, G20; Yes; 24 UNESCO World Heritage Sites; Some other field data.;
5;Brazil; Federal presidential republic; President Jair Bolsonaro; $8,947.15; 213,430,276; High; Strong; Venezuela, Suriname, Guyana, Colombia, Argentina, Paraguay, Bolivia, Peru; UNASUR, Mercosur, OAS, G20; Yes; 23 UNESCO World Heritage Sites; Some other field data.;
6;France; Unitary semi-presidential republic; President Emmanuel Macron; $39,181.52; 66,990,221; High; Strong; Belgium, Germany, Italy, Switzerland, Andorra, Luxembourg, Monaco, Spain; EU, NATO, G7, G20; Yes; 45 UNESCO World Heritage Sites; Some other field data.;
7;United Kingdom; Unitary parliamentary constitutional monarchy; Queen Elizabeth II; $40,240.25; 67,886,011; High; Strong; Scotland, Wales, Northern Ireland, Ireland, France (Channel Islands), Denmark (Faroe Islands); NATO, G7, G20; Yes; 33 UNESCO World Heritage Sites; Some other field data.;
8;India; Federal parliamentary democratic republic; President Ram Nath Kovind; $1,947.32; 1,380,004,385; Moderate-High; Moderate; Pakistan, China, Nepal, Bhutan, Bangladesh, Myanmar; SAARC, BIMSTEC, SCO, G20; Yes; 39 UNESCO World Heritage Sites; Some other field data.;
9;Italy; Unitary parliamentary republic; President Sergio Mattarella; $30,880.96; 60,244,639; High; Moderate; Switzerland, France, Austria, Slovenia, San Marino, Vatican City; EU, NATO, G7, G20; Yes; 55 UNESCO World Heritage Sites; Some other field data.</s>;
10; Canada; Federal parliamentary democracy (Constitutional Monarchy); Queen Elizabeth II; $46,199.94; 37,410,003; High; Strong; USA, Mexico; NATO, G7, G20; Yes; 20 UNESCO World Heritage Sites; Some other field data.;
11;Russian Federation; Federal semi-presidential republic; President Vladimir Putin; $10,685.40; 145,934,462; High; Strong; Norway, Finland, Poland, Mongolia, China, North Korea; EAEU, SCO, G20; Yes; 29 UNESCO World Heritage Sites; Some other field data.;
12;Germany; Federal parliamentary republic; President Frank-Walter Steinmeier; $50,800.00; 83,166,711; High; Strong; Denmark, Poland, Czech Republic, Austria, Switzerland, France, Belgium, Luxembourg, Netherlands; EU, NATO, G7, G20; Yes; 46 UNESCO World Heritage Sites; Some other field data.;
13;Indonesia; Unitary presidential republic; President Joko Widodo; $3,875.22; 273,523,615; Moderate-High; Moderate; Malaysia, Papua New Guinea, East Timor; ASEAN, G20; Yes; 9 UNESCO World Heritage Sites; Some other field data.;
14;France; Unitary semi-presidential republic; President Emmanuel Macron; $39,199.13; 67,062,000; High; Strong; Belgium, Luxembourg, Germany, Switzerland, Italy, Spain, Andorra; EU, NATO, G7, G20; Yes; 47 UNESCO World Heritage Sites; Some other field data.;
15;South Korea; Federal presidential republic; President Moon Jae-in; $31,363.50; 51,446,201; High; Strong; North Korea; ASEAN+3, G20; Yes; 15 UNESCO World Heritage Sites; Some other field data.;
16;Brazil; Federal presidential republic; President Jair Bolsonaro; $8,432.64; 211,056,957; Moderate-High; Moderate; Argentina, Colombia, Peru, Venezuela, Guyana, Suriname, French Guiana; OAS, MERCOSUR, G20; Yes; 23 UNESCO World Heritage Sites; Some other field data.;
17;South Africa; Federal parliamentary republic; President Cyril Ramaphosa; $5,298.02; 59,308,690; Moderate-High; Moderate; Namibia, Botswana, Zimbabwe, Mozambique, Swaziland, Lesotho; AU, SADC, G20; Yes; 10 UNESCO World Heritage Sites; Some other field data.;
18;Australia; Federal parliamentary constitutional monarchy; Queen Elizabeth II; $50,437.39; 25,499,884; High; Strong; Papua New Guinea, Indonesia, East Timor, Solomon Islands, Vanuatu, New Zealand; ANZUS, G20; Yes; 20 UNESCO World Heritage Sites; Some other field data.;
19;Egypt; Presidential republic; President Abdel Fattah el-Sisi; $3,196.85; 102,334,404; Moderate-High; Strong; Libya, Sudan, Israel, Palestinian Territories, Jordan, Greece, Saudi Arabia, Cyprus; Arab League, AU, OIC, G20; Yes; 7 UNESCO World Heritage Sites; Some other field data.</s>;
20; Canada; Federal parliamentary democracy; Queen Elizabeth II; $46,199.73; 37,742,154; High; Strong; USA, Mexico; NAFTA, G20, OAS, Five Eyes; Yes; 20 UNESCO World Heritage Sites; Some other field data. ;
21;China; Socialist one-party state; President Xi Jinping; $9,769.07; 1,439,323,776; Very High; Extremely Strong; Hong Kong, Macau, Mongolia, Russia, India, North Korea, Afghanistan, Tajikistan, Pakistan; Shanghai Cooperation Organisation, APEC, G20; No; 55 UNESCO World Heritage Sites; Some other field data. ;
22;Germany; Federal parliamentary republic; President Frank-Walter Steinmeier; $50,800.52; 83,166,711; Very High; High; Denmark, Poland, Czech Republic, Austria, Switzerland, France, Belgium, Luxembourg, Netherlands; European Union, G20; Yes; 46 UNESCO World Heritage Sites; Some other field data. ;
23;India; Federal parliamentary democratic republic; President Ram Nath Kovind; $1,944.25; 1,380,004,385; High; Moderate-High; Pakistan, China, Nepal, Bhutan, Bangladesh; SAARC, SCO, G20, BRICS; Yes; 40 UNESCO World Heritage Sites; Some other field data. ;
24;Indonesia; Unitary presidential constitutional republic; President Joko Widodo; $3,840.59; 273,523,615; Moderate-High; Moderate; Malaysia, Papua New Guinea, East Timor; ASEAN, G20; Yes; 9 UNESCO World Heritage Sites; Some other field data. ;
25;Italy; Unitary parliamentary republic; President Sergio Mattarella; $30,254.44; 60,461,826; Very High; Moderate; Switzerland, France, Austria, Slovenia, San Marino, Vatican City; European Union, G7, G20; Yes; 58 UNESCO World Heritage Sites; Some other field data. ;
26;Japan; Unitary parliamentary constitutional monarchy; Emperor Naruhito; $40,892.24; 126,475,664; Very High; Moderate-High; China, Russia, South Korea, Taiwan; Abecean Economic Zone, G7, G20; Yes; 23 UNESCO World Heritage Sites; Some other field data. ;
27;Mexico; Federal presidential representative democratic republic; President Andrés Manuel López Obrador; $9,004.96; 130,759,074; High; Moderate; USA, Guatemala, Belize; Pacific Alliance, USMCA, APEC, G20; Yes; 36 UNESCO World Heritage Sites; Some other field data. ;
28;Russia; Federal semi-presidential semi-parliamentary constitutional republic; President Vladimir Putin; $11,312.03; 145,934,462; Very High; High; China, Mongolia, North Korea; CIS, CSTO, EAEU, G20, SCO, BRICS; Yes; 29 UNESCO World Heritage Sites; Some other field data. ;
29;United Kingdom; Unitary parliamentary constitutional monarchy; Queen Elizabeth II; $42,443.52; 67,886,011; Very High; High; Ireland, France; Common Travel Area, G7, G20, NATO, OECD, UN; Yes; 33 UNESCO World Heritage Sites; Some other field data. ;</s>
30; Canada; Federal parliamentary democracy; Governor General Mary Simon; $46,195.94; 38,009,937; High; High; USA; CUSMA, NATO, G7, G20, OECD, UN; Yes; 20 UNESCO World Heritage Sites; Some other field data. ;
31;Germany; Federal parliamentary republic; President Frank-Walter Steinmeier; $53,222.55; 83,149,183; Very High; High; Denmark, France, Switzerland, Austria, Belgium, Czech Republic, Luxembourg, Netherlands, Poland; EU, G7, G20, NATO, OECD, UN; Yes; 46 UNESCO World Heritage Sites; Some other field data. ;
32;France; Unitary semi-presidential representative democratic republic; President Emmanuel Macron; $40,691.61; 67,062,369; Very High; High; Germany, Belgium, Italy, Spain, Switzerland, Andorra, Monaco, Luxembourg; EU, G7, G20, NATO, OECD, UN; Yes; 49 UNESCO World Heritage Sites; Some other field data. ;
33;Italy; Unitary parliamentary republic; President Sergio Mattarella; $32,195.11; 60,244,639; Very High; High; France, Switzerland, Austria, Slovenia, San Marino, Vatican City; EU, G7, G20, NATO, OECD, UN; Yes; 58 UNESCO World Heritage Sites; Some other field data. ;
