;Recipe ID; Calories per Serving; Nutrient Breakdown; Original Creator; Review Count; Rating Average; Image URL; Extra Preparation Steps; Additional Ingredients; Special Utensils; Dietary Restrictions; Prep Time; Cook Time; Servings; Ingredient Source
0; 1; 500; Carbohydrates: 60g, Protein: 25g, Fat: 15g; John Doe; 500; 4.5; https://example.com/recipe1; Dice the vegetables into small pieces; Olive oil, Salt, Pepper; Food processor; Vegan, Gluten-free; 20 minutes; 30 minutes; 4; Local grocery store
1;2; 600; Carbohydrates: 70g, Protein: 30g, Fat: 20g; Jane Smith; 300; 4.8; https://example.com/recipe2; Marinate the chicken for at least 30 minutes; Chicken breast, Lemon juice, Garlic; Grill; Dairy-free; 30 minutes; 45 minutes; 6; Organic poultry farm
2;3; 350; Carbohydrates: 45g, Protein: 10g, Fat: 10g; Sarah Connor; 800; 4.2; https://example.com/recipe3; Toast the bread before assembling the sandwich; Whole grain bread, Avocado, Tomato; Toaster, Knife; Vegetarian; 10 minutes; 15 minutes; 2; Local bakery
3;4; 700; Carbohydrates: 80g, Protein: 35g, Fat: 30g; Mike Tyson; 200; 4.9; https://example.com/recipe4; Use fresh herbs for garnish; Beef, Carrots, Celery, Onions; Skillet, Spatula; Low-carb, Keto; 60 minutes; 90 minutes; 8; Local butcher
4;5; 200; Carbohydrates: 25g, Protein: 5g, Fat: 5g; Emma Watson; 1500; 3.8; https://example.com/recipe5; Use a blender to mix the smoothie; Spinach, Banana, Blueberries, Almond milk; Blender; Vegan; 5 minutes; 0 minutes; 1; Organic produce stand
5;6; 800; Carbohydrates: 90g, Protein: 40g, Fat: 40g; Harry Potter; 100; 5.0; https://example.com/recipe6; Cook the pasta al dente and save some of the pasta water; Penne pasta, Tomatoes, Garlic, Onions; Colander, Pasta pot; Gluten-free; 20 minutes; 25 minutes; 4; Imported Italian pasta
6;7; 400; Carbohydrates: 35g, Protein: 20g, Fat: 20g; Ron Weasley; 700; 4.6; https://example.com/recipe7; Peel and dice the potatoes; Chicken thighs, Potatoes, Onions, Garlic; Dutch oven, Tongs; Dairy-free; 60 minutes; 45 minutes; 6; Free-range chicken farm
7;8; 1000; Carbohydrates: 100g, Protein: 55g, Fat: 60g; Hermione Granger; 50; 4.7; https://example.com/recipe8; Cook the rice in advance and chill it in the fridge; Rice, Shrimp, Vegetables, Soy sauce; Rice cooker, Wok; Soy-free, Nut-free; 30 minutes; 20 minutes; 4; Sustainable seafood market
8;9; 1200; Carbohydrates: 120g, Protein: 45g, Fat: 60g; Dumbledore; 30; 5.0; https://example.com/recipe9; Use a mandoline to slice the vegetables; Beef, Vegetables, Soy sauce, Brown sugar; Wok, Spatula; Soy-free, Nut-free; 30 minutes; 20 minutes; 6; Grass-fed beef farm
9;10; 250; Carbohydrates: 35g, Protein: 5g, Fat: 5g; Snape; 2000; 4.0; https://example.com/recipe10; Strain the yogurt for at least 2 hours in advance; Greek yogurt, Berries, Honey; Cheesecloth, Bowl; Gluten-free, Vegan; 5 minutes; 0 minutes; 1; Local dairy farm</s>
