;Recipe Name;Cuisine;Total Time;Servings;Calories;Ingredient 1;Ingredient 2;Ingredient 3;Instructions;Prep Complexity;Cooking Complexity;Recipe Source
0; Recipe Name;Cuisine;Total Time;Servings;Calories;Ingredient 1;Ingredient 2;Ingredient 3;Instructions;Prep Complexity;Cooking Complexity;Recipe Source
1;Spaghetti Bolognese;Italian;60 minutes;4;800;Spaghetti;Ground Beef;Can Crushed Tomatoes;Saute onion, garlic, and ground beef in a pan. Add crushed tomatoes, salt, pepper, and herbs. Simmer for 45 minutes. Cook spaghetti according to package instructions. Serve bolognese sauce over spaghetti. Garnish with parmesan cheese.;Medium;Medium;BBC Good Food
2;Chicken Curry;Indian;45 minutes;6;500;Chicken Breast;Onion;Garlic;Saute onion, garlic, and ginger in a pan. Add chicken, curry powder, turmeric, and coconut milk. Simmer for 20 minutes. Serve with rice or naan bread. Garnish with cilantro.;Medium;Medium;Delish
3;Beef Stroganoff;Russian;30 minutes;4;700;Beef Sirloin;Mushrooms;Sour Cream;Saute beef and mushrooms in a pan. Add beef broth, mustard, and sour cream. Serve over egg noodles. Garnish with parsley.;Medium;Medium;Allrecipes
4;Vegetable Lasagna;Italian;90 minutes;8;300;Lasagna Noodles;Ricotta Cheese;Spinach;Saute onion, garlic, and spinach in a pan. Layer noodles, spinach mixture, and ricotta cheese in a baking dish. Top with shredded mozzarella. Bake for 45 minutes.;Medium;Medium;The Spruce Eats
5;Chili Con Carne;Mexican;60 minutes;6;450;Ground Beef;Kidney Beans;Onion;Brown ground beef and onion in a pan. Add canned tomatoes, kidney beans, chili powder, and cumin. Simmer for 45 minutes.;Medium;Medium;Bon Appetit
6;Shrimp Scampi;American;20 minutes;4;500;Shrimp;Garlic;Butter;Saute shrimp, garlic, and red pepper flakes in butter. Serve over pasta. Garnish with parsley. and lemon.;Medium;Low;Food Network
7;Beef Tacos;Mexican;30 minutes;4;600;Ground Beef;Taco Shells;Onion;Saute ground beef, onion, and taco seasoning in a pan. Serve in taco shells. Top with lettuce, cheese, and salsa.;Low;Low;Taste of Home
8;Beetroot Salad;German;20 minutes;4;200;Beetroot;Walnuts;Goat Cheese;Roast beetroot in the oven for 45 minutes. Slice and serve with walnuts and goat cheese. Dress with olive oil, lemon juice, salt, and pepper.;Low;Low;Jamie Oliver
9;Fish and Chips;British;45 minutes;4;700;Cod Fillet;Potatoes;Beer Batter;"Deep fry fish and potatoes in beer batter. Serve with tartar sauce and malt vinegar.""";Low;High;The Guardian
10;Paella;Spanish;60 minutes;6;600;Rice;Chicken Breast;Chorizo;Saute chicken and chorizo in a pan. Add rice, saffron, and chicken broth. Simmer for 30 minutes. Add shrimp and peas. Cook for an additional 10 minutes.;Medium;Medium;Saveur</s>
