;Gallery Location; Year Acquired; Donor Name; Preservation Status; Restoration Details; Material Value, USD; Audience Impact Rating; Cultural Significance Ranking; Trendsetting Score; Similar Works Count; Curator Comments
0;" ""Metropolitan Museum of Art, New York""";1968;"""John D. Rockefeller Jr.""";"""Excellent""";"""Minor cleaning in 2005""";5000000;"""High""";"""Very significant""";"""5""";"""20""";"""A masterpiece of Rococo art that sets the standard for similar works."""
1;"""British Museum, London""";2003;"""Anonymous Donor""";"""Good""";"""Conservation work in 2010""";3000000;"""Medium""";"""Significant""";"""3""";"""10""";"""A rare and valuable example of Egyptian sculpture from the Middle Kingdom period."""
2;"""Musée d'Orsay, Paris""";1896;"""Government of France""";"""Fair""";"""Restored in 2010""";2000000;"""Medium""";"""High""";"""4""";"""8""";"""An iconic piece of Impressionist art that continues to inspire modern artists."""
3;"""State Hermitage Museum, St. Petersburg""";1914;"""Czar Nicholas II""";"""Excellent""";"""Minimal maintenance""";8000000;"""High""";"""Extremely significant""";"""2""";"""5""";"""A magnificent example of Russian imperial art, unparalleled in beauty and craftsmanship."""
4;"""Vatican Museums, Vatican City""";1923;"""Pope Pius XI""";"""Fair""";"""Restored in 2000""";4000000;"""Medium""";"""Very significant""";"""3""";"""7""";"""A masterful work of Renaissance art that showcases the creativity and skill of its creator."""
5;"""Getty Center, Los Angeles""";1986;"""J. Paul Getty""";"""Excellent""";"""Regular maintenance""";6000000;"""High""";"""Highly significant""";"""4""";"""6""";"""A stunning example of Greek marble sculpture from the Classical period."""
6;"""National Gallery of Art, Washington D.C.""";1942;"""Andrew W. Mellon""";"""Good""";"""Restored in 1990""";3000000;"""Medium""";"""Significant""";"""3""";"""10""";"""A remarkable painting that embodies the spirit and energy of American art."""
7;"""Rijksmuseum, Amsterdam""";1875;"""Government of the Netherlands""";"""Excellent""";"""Minimal maintenance""";5000000;"""High""";"""Highly significant""";"""5""";"""2""";"""A masterwork of Dutch Golden Age painting, a true treasure of the art world."""
8;"""Uffizi Gallery, Florence""";1791;"""Grand Duke of Tuscany""";"""Fair""";"""Restored in 2015""";7000000;"""Very high""";"""Extremely significant""";"""2""";"""4""";"""A breathtaking work of Renaissance art that tells the story of the city of Florence."""
9;"""Asian Art Museum, San Francisco""";1990;"""Avery Brundage""";"""Good""";"""Restored in 2005""";2000000;"""Medium""";"""Significant""";"""3""";"""8""";"""A stunning work of Asian art that showcases the rich cultural heritage of the region.""</s>"
