;Product ID; Product Name - Clothing Item; Size; Color; Material; Additional Features; Original Discount %; Seller Rating; Shipping Time Range; Sold By; Delivery Method; Customer Review Count & Average Score
0; 123; Denim Jacket - Classic Blue; M; Navy Blue; Denim; Distressed design, Buttoned cuffs; 20%; 4.5/5; 3-5 business days; FashionNova; Standard Shipping; 5000 reviews & 4.6 average score
1;456; Long Sleeve Crew Neck - Heather Gray; S; Heather Gray; Cotton-Polyester Blend; Thumb Holes, Taped neck; 15%; 4.2/5; 5-7 business days; H&M; Standard Shipping; 2000 reviews & 4.3 average score
2;789; High-Waisted Jeans - Vintage Black; 28; Black; Denim; Ripped knees, Belt loops; 30%; 4.8/5; 2-4 business days; American Eagle; Expedited Shipping; 8000 reviews & 4.7 average score
3;234; Wool Coat - Camel; L; Camel; Wool; Belted, Two front pockets; 10%; 4.6/5; 7-10 business days; Zara; Standard Shipping; 3000 reviews & 4.5 average score
4;567; Pleated Skirt - Burgundy; XS; Burgundy; Polyester; Zipper closure, Elastic waistband; 25%; 4.3/5; 5-7 business days; Forever 21; Standard Shipping; 1500 reviews & 4.4 average score
5;890; Bomber Jacket - Forest Green; M; Forest Green; Nylon; Elastic cuffs, Ribbed collar and hem; 35%; 4.7/5; 3-5 business days; Urban Outfitters; Expedited Shipping; 6000 reviews & 4.6 average score
6;135; Turtleneck - Oatmeal; S; Oatmeal; Cashmere; Ribbed cuffs and hem; 10%; 4.4/5; 7-10 business days; J.Crew; Standard Shipping; 2500 reviews & 4.3 average score
7;468; Leather Jacket - Black; L; Black; Genuine Leather; Zippered cuffs, Front zipper closure; 40%; 4.9/5; 2-4 business days; AllSaints; Expedited Shipping; 9000 reviews & 4.8 average score
8;791; Hoodie - Heather Gray; XL; Heather Gray; Cotton-Polyester Blend; Kangaroo pocket, Drawstring hood; 20%; 4.2/5; 5-7 business days; Nike; Standard Shipping; 4000 reviews & 4.3 average score
9;345; Leggings - Navy Blue; M; Navy Blue; Polyester-Spandex Blend; High waisted, Pocketed; 25%; 4.5/5; 3-5 business days; Lululemon; Expedited Shipping; 7000 reviews & 4.6 average score</s>
