;Air\_Quality;Water\_Cleanliness;Species\_Count;Forest\_Area\_km2;Biodiversity\_Index;Avg\_Temperature\_C;Avg\_Rainfall\_mm;Soil\_Health\_Index;Pollution\_Level;Population\_Density;Legislation\_Status;Public\_Engagement\_Score;Additional\_Column
0;" ""Excellent";Very Clean;High Count;8000 km2;3500;15;1200;85;Low;100 persons/km2;Passed;88%;"Initiative in place"""
1;"""Good";Clean;Medium Count;6500 km2;3000;18;1000;80;Medium;300 persons/km2;Under Review;75%;"Awareness programs"""
2;"""Fair";Moderately Clean;Low Count;4000 km2;2500;20;800;70;High;500 persons/km2;Proposed;60%;"Educational campaigns"""
3;"""Poor";Slightly Clean;Very Low Count;2000 km2;2000;25;1500;60;Very High;800 persons/km2;Not Considered;40%;"Urgent action needed"""
4;"""Very Poor";Unclean; Near Zero Count;1000 km2;1500;30;2000;50;Extremely High;1200 persons/km2;Blocked;30%;"Crisis level situation"""
5;"""Improving";Cleaning;Medium-High Count;7000 km2;3200;16;1100;75;Medium-Low;150 persons/km2;Passed;80%;"Efforts being made"""
6;"""Degrading";Polluted;High-Losing Count;5500 km2;2800;22;1300;65;High;250 persons/km2;Under Review;65%;"Serious concern"""
7;"""Stable";Moderately Clean;Steady Count;6000 km2;2900;19;900;70;Medium;200 persons/km2;Proposed;70%;"Monitoring required"""
8;"""Declining";Polluted;Decreasing Count;3000 km2;2200;24;1600;55;Very High;700 persons/km2;Not Considered;50%;"Immediate attention needed"""
9;"""Unpredictable";Varying;Count Fluctuating;4500 km2;2600;21;1200;68;High;350 persons/km2;Blocked;45%;"Requires constant evaluation""</s>"
10;" ""Improving";Very Clean;Increasing Count;6500 km2;3100;18;800;75;Low;150 persons/km2;Passed;85%;"Well done""  "
11;"""Stable";Clean;Steady Count;5000 km2;2800;20;1000;60;Medium;300 persons/km2;Under Review;60%;"Needs some attention""  "
12;"""Declining";Slightly Polluted;Decreasing Count;2500 km2;2000;25;1500;50;High;800 persons/km2;Proposed;40%;"Take action""  "
13;"""Unpredictable";Varying;Count Fluctuating;5800 km2;3000;19;1100;65;Medium;250 persons/km2;Blocked;55%;"Evaluate and pass legislation""  "
14;"""Improving";Very Clean;Increasing Count;7000 km2;3200;17;700;78;Low;100 persons/km2;Passed;90%;"Excellent job""  "
15;"""Stable";Moderately Clean;Steady Count;4000 km2;2700;22;1300;62;Medium;400 persons/km2;Under Review;65%;"Pay attention to fluctuations""  "
16;"""Declining";Polluted;Decreasing Count;2000 km2;1800;26;1800;45;Very High;900 persons/km2;Not Considered;35%;"Urgent consideration needed""  "
17;"""Unpredictable";Varying;Count Fluctuating;4000 km2;2300;21;1400;72;Medium;500 persons/km2;Blocked;70%;"Address soil health and pollution""  "
18;"""Improving";Clean;Increasing Count;6000 km2;3100;18;900;72;Low;150 persons/km2;Passed;80%;"Great progress""  "
19;"""Stable";Slightly Clean;Steady Count;5500 km2;2900;20;1100;65;Medium;350 persons/km2;Under Review;70%;"Maintain current status""</s>"
20;" ""Improving";Very Clean;Rising Count;6200 km2;3500;17;800;75;Low;100 persons/km2;Passed;85%;"Keep up the good work""  "
21;"""Declining";Dirty;Decreasing Count;3800 km2;1900;22;1500;60;High;600 persons/km2;Blocked;60%;"Urgent attention required""  "
22;"""Stable";Clean;Steady Count;5600 km2;2800;19;1000;70;Low;400 persons/km2;Passed;75%;"Maintain current efforts""  "
23;"""Unpredictable";Varying;Fluctuating Count;4100 km2;2500;20,5;1300;68;Medium;550 persons/km2;Under Review;65%;"Monitor and take necessary actions""  "
24;"""Improving";Very Clean;Increasing Count;6300 km2;3600;16,5;700;76;Low;90 persons/km2;Passed;90%;"Commendable efforts, continue thus""  "
25;"""Declining";Dirty;Decreasing Count;3700 km2;1700;23,5;1600;55;High;650 persons/km2;Blocked;55%;"Urgent actions needed, implement new policies""  "
26;"""Stable";Slightly Dirty;Steady Count;5400 km2;2700;21,5;1200;62;Medium;400 persons/km2;Under Review;60%;"Ensure proper enforcement of laws""  "
27;"""Unpredictable";Varying;Fluctuating Count;4200 km2;2400;19,5;1400;72;Low;500 persons/km2;Passed;75%;"Focus on both air quality and water cleanliness""  "
28;"""Improving";Clean;Rising Count;6100 km2;3300;18,5;800;73;Medium;150 persons/km2;Under Review;80%;"Strengthen regulations and public participation""  "
29;"""Declining";Dirty;Decreasing Count;3600 km2;1600;24,5;1700;50;High;700 persons/km2;Blocked;50%;"Need immediate intervention and policy changes"".</s>"
30;" ""Stable";Clear;Steady Count;5000 km2;2800;21,5;900;75;Low;200 persons/km2;Passed;78%;"Promote sustainable practices""  "
31;"""Deteriorating";Polluted;Falling Count;4600 km2;2200;23,5;1200;60;Medium;350 persons/km2;Under Review;65%;"Implement stricter regulations""  "
32;"""Improving";Clean;Rising Count;6500 km2;3700;18,5;700;78;Low;100 persons/km2;Passed;82%;"Encourage eco-friendly lifestyle""  "
33;"""Unpredictable";Varying;Fluctuating Count;4800 km2;2600;20,5;1300;70;Medium;400 persons/km2;Blocked;55%;"Promote education on environmental issues""  "
