;Morality Teachings; Spiritual Practices; Afterlife Concepts; Holidays; Sacred Spaces; Artifacts; Architecture; Music And Dance Forms; Lay Organizations; Scholarly Institutions; Ethical Guidelines For Living.
0;"  ""Promote kindness, honesty"; meditation, prayer; heaven and hell; Christmas, Ramadan; churches, mosques; Bible, Quran; gothic cathedrals; gospel music, Sufi whirling; church groups, Islamic studies centers;" golden rule.""";
1;" ""Compassion, non-harm"; yoga, mindfulness; reincarnation, nirvana; Diwali, Vesak; temples, meditation halls; Vedas, sutras; pagodas; Indian classical dance, Tibetan chants; yoga clubs, Buddhist universities;" eightfold path.""";
2;" ""Love thy neighbor"; contemplation, repentance; paradise, hellfire; High Holy Days, Passover; synagogues, Torah arks; Talmud, Tanakh; synagogue architecture; Klezmer music, Jewish liturgical; Hillel chapters, Jewish Theological Seminary;" ten commandments.""";
3;" ""Harmony with nature"; meditation, martial arts; ancestor veneration, spirit world; Lunar New Year, Moon Festival; dojos, ancestral halls; Taoist, Confucian texts; Chinese temples; dragon dances, erhu music; tai chi clubs, Confucian academies;" five virtues.""";
4;" ""Truth, right action"; asceticism, devotion; reincarnation, moksha; Paryushana, Mahavir Janma Kalyanak; Jain temples, derasars; Agamas, scriptures; Jain architecture; Rajasthani folk music, Lavani dance; Jain centers, Shravakachara centers;" ahimsa.""";
5;" ""Balance, self-improvement"; meditation, Taoist alchemy; ghosts, underworld; Obon, Ghost Festival; Zen gardens, Shinto shrines; Kojiki, Nihongi; torii, pagodas; Noh theatre, Kabuki music; Zen centers, Shinto schools;" eight million deities.""";
6;" ""Unity of all life"; visualization, devotion; astral plane, maya; Summer Solstice, Winter Solstice; groves, stone circles; Book of Shadows, grimoires; megalithic monuments; pagan chants, folk music; covens, druidic colleges;" Wiccan Rede.""";
7;" ""Faith, good works"; prayer, forgiveness; heaven, hell; Palm Sunday, Ash Wednesday; churches, cathedrals; Bible, Book of Mormon; Mormon temples; LDS hymns, Mormon Tabernacle Choir; LDS congregations, Brigham Young University;" Word of Wisdom.""";
8;" ""Serve humanity, truthfulness"; selfless service, devotion; swarg, narak; Guru Nanak Jayanti, Vaisakhi; gurdwaras, Sikh temples; Guru Granth Sahib, Dasam Granth; Sikh architecture; kirtan, bhangra music; gurdwara committees, Sikh research centers;" five ks.""";
9;" ""Inner peace, wisdom"; concentration, insight; realms of form, formlessness; Uposatha, Vesak; vihara, stupas; Tripitaka, Abhidhamma; Thai temples; Buddhist chants, Thai classical music; Dhamma schools, Buddhist universities;" noble eightfold path.""</s>";
10;"  ""Love God, love neighbor"; charity, penance; paradise, hell; Christmas, Easter; chapels, cathedrals; Bible, Catechism; Christian churches; hymns, gospel music; parish organizations, Christian colleges;" Ten Commandments.""";
11;" ""Unity with Brahman, duty"; meditation, self-realization; svarga, naraka; Ganesh Chaturthi, Diwali; mandirs, puja rooms; Vedas, Upanishads; Hindu temples; bhajans, kathak dance; Hindu societies, Vedic research foundations;" yamas, niyamas.""";
