;Religions and Beliefs; Philosophical Thought; Intelligence Gathering Methodologies; Literature Masterpieces; Linguistic Developments; Music Styles and Dances; Military Tactics and Weaponry; Demographic Shifts and Migratory Patterns; Trade Routes and Commodities; War and Peace Diplomacy; Environmental Changes and Climate Conditions; Entertainment Activities; Legal Codes; Currency Symbols
0;  Religions and Beliefs: Ancient Egyptian polytheism, Greek mythology; Philosophical Thought: Socratic method, Platonic idealism; Intelligence Gathering Methodologies: Spies, informants; Literature Masterpieces: Homer's Iliad and Odyssey; Linguistic Developments: Proto-Indo-European language; Music Styles and Dances: Greek classical music, lyre and aulos; Military Tactics and Weaponry: Phalanx formation, hoplite armor; Demographic Shifts and Migratory Patterns: Early human migration out of Africa; Trade Routes and Commodities: Silk Road, spices; War and Peace Diplomacy: City-state alliances, treaties; Environmental Changes and Climate Conditions: Ice ages; Entertainment Activities: Ancient Greek theater; Legal Codes: Twelve Tables of Roman law.;
1; Religions and Beliefs: Confucianism, Taoism; Philosophical Thought: Chinese Legalism, Mohism; Intelligence Gathering Methodologies: Observation posts, secret agents; Literature Masterpieces: Analects of Confucius, Tao Te Ching; Linguistic Developments: Classical Chinese; Music Styles and Dances: Guquin zither music, Han dynasty court dances; Military Tactics and Weaponry: Terracotta army, crossbow; Demographic Shifts and Migratory Patterns: Bantu expansion; Trade Routes and Commodities: Incense Route, silk; War and Peace Diplomacy: Zhou dynasty diplomacy; Environmental Changes and Climate Conditions: Holocene climate optimum; Entertainment Activities: Chinese operas; Legal Codes: Ming dynasty legal code.;
2; Religions and Beliefs: Buddhism, Jainism; Philosophical Thought: Buddhist philosophy, Jain logic; Intelligence Gathering Methodologies: Informants, espionage; Literature Masterpieces: Upanishads, Mahabharata; Linguistic Developments: Sanskrit; Music Styles and Dances: Hindustani classical music, Kathak dance; Military Tactics and Weaponry: Elephant warfare, iron weaponry; Demographic Shifts and Migratory Patterns: Great migration; Trade Routes and Commodities: Amber Road, salt; War and Peace Diplomacy: Roman-Parthian Wars; Environmental Changes and Climate Conditions: Roman Warm Period; Entertainment Activities: Roman gladiatorial games; Legal Codes: Corpus Juris Civilis.;
3; Religions and Beliefs: Christianity, Manichaeism; Philosophical Thought: Aristotelian philosophy, Scholasticism; Intelligence Gathering Methodologies: Codebreaking, surveillance; Literature Masterpieces: Bible, Divine Comedy; Linguistic Developments: Latin, Greek; Music Styles and Dances: Gregorian chants, Medieval court dances; Military Tactics and Weaponry: Longbow, heavy cavalry; Demographic Shifts and Migratory Patterns: Barbarian invasions; Trade Routes and Commodities: Hanseatic League, wool; War and Peace Diplomacy: Treaty of Verdun; Environmental Changes and Climate Conditions: Little Ice Age; Entertainment Activities: Courtly love; Legal Codes: Magna Carta.;
4; Religions and Beliefs: Islam, Zoroastrianism; Philosophical Thought: Islamic philosophy, Illuminationism; Intelligence Gathering Methodologies: Letter interception, torture; Literature Masterpieces: Qur'an, One Thousand and One Nights; Linguistic Developments: Arabic; Music Styles and Dances: Arabic classical music, belly dance; Military Tactics and Weaponry: Heavy cavalry, siege engines; Demographic Shifts and Migratory Patterns: Bubonic plague migration; Trade Routes and Commodities: Muslim trade network, gold; War and Peace Diplomacy: Byzantine-Arab Wars; Environmental Changes and Climate Conditions: Medieval Warm Period; Entertainment Activities: Chess; Legal Codes: Qur'anic law.;
5; Religions and Beliefs: Hinduism, Sikhism; Philosophical Thought: Hindu rationalism, Sikh monism; Intelligence Gathering Methodologies: Agent infiltration, double agents; Literature Masterpieces: Ramayana, Guru Granth Sahib; Linguistic Developments: Sanskrit, Punjabi; Music Styles and Dances: Hindustani classical music, Bhangra dance; Military Tactics and Weaponry: Rajput warriors, artillery; Demographic Shifts and Migratory Patterns: Columbian Exchange; Trade Routes and Commodities: Triangular trade, tea; War and Peace Diplomacy: Treaty of Tordesillas; Environmental Changes and Climate Conditions: Industrial Revolution; Entertainment Activities: Novels; Legal Codes: Napoleonic Code.;
6; Religions and Beliefs: Judaism, Tengrism; Philosophical Thought: Kabbalah, animism; Intelligence Gathering Methodologies: Disinformation, surveillance; Literature Masterpieces: Talmud, Book of Mormon; Linguistic Developments: Hebrew, Mongolian; Music Styles and Dances: Klezmer music, Khoomei throat singing; Military Tactics and Weaponry: Cossack lancers, cannons; Demographic Shifts and Migratory Patterns: Atlantic slave trade; Trade Routes and Commodities: Tea Road, cotton; War and Peace Diplomacy: Congress of Vienna; Environmental Changes and Climate Conditions: Little Ice Age end; Entertainment Activities: Circus; Legal Codes: United States Constitution.;
7; Religions and Beliefs: Shintoism, Cao Dai; Philosophical Thought: Neo-Confucianism, Scientific revolution; Intelligence Gathering Methodologies: Radio interception, aerial reconnaissance; Literature Masterpieces: Kojiki, Das Kapital; Linguistic Developments: Japanese, Vietnamese; Music Styles and Dances: Noh theater, Hula dance; Military Tactics and Weaponry: Trench warfare, poison gas; Demographic Shifts and Migratory Patterns: Partition of India; Trade Routes and Commodities: Pacific trade routes, oil; War and Peace Diplomacy: Treaty of Versailles; Environmental Changes and Climate Conditions: Global warming; Entertainment Activities: Cinema; Legal Codes: Universal Declaration of Human Rights.;
8; Religions and Beliefs: Rastafari, Baha'i; Philosophical Thought: Pragmatism, process philosophy; Intelligence Gathering Methodologies: Surveillance satellites, electronic eavesdropping; Literature Masterpieces: Metamorphosis, Naked Lunch; Linguistic Developments: Esperanto, Creole languages; Music Styles and Dances: Jazz, breakdance; Military Tactics and Weaponry: Nuclear strategy, stealth technology; Demographic Shifts and Migratory Patterns: Post-colonial migrations; Trade Routes and Commodities: Information superhighway, rare earth minerals; War and Peace Diplomacy: United Nations; Environmental Changes and Climate Conditions: Ozone depletion; Entertainment Activities: Video games; Legal Codes: European Convention on Human Rights.;
9; Religions and Beliefs: Scientology, Eckankar; Philosophical Thought: Postmodernism, structuralism; Intelligence Gathering Methodologies: Cyber espionage, data mining; Literature Masterpieces: Neuromancer, Harry Potter; Linguistic Developments: Programming languages, internet slang; Music Styles and Dances: Techno, rave; Military Tactics and Weaponry: Cyberwarfare, drones; Demographic Shifts and Migratory Patterns: Globalization migrations; Trade Routes and Commodities: Containerization, endangered species; War and Peace Diplomacy: NATO, Shanghai Cooperation Organisation; Environmental Changes and Climate Conditions: Climate change; Entertainment Activities: Reality TV; Legal Codes: World Trade Organization agreements.</s>;
