;Religions & Beliefs; Languages Spoken; Global Events Impacting History; Travel and Exploration; Archaeologically Significant Sites; Cuisine in Various Civilizations; Climate and Environmental Factors; International Relationships in World History; Migration of People Across Borders during Wartimes or Migration Waves; Artistic Expressions in World History
0;  Religions & Beliefs: Ancient Egyptian polytheism; Hieroglyphics - sacred language of Egypt; Fall of the Roman Empire, 476 CE; Marco Polo's journey to China, 1271-1295; Great Pyramids of Giza, Egypt; Ancient Roman cuisine with heavy use of garum; Mediterranean climate in Roman Empire; Silk Road trade route integration; Post-WWII refugee migration; Renaissance art in Italy
1; Religions & Beliefs: Confucianism in China; Classical Chinese - official language for centuries; Black Plague epidemic, 1347-1351; Age of Exploration, 15th-17th century; Terracotta Army of China's first emperor; Chinese cuisine's prominence of rice, vegetables, and tea; Monsoon climate impacting South Asia; Columbian Exchange leading to global trade; European colonization migration; Byzantine mosaics and frescoes
2; Religions & Beliefs: Islam and the Arab conquests; Arabic - liturgical and academic language; Industrial Revolution, 1760-1840; Transatlantic slave trade, 16th-19th century; Petra in Jordan, ancient Arab city; Middle Eastern cuisine known for mezze and kebabs; Desert climate in Arabian Peninsula; Scramble for Africa dividing the continent; Post-WWII displacement of Palestinians; Ottoman architectural influences
3; Religions & Beliefs: Buddhism in India; Sanskrit - liturgical language; World War I, 1914-1918; Age of Discovery, late 15th-17th century; Mohenjo-Daro, ancient Indus Valley city; Indian curries and spices in various cuisines; Monsoon climate shaping agriculture; Partition of India creating refugee crisis; Post-Vietnam War boat people; Ajanta Caves art in India
4; Religions & Beliefs: Christianity in Europe; Latin - liturgical language; Cold War, 1947-1991; Columbus's first voyage to Americas, 1492; Stonehenge in England's Salisbury Plain; European cuisine influenced by trade; Temperate climate in Western Europe; Berlin Conference redrawing African borders; Post-WWII Jewish diaspora; Romanesque and Gothic architecture
5; Religions & Beliefs: Shinto in Japan; Japanese - language of oldest literature; Atomic bombings of Hiroshima and Nagasaki, 1945; Maritime Silk Road connecting East and West; Kyoto's historic temples and gardens; Japanese cuisine centered around rice; Island climate with heavy rainfall; Korean War impacting global relations; Japanese internment camps during WWII; Ukiyo-e art in Japan
6; Religions & Beliefs: Judaism in Israel; Hebrew - official language; World War II, 1939-1945; Clash of civilizations post-9/11; Masada fortress in Israel; Middle Eastern cuisine influenced by Jewish customs; Arid climate in Israel; Formation of Israel creating refugee crisis; Post-Holocaust Jewish immigration; Synagogue mosaics and murals
7; Religions & Beliefs: Hinduism in India; Tamil - one of oldest languages; Fall of Constantinople, 1453; Opium Wars in China, 1839-1860; Harappa in Pakistan, ancient Indus Valley city; Indian cuisine's emphasis on vegetarianism; Tropical climate in Indian subcontinent; Treaty of Tordesillas dividing the world, 1494; Partition migration in South Asia; Chola bronzes and sculptures
8; Religions & Beliefs: Baha'i Faith in Iran; Persian - literary language; Seven Years' War, 1756-1763; Mongol invasions, 13th-14th century; Persepolis in Iran, ancient capital; Persian cuisine's prominence of rice, herbs, and nuts; Mountainous climate in Iran; Mongol Empire expanding global reach; Iranian refugee crisis after 1979 revolution; Persian miniature paintings and calligraphy
9; Religions & Beliefs: Animism in Africa; Swahili - lingua franca; Fall of the Han Dynasty, 220 CE; Age of Imperialism, late 19th-early 20th century; Great Zimbabwe ruins in Africa; African staples like millet, sorghum, and plantains; Varied climate zones in Africa; Berlin Conference redrawing African borders; Post-WWII decolonization migration; African tribal masks and sculptures</s>
10;  Religions & Beliefs: Judaism in Israel; Hebrew - ancient language; Industrial Revolution, 1760-1840; Scramble for Africa, 1881-1914; Masada in Israel, ancient fortress; Middle Eastern staples like hummus and falafel; Mediterranean climate in Israel; Sykes-Picot Agreement partitioning Middle East; Jewish diaspora after WWII; Hebrew manuscript illumination
11; Religions & Beliefs: Christianity in Italy; Latin - liturgical language; Thirty Years' War, 1618-1648; Cold War, 1947-1991; Pompeii in Italy, ancient Roman city; Italian cuisine's pasta, olive oil, and tomatoes; Mediterranean climate in Italy; Roman Empire's expansion and influence; Post-WWII Italian migration to USA; Italian Renaissance art
12; Religions & Beliefs: Buddhism in Thailand; Thai - national language; American Civil War, 1861-1865; Dissolution of the Soviet Union, 1991; Ayutthaya in Thailand, ancient city; Thai cuisine's spices, herbs, and coconut milk; Tropical climate in Thailand; Vietnam War and its spillover; Thai refugee migration after Vietnam War; Thai temple mural paintings
13; Religions & Beliefs: Islam in Turkey; Turkish - national language; French Revolution, 1789-1799; Arab Spring, 2010-2012; Hagia Sophia in Turkey, historical architectural wonder; Turkish cuisine's kebabs and pilaf; Mediterranean climate in Turkey; Ottoman Empire's influence; Turkish guest worker program in Germany; Ottoman and Persian miniature paintings
