;Genetic Disorder; Prevalence Rate; Chromosome Number; Chromosome Location; Symptoms; Expression Pattern; Recessive Alleles Needed; Dominant Allele Frequency; Inheritance Pattern; Gene Symbol; Gene Description; Mutation Type; Mutation Location; Population Frequency; Additional Information
0; Cystic Fibrosis; 1 in 3,500; Chromosome 7; 7q31.2; Persistent cough, lung infections, difficulty breathing; Autosomal recessive; 2 recessive alleles; 1 in 25-35 European descent; 7-10% of population carries at least one copy of the CF gene;;;;;;
1;Huntington's Disease; 1 in 10,000; Chromosome 4; 4p16.3; Uncontrolled movements, emotional problems, loss of thinking ability; Autosomal dominant; 1 dominant allele; 0.14% of population; 97.5% penetrance;;;;;;
2;Sickle Cell Anemia; 1 in 365 African Americans; Chromosome 11; 11p15.4; Fatigue, pain crises, frequent infections; Autosomal recessive; 2 recessive alleles; 8% frequency of the sickle cell allele in African Americans;;;;;;;
3;Duchenne Muscular Dystrophy; 1 in 3,500 males; Chromosome X; Xp21.2; Muscle weakness, difficulty walking, shortened life span; X-linked recessive; 1 mutated allele; 1 in 2,500 male births; No effective treatment currently available;;;;;;
4;Marfan Syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Long arms and legs, tall stature, curvature of the spine; Autosomal dominant; 1 mutated allele; 1% of population; Most common connective tissue disorder;;;;;;
5;Neurofibromatosis Type 1; 1 in 3,000; Chromosome 17; 17q11.2; Multiple benign tumors, skin abnormalities, learning disabilities; Autosomal dominant; 1 mutated allele; 1 in 2,500-3,300 births; No specific treatment available;;;;;;
6;Beta Thalassemia; 1 in 100,000; Chromosome 11; 11p15.4; Mild to severe anemia, decreased growth rate, jaundice; Autosomal recessive; 2 recessive alleles; Frequency varies with population;;;;;;;
7;Tuberous Sclerosis Complex; 1 in 6,000; Chromosome 9 or 16; 9q34 or 16p13.3; Seizures, intellectual disability, benign tumors; Autosomal dominant; 1 mutated allele; 1 in 6,000-12,000 births; No specific treatment available;;;;;;
8;Fragile X Syndrome; 1 in 4,000 males; Chromosome X; Xq27.3; Intellectual disability, behavioral problems, physical features; X-linked dominant; 1 mutated allele; 1 in 250-800 females; Most common inherited cause of intellectual disability;;;;;;
9;Phenylketonuria (PKU); 1 in 10,000-15,000; Chromosome 12; 12q23.2; Intellectual disability, behavioral problems, light skin and hair; Autosomal recessive; 2 recessive alleles; Frequency varies with population; Most cases identified through newborn screening.</s>;;;;;;
