;time\_period; GDP\_growth; $ annual\_revenue; $ billion; industry\_code; company\_name; state\_abbreviation; employee\_count; market\_value; data\_source; sample\_description
0;2015; 2.4%; $100; 5000; I0101; Apple Inc; CA; 137000; $741.8 billion; World Bank; Consumer electronics company
1;2016; 1.5%; $50; 2500; I0202; Microsoft Corp; WA; 163000; $511.5 billion; World Bank; Software company
2;2017; 3.0%; $80; 3000; I0303; JPMorgan Chase; NY; 266000; $372.4 billion; World Bank; Financial services company
3;2018; 2.3%; $60; 2000; I0404; Exxon Mobil Corp; TX; 71000; $344.2 billion; World Bank; Oil and gas company
4;2019; 2.0%; $75; 4000; I0505; General Electric; NY; 197000; $281.7 billion; World Bank; Diversified industrial company
5;2020; 1.8%; $55; 3500; I0606; Ford Motor; MI; 188000; $31.3 billion; World Bank; Automaker
6;2021; 2.2%; $90; 6000; I0707; IBM; NY; 352000; $114.1 billion; World Bank; Technology company
7;2022; 2.5%; $65; 2500; I0808; Caterpillar; IL; 107000; $93.3 billion; World Bank; Construction and mining equipment manufacturer
8;2023; 2.8%; $85; 7000; I0909; Procter & Gamble; OH; 95000; $324.4 billion; World Bank; Consumer goods company
9;2024; 3.1%; $70; 5000; I1010; Johnson & Johnson; NJ; 136000; $451.5 billion; World Bank; Healthcare products company</s>
10; 2025; 3.3%; $90; 8000; I1111; Visa; CA; 19000; $540.5 billion; World Bank; Financial services company
11;2026; 3.6%; $80; 12000; I1212; Microsoft; WA; 163000; $2403.4 billion; World Bank; Technology company
12;2027; 3.8%; $95; 9500; I1313; IBM; NY; 350000; $1458.6 billion; World Bank; Technology company
13;2028; 4.1%; $88; 7500; I1414; Apple; CA; 147000; $3008.9 billion; World Bank; Technology company
14;2029; 4.3%; $100; 10000; I1515; JPMorgan Chase; NY; 266000; $512.9 billion; World Bank; Financial services company
15;2030; 4.6%; $85; 8000; I1616; Walmart; AR; 2300000; $396.4 billion; World Bank; Retail company
16;2031; 4.8%; $110; 11000; I1717; Exxon Mobil; TX; 71000; $429.4 billion; World Bank; Energy company
17;2032; 5.1%; $92; 9000; I1818; Chevron; CA; 45000; $316.3 billion; World Bank; Energy company
18;2033; 5.4%; $105; 12000; I1919; General Electric; NY; 295000; $472.9 billion; World Bank; Conglomerate
19;2034; 5.6%; $98; 10000; I2020; Ford; MI; 188000; $59.0 billion; World Bank; Automaker</s>
20; 2035; 5.9%; $112; 11000; I2121; Johnson & Johnson; NJ; 132000; $410.3 billion; World Bank; Pharmaceutical company
21;2036; 6.1%; $135; 13000; I2222; ExxonMobil; TX; 71000; $342.1 billion; World Bank; Oil and gas company
22;2037; 6.4%; $151; 14000; I2323; Microsoft; WA; 221000; $2.2 trillion; World Bank; Technology company
23;2038; 6.6%; $168; 15000; I2424; JPMorgan Chase; NY; 266000; $353.8 billion; World Bank; Financial services company
24;2039; 6.8%; $185; 16000; I2525; Amazon; WA; 1530000; $1.6 trillion; World Bank; E-commerce company
25;2040; 7.1%; $203; 17000; I2626; Alphabet; CA; 156000; $1.4 trillion; World Bank; Technology company
26;2041; 7.3%; $222; 18000; I2727; Procter & Gamble; OH; 105000; $288.2 billion; World Bank; Consumer goods company
27;2042; 7.5%; $240; 19000; I2828; Visa; CA; 20800; $463.5 billion; World Bank; Financial services company
28;2043; 7.8%; $265; 20000; I2929; Berkshire Hathaway; NE; 393000; $520.7 billion; World Bank; Conglomerate
29;2044; 8.0%; $289; 21000; I3030; Walmart; AR; 2.2 million; $356.3 billion; World Bank; Retail company</s>
30; 2045; 8.2%; $314; 22000; I3131; Apple Inc; CA; 147000; $2.1 trillion; World Bank; Technology company
31;2046; 8.5%; $340; 23000; I3232; Saudi Aramco; SA; 76000; $1.9 trillion; World Bank; Oil and gas company
32;2047; 8.7%; $367; 24000; I3333; Alibaba Group; CN; 117000; $607.8 billion; World Bank; E-commerce company
33;2048; 8.9%; $395; 25000; I3434; Amazon; WA; 1330000; $1.5 trillion; World Bank; Online retailer
34;2049; 9.1%; $424; 26000; I3535; Microsoft; WA; 163000; $2.2 trillion; World Bank; Technology company
35;2050; 9.4%; $455; 27000; I3636; Johnson & Johnson; NJ; 134000; $401.8 billion; World Bank; Pharmaceutical company
36;2051; 9.6%; $487; 28000; I3737; Volkswagen; DE; 662000; $98.8 billion; World Bank; Automaker
37;2052; 9.8%; $521; 29000; I3838; Toyota; JP; 368000; $224.3 billion; World Bank; Automaker
38;2053; 10.1%; $556; 30000; I3939; Facebook; CA; 58000; $741.6 billion; World Bank; Social media company
39;2054; 10.3%; $593; 31000; I4040; Procter & Gamble; OH; 100000; $259.4 billion; World Bank; Consumer goods company</s>
40; 2055; 10.6%; $612; 32000; I4141; Amazon; WA; 840000; $1445.2 billion; World Bank; E-commerce company
41;2056; 10.4%; $645; 33000; I4242; Microsoft; WA; 163000; $2163.8 billion; World Bank; Tech company
42;2057; 10.7%; $679; 34000; I4343; Alphabet; CA; 135000; $1895.4 billion; World Bank; Tech company
43;2058; 10.9%; $715; 35000; I4444; Walmart; AR; 2300000; $354.5 billion; World Bank; Retail company
44;2059; 11.1%; $753; 36000; I4545; Exxon Mobil; TX; 71000; $309.9 billion; World Bank; Oil company
45;2060; 11.3%; $793; 37000; I4646; Johnson & Johnson; NJ; 130000; $363.9 billion; World Bank; Pharmaceutical company
46;2061; 11.5%; $835; 38000; I4747; JPMorgan Chase; NY; 265000; $345.1 billion; World Bank; Financial services company
47;2062; 11.7%; $879; 39000; I4848; Chevron; CA; 45000; $240.4 billion; World Bank; Oil company
48;2063; 11.9%; $925; 40000; I4949; Berkshire Hathaway; NE; 390000; $552.9 billion; World Bank; Conglomerate
49;2064; 12.1%; $973; 41000; I5050; Apple; CA; 140000; $2248.9 billion; World Bank; Tech company</s>
50; 2065; 12.3%; $1023; 42000; I5151; Microsoft; WA; 170000; $2355.6 billion; World Bank; Tech company
51;2066; 12.5%; $1075; 43000; I5252; Amazon; WA; 840000; $2436.3 billion; World Bank; E-commerce company
52;2067; 12.7%; $1128; 44000; I5353; Alphabet Inc.; CA; 135000; $1834.9 billion; World Bank; Tech company
