;SubtopicName;TestResultScore₁,...,TestResultScore₅;PersonalityType;SpecializationArea;\_unused\_column₁,\...,\_unused\_column₅
0;" ""Cognitive Development"; 85, 92, 88, 91, 89; Introverted, Intuitive, Thinking, Judging; Education;"          """
1;"""Clinical Psychology"; 90, 87, 91, 89, 93; Extraverted, Sensing, Feeling, Perceiving; Mental Health;"          """
2;"""Social Psychology"; 88, 90, 86, 89, 92; Introverted, Intuitive, Feeling, Judging; Interpersonal Relationships;"          """
3;"""Developmental Psychology"; 91, 89, 94, 88, 90; Extraverted, Sensing, Thinking, Judging; Child Development;"          """
4;"""Experimental Psychology"; 87, 93, 86, 89, 91; Introverted, Intuitive, Thinking, Perceiving; Research Methods;"          """
5;"""Counseling Psychology"; 90, 88, 92, 87, 91; Extraverted, Sensing, Feeling, Judging; Counseling Services;"          """
6;"""Health Psychology"; 89, 91, 88, 86, 90; Introverted, Sensing, Thinking, Judging; Health Promotion;"          """
7;"""Industrial-Organizational Psychology"; 92, 87, 89, 91, 88; Extraverted, Thinking, Perceiving; Workplace Management;"          """
8;"""Personality Psychology"; 88, 90, 86, 92, 91; Introverted, Intuitive, Feeling, Judging; Individual Differences;"          """
9;"""Neuropsychology"; 91, 89, 93, 88, 87; Extraverted, Sensing, Thinking, Judging; Brain Function;"          ""</s>"
