;"""Engineering Discipline""";"""+Ongoing Project?""";" ""Collaborating Institutions""";" ""%Competed Work""";" ""Resource Allocation""";" ""Risk Management Plan""";" ""Lessons Learned""";" ""Testing Results""";" ""Stakeholder Engagement""";" ""Project Timeline""";" ""Material Selection""";" ""#Work Packages""";" ""Cost Estimation""";" ""Project Status"""
0;" ""Chemical Engineering""";"""Yes""";"""University of California, Berkeley""";"""85%""";"""$3M (Lab Equipment, Salaries)""";"""Contingency Plan, Quality Control""";"""Complex Reactions Mastered""";"""Passed all Tests""";"""Community Outreach, Investor Meetings""";"""Q1 2021 - Q4 2023""";"""Stainless Steel, Silicone""";"""15""";"""$5.5M""";"""On-schedule, Within Budget"""
1;"""Civil Engineering""";"""No""";"""Massachusetts Institute of Technology""";"""N/A""";"""$7M (Construction, Design)""";"""Weather Contingency, Insurance""";"""Supply Chain Issues""";"""N/A""";"""Government Agencies, Local Community""";"""N/A""";"""Concrete, Steel""";"""20""";"""$9M""";"""Pre-planning Stage"""
2;"""Electrical Engineering""";"""Yes""";"""Stanford University""";"""65%""";"""$1M (Hardware, Software)""";"""Data Security, Redundancy""";"""Power Efficiency Improved""";"""Passed all Tests""";"""Industry Professionals, Collaborators""";"""Q2 2022 - Q1 2024""";"""Printed Circuit Boards, Firmware""";"""8""";"""$1.2M""";"""Some Delays, Managing Costs"""
3;"""Mechanical Engineering""";"""Yes""";"""Carnegie Mellon University""";"""70%""";"""$4M (Prototype, Testing)""";"""Safety Measures, Fail-Safe Systems""";"""Design Optimized""";"""Passed all Tests""";"""Manufacturing Partners, End-Users""";"""Q3 2021 - Q2 2023""";"""Aluminum, Titanium""";"""10""";"""$4.5M""";"""Minor Delays, Controlled Spending"""
4;"""Aerospace Engineering""";"""No""";"""Georgia Institute of Technology""";"""N/A""";"""$6M (R&D, Prototyping)""";"""Regulatory Compliance, Failure Analysis""";"""N/A""";"""N/A""";"""Government Bodies, Industry Leaders""";"""N/A""";"""Composites, Alloys""";"""12""";"""$7M""";"""Planning Stage"""
5;"""Biomedical Engineering""";"""Yes""";"""Harvard University""";"""90%""";"""$2M (Research, Equipment)""";"""Ethical Considerations, Patient Safety""";"""Feasibility Demonstrated""";"""Passed all Tests""";"""Hospitals, Patients' Families""";"""Q4 2021 - Q3 2022""";"""Medical-grade Plastics, Electronics""";"""7""";"""$2.2M""";"""On Track, Minor Adjustments"""
6;"""Computer Engineering""";"""Yes""";"""California Institute of Technology""";"""55%""";"""$1.5M (Hardware, Software)""";"""Cybersecurity, Network Redundancy""";"""Performance Enhanced""";"""Passed all Tests""";"""Industry Experts, Academics""";"""Q1 2022 - Q4 2023""";"""Microchips, Code""";"""6""";"""$1.8M""";"""Minor Delays, Cost Management"""
7;"""Petroleum Engineering""";"""No""";"""University of Texas, Austin""";"""N/A""";"""$8M (Exploration, Drilling)""";"""Environmental Measures, Safety Protocols""";"""N/A""";"""N/A""";"""Joint Venture Partners, Authorities""";"""N/A""";"""Steel, Concrete""";"""14""";"""$10M""";"""Evaluation Stage"""
8;"""Engineering Management""";"""Yes""";"""Virginia Tech""";"""45%""";"""$1.5M (Personnel, Software)""";"""Risk Mitigation, Quality Control""";"""Efficiency Improved""";"""Passed all Tests""";"""Stakeholders, Project Team""";"""Q2 2022 - Q3 2023""";"""Project Management Tools, Communication Channels""";"""5""";"""$1.8M""";"""Delayed, Addressing Issues"""
9;"""Industrial Engineering""";"""Yes""";"""University of Michigan""";"""75%""";"""$3M (Consulting, Software)""";"""Supply Chain Management, Efficiency Analysis""";"""Optimization Strategies""";"""Passed all Tests""";"""Clients, Consultants""";"""Q3 2021 - Q2 2023""";"""Simulation Software, Data Analysis Tools""";"""9""";"""$3.5M""";"""On Schedule, Cost Control""</s>"
