;SociologicalTheory; ResearchDesign; DataCollectionMethod; AdditionalDataMethod1; AdditionalDataMethod2; SampleSize; Population; SamplingStrategy; DataAnalysisPlan; FindingsOfAdditionalMethods; ContributionToSociologicalTheory; Conclusion; ResearchEthics; Limitations; Replicability; FutureResearch; References
0;  SymbolicInteractionism; Surveys; Interviews; ParticipantObservation; ContentAnalysis; SampleSize-300; Population-LocalCommunity; SnowballSampling; QuantitativeDataAnalysis; IdentifiedTrendsInCommunication; ExpandedSymbolicInteractionismTheory; FurtherResearchNeeded; MaintainedAnonymity; LimitedByResources; ResultsCouldVary; LongitudinalStudy; Smith2020_SymbolicInteraction
1; ConflictTheory; Experiments; LongitudinalSurveys; DocumentAnalysis; NetworkAnalysis; SampleSize-500; Population-YoungAdults; RandomSampling; StatisticalDataAnalysis; FoundCorrelationBetweenInequalityAndConflict; ChallengedConflictTheory; MoreStudiesNeeded; InformedConsentObtained; LimitedByGeneralizability; CannotEstablishCausation; CaseControlStudy; Johnson2019_Conflict
2; Functionalism; CaseStudies; In-DepthInterviews; ExpertOpinionSurveys; ComparativeAnalysis; SampleSize-20; Population-ProfessionalsInField; PurposiveSampling; ThematicDataAnalysis; ProfessionalsValueSpecialization; ExtendedFunctionalismTheory; LimitedGeneralizability; EnsuredConfidentiality; LimitedByAccessToExperts; PotentiallyBiasedResults; ReplicationWithDifferentExperts; Davis2020_Functionalism
3; FeministTheory; FocusGroups; EthnographicInterviews; SemiStructuredInterviews; DiscourseAnalysis; SampleSize-50; Population-WomenInTechIndustry; QuotaSampling; NarrativeDataAnalysis; GenderInequalityPresent; AdvancedFeministTheory; FurtherResearchOnSolutions; EnsuredAnonymity; LimitedBySmallSample; ResultsMightVary; CrossSectionalStudy; Thompson2021_Feminism
4; RationalChoiceTheory; FieldExperiments; StructuredInterviews; ArchivalResearch; SystematicReview; SampleSize-1000; Population-OnlineShoppers; StratifiedSampling; QualitativeContentAnalysis; RationalityInShoppingDecisions; ExtendedRationalChoiceTheory; LimitedByOnlineShopperBias; MaintainedAnonymity; LimitedByGeneralizability; UnclearCausation; SurveyOfOnlineShoppers; Lee2020_RationalChoice
5; Marxism; LongitudinalSurveys; InDephInterviews; FocusGroups; SystematicLiteratureReview; SampleSize-200; Population-LowWageWorkers; ClusterSampling; MixedMethodsDataAnalysis; ClassStruggleConfirmed; UpdatedMarxismTheory; FutureResearchOnResistance; ProtectedIdentity; LimitedBySamplingBias; CannotEstablishCausation; RetrospectiveStudy; Patel2021_Marxism
6; SymbolicInteractionism; LongitudinalSurveys; EthnographicInterviews; DirectObservation; MetaAnalysis; SampleSize-800; Population-HighSchoolStudents; SystematicSampling; GroundedTheoryDataAnalysis; ImpactOfSocialMediaOnIdentity; ExpandedSymbolicInteractionism; LimitedByChangingTrends; EnsuredConfidentiality; LimitedByGeneralizability; ResultsCouldVary; LongitudinalCaseStudy; Miller2020_SymbolicInteraction
7; ConflictTheory; CaseStudies; ExpertOpinionSurveys; ParticipantObservation; ScopingReview; SampleSize-15; Population-RefugeeCamp; ConvenienceSampling; ThematicDataAnalysis; ConfirmationOfResourceScarcity; UpdatedConflictTheory; FutureResearchOnConflictResolution; MaintainedAnonymity; LimitedBySmallSample; PotentiallyBiasedResults; ObservationalStudy; Clark2021_Conflict
8; Functionalism; CrossSectionalSurveys; SemiStructuredInterviews; DocumentAnalysis; MetaSynthesis; SampleSize-120; Population-Teachers; SimpleRandomSampling; NarrativeDataAnalysis; ImportanceOfSocialIntegration; ExpandedFunctionalismTheory; FutureResearchOnMotivation; MaintainedAnonymity; LimitedByGeneralizability; LackOfCausality; SurveyOfTeachers; Wilson2020_Functionalism
9; FeministTheory; LongitudinalSurveys; UnstructuredInterviews; ContentAnalysis; SystematicMappingReview; SampleSize-300; Population-FemaleEntrepreneurs; SnowballSampling; QualitativeDataAnalysis; ObstaclesForFemaleEntrepreneurs; AdvancedFeministTheory; FurtherResearchOnSolutions; EnsuredAnonymity; LimitedBySmallPopulation; CannotEstablishCausation; LongitudinalQualitativeStudy; Taylor2021_Feminism</s>
