;Time Zone; Religious Composition;" ""Language(s)"" "; Education System; Economic Freedom Index; Trade Agreements%; Human Development Index%; Technology Access Rate%; Corruption Perceptions Index Score; Environmental Protection Measures; Tourism Industry Value; Historical Sites Count; Sports Culture Engagement; Soft Power Index; Cybersecurity Infrastructure Index
0;* Pacific/Marquesas; Christianity (60%), Other (40%); Samoan, French; French system; 75; 60%; 0.85; 50%; 32; $150 million; 12; Rugby, Soccer; 50; 40;
1;* America/St_Johns; Christianity (90%), Indigenous (10%); English; Canadian system; 80; 75%; 0.95; 80%; 58; $2.5 billion; 35; Hiking, Whale watching; 60; 65;
2;* Asia/Kabul; Islam (99%); Pashto, Dari; Afghan system; 45; 50%; 0.6; 20%; 15; $300 million; 5; Cricket, Buzkashi; 40; 35;
3;* Europe/Dublin; Christianity (80%), No religion (10%), Other (10%); English; Irish system; 89; 90%; 85%; 72; $8 billion; 60; Golf, Hurling; 70; 75;;
4;* Africa/Lagos; Christianity (40%), Islam (40%), Indigenous (20%); English, Yoruba, Igbo; Nigerian system; 45; 40%; 0.5; 25%; 100 million; 20; Soccer, Athletics; 45; 40;;
5;* America/La_Paz; Christianity (90%), Indigenous (10%); Spanish; Bolivian system; 65; 60%; 0.73; 40%; 28; $500 million; 20; Soccer, Volleyball; 55; 50;
6;* Europe/Moscow; Christianity (80%), No religion (15%), Other (5%); Russian; Russian system; 65; 70%; 75%; 28; $4 billion; 40; Ice hockey, Soccer; 65; 70;;
7;* Asia/Dhaka; Islam (90%), Hinduism (9%), Others (1%); Bengali; Bangladeshi system; 55; 60%; 0.58; 25%; 70 million; 30; Cricket, Soccer; 25; 20;;
8;* America/Caracas; Christianity (90%), No religion (10%); Spanish; Venezuelan system; 50; 45%; 0.72; 40%; 30; $1.5 billion; 25; Baseball, Soccer; 60; 55;
9;* Africa/Cairo; Islam (90%), Christianity (10%); Arabic; Egyptian system; 60; 55%; 0.69; 45%; 100 million; 40; Soccer, Squash; 70; 60;;
