;"""Building Type""";" ""Detailed Style""";" ""Historical Period""";" ""Geographical Location""";" ""Global Material Type""";" ""Gross Floor Area""";" ""Energy Efficiency Score""";" ""Construction Timeline""";" ""Architect/Design Firm""";" ""Historical Significance""";" ""Functional Zoning""";" ""Site Planning""";" ""Unique Features"""
0;"  ""Skyscraper""";" ""International Style""";" ""Modern""";" ""New York, USA""";" ""Steel and Glass""";" ""100,000 sq meters""";" ""90/100""";" ""2010-2014""";" ""SOM (Skidmore, Owings & Merrill)""";" ""Innovative design and energy efficiency""";" ""Office, retail, residential""";" ""Centralized core with offset split zones""";" ""Double-skin facade, rainwater harvesting"""
1;" ""Villa""";" ""Palladian Style""";" ""Renaissance""";" ""Vicenza, Italy""";" ""Brick and Stone""";" ""5,000 sq meters""";" ""80/100""";" ""1545-1560""";" ""Andrea Palladio""";" ""Influential design in Western architecture""";" ""Residential, leisure""";" ""Symmetrical plan, colonnaded portico""";" ""Proportional harmony, temple-like facade"""
2;" ""Mosque""";" ""Ottoman Style""";" ""Islamic Golden Age""";" ""Istanbul, Turkey""";" ""Stone and Marble""";" ""65,000 sq meters""";" ""70/100""";" ""1550-1561""";" ""Mimar Sinan""";" ""Spiritual and cultural significance""";" ""Worship, education, gathering""";" ""Axial layout, courtyard and minarets""";" ""Geometric patterns, calligraphy"""
3;" ""Palace""";" ""Rococo Style""";" ""Baroque""";" ""Versailles, France""";" ""Limestone and Marble""";" ""63,154 sq meters""";" ""65/100""";" ""1661-1710""";" ""Louis Le Vau, Jules Hardouin-Mansart""";" ""Symbol of royal grandeur and power""";" ""Royal apartments, state rooms, gardens""";" ""Central axis, formal gardens""";" ""Hall of mirrors, grand staircases"""
4;" ""Cathedral""";" ""Gothic Style""";" ""Medieval""";" ""Chartres, France""";" ""Limestone""";" ""11,300 sq meters""";" ""75/100""";" ""1194-1260""";" ""William of Sens, Fulk of Chartres""";" ""Sacred architecture and pilgrimage site""";" ""Religion, religious schooling""";" ""Cruciform plan, flying buttresses""";" ""Stained glass, sculptures"""
5;" ""Temple""";" ""Shinto Style""";" ""Japanese Feudal""";" ""Ise, Japan""";" ""Hinoki Wood""";" ""3,335 sq meters""";" ""85/100""";" ""690, rebuilt every 20 years""";" ""Unknown, spirit of the sun goddess""";" ""Religion, community gatherings""";" ""Sacred enclosures""";" ""Divine harmony, natural materials""";" ""Transience and renewal, cypress bark"""
6;" ""Museum""";" ""Brutalist Style""";" ""Modern""";" ""Ottawa, Canada""";" ""Concrete and Glass""";" ""35,000 sq meters""";" ""80/100""";" ""1967-1973""";" ""Arthur Erickson""";" ""Cultural heritage and contemporary art""";" ""Exhibition spaces, café, gift shop""";" ""Geometric forms, open spaces""";" ""Raw concrete, natural lighting"""
7;" ""Government Building""";" ""Classical Style""";" ""Greco-Roman""";" ""Washington D.C., USA""";" ""Marble and Granite""";" ""51,000 sq meters""";" ""75/100""";" ""1793-1800";" 1818-1829""";" ""James Hoban""";" ""Symbol of a nation's democracy""";" ""Congress chambers, offices, rotunda""";" ""Centralized plan, classical order""  ""Dome, Neoclassical columns"""
8;" ""University""";" ""Collegiate Gothic Style""";" ""Medieval Revival""";" ""Cambridge, UK""";" ""Sandstone""";" ""95,000 sq meters""";" ""80/100""";" ""1284-present""";" ""Various architects""";" ""Educational and cultural tradition""";" ""Classrooms, libraries, residential colleges""";" ""Medieval-inspired forms, quadrangles""";" ""Tower, cloisters"""
9;" ""Bungalow""";" ""California Style""";" ""Modern""";" ""Los Angeles, USA""";" ""Redwood, Stucco""";" ""200 sq meters""";" ""90/100""";" ""1900-1930""";" ""Greene and Greene""";" ""Residential design and outdoor living""";" ""Living, sleeping, dining, terraces""";" ""U-shaped plan, open floor layout""";" ""Woodwork, natural light""</s>"
