;Programming Fundamentals; Data Structures & Algorithms; Operating Systems; Memory Management; Networking; File Handling; Databases; Software Engineering; Web Development; Machine Learning; Artificial Intelligence; Cloud Computing; Information Security; Quantum Computing
0;" ""Java, C++, Python""";" ""Arrays, Linked Lists, Trees""";" ""Linux, Windows, MacOS""";" ""Paging, Segmentation, Swapping""";" ""TCP/IP, HTTP, SMTP""";" ""Read, Write, Append""";" ""SQL, NoSQL, Key-Value""";" ""Agile, Scrum, Waterfall""";" ""HTML, CSS, JavaScript""";" ""Regression, Classification, Clustering""";" ""Neural Networks, Deep Learning, NLP""";" ""AWS, Azure, Google Cloud""";" ""Encryption, Decryption, Hashing""";" ""Quantum Teleportation, Quantum Key Distribution, Shor's Algorithm"""
1;"""C#, Ruby, Swift""";" ""Stacks, Queues, Graphs""";" ""Unix, Chrome, Android""";" ""Virtual Memory, Demand Paging, Copy-on-Write""";" ""FTP, DNS, DHCP""";" ""File Streams, Random Access, Buffering""";" ""Relational, Object-Oriented, Document-Based""";" ""Spiral, V-Model, Iterative""";" ""React, Angular, Vue""";" ""Reinforcement, Unsupervised, Semi-Supervised""";" ""Genetic Algorithms, Support Vector Machines, Decision Trees""";" ""IBM Cloud, Oracle Cloud, Alibaba Cloud""";" ""Authentication, Authorization, Accounting""";" ""Superposition, Entanglement, Interference"""
2;"""Go, Rust, Kotlin""";" ""Hash Maps, Heaps, Trie""";" ""iOS, WatchOS, tvOS""";" ""Swapping, Thrashing, Fault Handling""";" ""ICMP, IGMP, ARP""";" ""Directories, Files, Links""";" ""Column-Based, Graph, Time-Series""";" ""Test-Driven, Feature-Driven, Model-Driven""";" ""PHP, Ruby on Rails, Laravel""";" ""Anomaly, Time Series, Fraud Detection""";" ""Transfer Learning, Style Transfer, Image Recognition""";" ""DigitalOcean, Linode, Rackspace""";" ""Intrusion Detection, Prevention, Response""";" ""Quantum Error Correction, Quantum Cryptography, Quantum Metrology"""
3;"""Pascal, Delphi, Lua""";" ""Binary Search Trees, AVL Trees, Splay Trees""";" ""Bitcoin, Ethereum, Litecoin""";" ""Memory Allocation, Deallocation, Fragmentation""";" ""DHCP, NTP, SNMP""";" ""Binary Files, Text Files, XML Files""";" ""Document, Relational, In-Memory""";" ""Code and Design Review, Walkthroughs, Inspections""";" ""WordPress, Joomla, Drupal""";" ""Deep Belief, Deep Autoencoder, Variational Autoencoder""";" ""Recommender Systems, Information Retrieval, Sentiment Analysis""";" ""VMware, Hyper-V, Citrix""";" ""Penetration Testing, Vulnerability Scanning, Risk Assessment""";" ""Quantum Simulation, Quantum Annealing, Quantum Computing Hardware"""
4;"""Fortran, Cobol, Perl""";" ""Dynamic Programming, Greedy Algorithms, Divide and Conquer""";" ""Zephyr, VxWorks, ThreadX""";" ""Page Replacement, Page Fault Handling, Working Set Model""";" ""RIP, OSPF, BGP""";" ""Record-Oriented, Message-Oriented, Object-Oriented""";" ""Graph, Column-Based, Key-Value""";" ""Design Patterns, Frameworks, Libraries""";" ""TypeScript, GraphQL, Apollo""";" ""Decision Forest, Decision Tree, Random Forest""";" ""Chatbots, Speech Recognition, Natural Language Understanding""";" ""Huawei Cloud, Salesforce, SAP Cloud""";" ""Firewall, Antivirus, Sandboxing""";" ""Quantum Random Number Generation, Quantum Supremacy, Quantum Walk"""
5;"""Scala, Groovy, Closure""";" ""Tries, Heaps, Hash Tables""";" ""Playstation, Xbox, Nintendo Switch""";" ""Memory Protection, Virtual Memory, Address Translation""";" ""GIT, SVN, Mercurial""";" ""Serialization, Marshalling, Pickling""";" ""In-Memory, Document, Column-Based""";" ""Continuous Integration, Continuous Deployment, Continuous Delivery""";" ""Flask, Django, Pyramid""";" ""Nearest Neighbour, K-means, Hierarchical Clustering""";" ""Generative Adversarial Networks, Adversarial Training, CycleGAN""";" ""OpenStack, CloudStack, Proxmox""";" ""Security Audits, Compliance Checking, Patch Management""";" ""Quantum Key Distribution, Quantum Teleportation, Quantum Secure Direct Communication"""
6;"""Smalltalk, Eiffel, OCaml""";" ""Red-Black Trees, B-Trees, Splay Trees""";" ""QNX, FreeBSD, OpenBSD""";" ""Demand Paging, Prepaging, Thrashing""";" ""RIPng, OSPFv3, IS-IS""";" ""Block, Character, Raw""";" ""RDF, XML, JSON""";" ""User Stories, Use Cases, Acceptance Tests""";" ""ASP.NET, ASP.NET Core, Blazor""";" ""Convolutional Neural Networks, Recurrent Neural Networks, Long Short-Term Memory""";" ""Sentiment Analysis, Image Labeling, Object Detection""";" ""F5, Akamai, Cloudflare""";" ""Threat Intelligence, Security Analytics, User Behavior Analysis""";" ""Quantum Cryptography, Quantum Key Exchange, Quantum-Resistant Algorithms"""
7;"""Lisp, Scheme, Erlang""";" ""Skip Lists, Segment Trees, Interval Trees""";" ""AROS, Haiku, MorphOS""";" ""Memory Management, Virtual Memory, Page Tables""";" ""EIGRP, IGRP, EGP""";" ""File Compression, Image Compression, Audio Compression""";" ""Key-Value, Document, Column-Based""";" ""Pair Programming, Test-First Development, Code Reviews""";" ""Ruby on Rails, Sinatra, Hanami""";" ""Principal Component Analysis, Linear Discriminant Analysis, Quadratic Discriminant Analysis""";" ""Deep Reinforcement Learning, Deep Deterministic Policy Gradients, Deep Q-Networks""";" ""Joyent, DigitalOcean, Linode""";" ""Incident Response, Digital Forensics, Malware Analysis""";" ""Quantum Computational Supremacy, Quantum Error Correction, Quantum Information Science"""
8;"""Prolog, Mercury, Oz""";" ""Hash Functions, Hashing, Cryptographic Hashing""";" ""Plan 9, Inferno, MirageOS""";" ""Memory Management, Garbage Collection, Resource Allocation""";" ""ICMPv6, IGMPv3, MLDv2""";" ""Data Streaming, Data Warehousing, Data Mining""";" ""Time-Series, Graph, Document""";" ""Behavior-Driven Development, Acceptance Test-Driven Development, Story Testing""";" ""Jekyll, Hugo, Pelican""";" ""Gradient Boosting, Random Forest, XGBoost""";" ""Instance Segmentation, Object Detection, Semantic Segmentation""";" ""Docker, Kubernetes, Mesos""";" ""Penetration Testing, Fuzzing, Exploit Development""";" ""Quantum Annealing, Quantum Simulated Annealing, Quantum Adiabatic Computing"""
9;"""Haskell, ML, F#""";" ""Convex Hull, Delaunay Triangulation, Line Intersection""";" ""Genode, HelenOS, Redox""";" ""Memory Management, Paging, Segmentation""";" ""RIPv2, ISAKMP, IKEv2""";" ""File System, Volume Management, Logical Volume Manager""";" ""Relational, Key-Value, Document-Oriented""";" ""Test-First Development, Behavior-Driven Development, Acceptance Test-Driven Development""";" ""Svelte, Sapper, Mithril""";" ""Naive Bayes, Decision Trees, Random Forest""";" ""Question Answering, Named Entity Recognition, Part-of-Speech Tagging""";" ""Apache, NGINX, LiteSpeed""";" ""Intrusion Detection, Prevention, Response""";" ""Quantum Supremacy, Quantum Computational Advantage, Quantum Complexity Theory""</s>"
