;"""City Names""";" ""_type=city_name"" ";" ""*Location*"": ""Continent""";" ""CountryName"" ";" ""_relationalop=(eq)""";" ""PopulationRanking"" ";" ""*Additional Info*"": ""Area\_Code""";" ""Timezone""";" ""CityType"" ";" ""*semantic_modifiers*"": ""City Size""";" ""Population""";" ""MajorAttractions""";" ""Latitude""";" ""Longitude"""
0;" ""Rio de Janeiro""";"""_type=city_name""";"""*Location*"": ""South America""";"""Brazil""";"""_relationalop=(eq)""";"""6th"" ";"""*Additional Info*"": ""55""";"""BRT ( Brasilia Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""6,455,000""";"""Christ the Redeemer, Copacabana, Ipanema Beach""";" ""-22.9068""";" ""-43.1729""  "
1;"""Paris""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""France""";"""_relationalop=(eq)""";"""3rd"" ";"""*Additional Info*"": ""33""";"""CET ( Central European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""2,141,000""";"""Eiffel Tower, Louvre Museum, Notre-Dame Cathedral""";" ""48.8566""";" ""2.3515""  "
2;"""Tokyo""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""1st"" ";"""*Additional Info*"": ""81""";"""JST ( Japan Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""9,654,000""";"""Tsukiji Fish Market, Meiji Shrine, Shibuya Crossing""";" ""35.6895""";" ""139.6917""  "
3;"""Mumbai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""India""";"""_relationalop=(eq)""";"""4th"" ";"""*Additional Info*"": ""91""";"""IST ( India Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""20,711,000""";"""Gateway of India, Marine Drive, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya""";" ""19.0760""";" ""72.8777""  "
4;"""New York""";"""_type=city\_name""";"""*Location*"": ""North America""";"""United States""";"""_relationalop=(eq)""";"""2nd"" ";"""*Additional Info*"": ""1""";"""EST ( Eastern Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""8,550,405""";"""Statue of Liberty, Central Park, Times Square""";" ""40.7128""";" ""-74.0060""  "
5;"""London""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""United Kingdom""";"""_relationalop=(eq)""";"""7th"" ";"""*Additional Info*"": ""44""";"""GMT ( Greenwich Mean Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""8,908,000""";"""Buckingham Palace, London Eye, British Museum""";" ""51.5074""";" ""-0.1278""  "
6;"""Shanghai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""China""";"""_relationalop=(eq)""";"""5th"" ";"""*Additional Info*"": ""86""";"""CST ( China Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""24,180,000""";"""The Bund, Yuyuan Garden, Shanghai Tower""";" ""31.2304""";" ""121.4737""  "
7;"""São Paulo""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Brazil""";"""_relationalop=(eq)""";"""8th"" ";"""*Additional Info*"": ""55""";"""BRT ( Brasilia Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""12,106,000""";"""Paulista Avenue, Ibirapuera Park, São Paulo Cathedral""";" ""-23.5505""";" ""-46.6333""  "
8;"""Los Angeles""";"""_type=city\_name""";"""*Location*"": ""North America""";"""United States""";"""_relationalop=(eq)""";"""18th"" ";"""*Additional Info*"": ""1""";"""PST ( Pacific Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""3,971,883""";"""Hollywood, Santa Monica Pier, Griffith Observatory""";" ""34.0522""";" ""-118.2437""  "
9;"""Osaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""9th"" ";"""*Additional Info*"": ""81""";"""JST ( Japan Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""19,281,000""";"""Osaka Castle, Universal Studios Japan, Dōtonbori""";" ""34.6937""";" ""135.5022""  </s>"
