;Commodity Prices;Central Bank Interest Rates;Consumer Price Index;Producer Price Index;Housing Market Index;Retail Sales;Industrial Production;Export Import Data;Balance of Trade;Budget Deficit/Surplus;Gross Fixed Capital Formation.
0; Corn Prices: $25/bushel ; Federal Reserve Interest Rate: 2.5% ; CPI: 2.2% ; PPI: 2.8% ; HMI: 68 ; Retail Sales: $500 billion ; Industrial Production: 2% ; Export: $250 billion ; Import: $275 billion ; Balance of Trade: -$25 billion ; Budget Deficit: -$50 billion   Gross Fixed Capital Formation: $1.2 trillion.
1;Soybean Prices: $50/bushel ; European Central Bank Interest Rate: 1% ; CPI: 1.5% ; PPI: 1.8% ; HMI: 70 ; Retail Sales: $520 billion ; Industrial Production: 2.5% ; Export: $260 billion ; Import: $280 billion ; Balance of Trade: -$20 billion ; Budget Deficit: -$40 billion   Gross Fixed Capital Formation: $1.3 trillion.
2;Gold Prices: $1,350/ounce ; Bank of England Interest Rate: 0.75% ; CPI: 2.1% ; PPI: 2.6% ; HMI: 65 ; Retail Sales: $480 billion ; Industrial Production: 1.5% ; Export: $240 billion ; Import: $265 billion ; Balance of Trade: -$25 billion ; Budget Deficit: -$60 billion   Gross Fixed Capital Formation: $1.1 trillion.
3;Crude Oil Prices: $65/barrel ; Reserve Bank of Australia Interest Rate: 1.5% ; CPI: 1.8% ; PPI: 2.2% ; HMI: 72 ; Retail Sales: $550 billion ; Industrial Production: 3% ; Export: $280 billion ; Import: $295 billion ; Balance of Trade: -$15 billion ; Budget Deficit: -$30 billion   Gross Fixed Capital Formation: $1.4 trillion.
4;Natural Gas Prices: $50/MMBtu ; Bank of Japan Interest Rate: -0.1% ; CPI: 0.5% ; PPI: 0.8% ; HMI: 60 ; Retail Sales: $450 billion ; Industrial Production: 0.5% ; Export: $220 billion ; Import: $245 billion ; Balance of Trade: -$25 billion ; Budget Deficit: -$70 billion   Gross Fixed Capital Formation: $1 trillion.
5;Copper Prices: $00/pound ; People's Bank of China Interest Rate: 4.35% ; CPI: 2.5% ; PPI: 3.2% ; HMI: 75 ; Retail Sales: $600 billion ; Industrial Production: 4% ; Export: $300 billion ; Import: $350 billion ; Balance of Trade: -$50 billion ; Budget Deficit: -$50 billion   Gross Fixed Capital Formation: $1.8 trillion.
6;Cotton Prices: $75/pound ; Swiss National Bank Interest Rate: -0.75% ; CPI: 0.9% ; PPI: 1.2% ; HMI: 63 ; Retail Sales: $470 billion ; Industrial Production: 1.8% ; Export: $230 billion ; Import: $255 billion ; Balance of Trade: -$25 billion ; Budget Deficit: -$40 billion   Gross Fixed Capital Formation: $1.1 trillion.
7;Sugar Prices: $15/pound ; Reserve Bank of India Interest Rate: 6.5% ; CPI: 4.5% ; PPI: 5.2% ; HMI: 80 ; Retail Sales: $800 billion ; Industrial Production: 6% ; Export: $40 billion ; Import: $60 billion ; Balance of Trade: -$20 billion ; Budget Deficit: $0   Gross Fixed Capital Formation: $2 trillion.
8;Wheat Prices: $75/bushel ; Bank of Canada Interest Rate: 1.75% ; CPI: 1.5% ; PPI: 1.8% ; HMI: 68 ; Retail Sales: $510 billion ; Industrial Production: 2% ; Export: $255 billion ; Import: $270 billion ; Balance of Trade: -$15 billion ; Budget Surplus: $20 billion   Gross Fixed Capital Formation: $1.3 trillion.
9;Aluminium Prices: $80/pound ; Reserve Bank of New Zealand Interest Rate: 1.75% ; CPI: 1.8% ; PPI: 2.2% ; HMI: 65 ; Retail Sales: $490 billion ; Industrial Production: 1.5% ; Export: $265 billion ; Import: $290 billion ; Balance of Trade: -$25 billion ; Budget Surplus: $10 billion   Gross Fixed Capital Formation: $1.2 trillion.</s>
