;Philosophical Concept* (Shared);Major Theorist* (Shared);# of Adherents* (Shared);Influential Work* (Shared);Related Column 1;Related Column 2;Related Column 3;Related Column 4;Related Column 5
0;"  ""Existence of God*";St. Thomas Aquinas*;1.3 Billion (Catholicism)*;Summa Theologica*;Theology;Metaphysics;Ethics;"Natural Law""";
1;" ""Moral Relativism*";John Stuart Mill*;8 Million (United Kingdom)*;On Liberty*;Ethics;Political Philosophy;Utilitarianism;"Libertarianism""";
2;" ""Determinism vs Free Will*";Aristotle*;Unknown (Ancient Greece)*;Nicomachean Ethics*;Metaphysics;Ethics;Political Philosophy;"Logic""";
3;" ""Epistemological Skepticism*";Rene Descartes*;71 Million (France)*;Meditations on First Philosophy*;Epistemology;Metaphysics;Science;"Cognitive Science""";
4;" "" tabula rasa*";John Locke*;239 Million (United States)*;An Essay Concerning Human Understanding*;Epistemology;Political Philosophy;Psychology;"Linguistics""";
5;" ""Utilitarianism*";Jeremy Bentham*;6 Million (United Kingdom)*;An Introduction to the Principles of Morals and Legislation*;Ethics;Political Philosophy;Economics;"Law""";
6;" ""Dialectical Materialism*";Karl Marx*;3.3 Billion (People Aligned with Communism)*;Das Kapital*;Political Philosophy;Economics;Sociology;"Anthropology""";
7;" ""Phenomenology*";Edmund Husserl*;81 Million (Germany)*;Ideas I*;Epistemology;Metaphysics;Psychology;"Cognitive Science""";
8;" ""Pragmatism*";William James*;333 Million (United States)*;Pragmatism*;Epistemology;Metaphysics;Psychology;"Education""";
9;" ""Existentialism*";Jean-Paul Sartre*;72 Million (France)*;Being and Nothingness*;Existentialism;Metaphysics;Psychology;Literature</s>;
10;"  ""Logical Positivism*";A.J. Ayer*;56 Million (United Kingdom)*;Language, Truth and Logic*;Epistemology;Logic;Language;"Philosophy of Science""";
11;" ""Stoicism*";Epictetus*;20 Million (Greco-Roman World)*;Enchiridion*;Ethics;Logic;Physics;"Government""";
