;"\
ExcavationDate";"\
PrimaryInvestment";"\
FundingSource";"\
ExcavationTeamLeader";"\
FieldSpecialist1";"\
FieldSpecialist2";"\
FieldSpecialist3";"\
FieldSpecialistNotes";"\
LabSpecialist1";"\
LabSpecialist2";"\
LabSpecialist3";"\
LabSpecialistNotes";"\
PublicationYear"
0;9/15/2018; Great Zimbabwe Ruins; National Geographic Society; Dr. Alice Thompson;;;;;;;;;
1;Dr. Henry Jackson (Ceramics); Dr. Maria Rodriguez (Human Remains); Dr. James Lee (Botany);;;;;;;;;;
2;Dr. Jackson found several examples of Rhodesian red slipware.;;;;;;;;;;;;
3;Dr. Sarah Adams (Chemistry); Dr. Thomas Clark (Metallurgy); Dr. Emma Davis;;;;;;;;;;
4;Dr. Adams identified traces of gold in pottery.;;;;;;;;;;;;
5;4/22/2017; Angkor Wat Temples; World Monuments Fund; Dr. Simon Wu;;;;;;;;;
6;Dr. Laura Kim (Architecture); Dr. Juan Gonzalez (Sculpture); Dr. Megan Keller (Inscriptions);;;;;;;;;;
7;Dr. Kim discovered evidence of advanced hydraulic engineering.;;;;;;;;;;;;
8;Dr. Brian Johnson (Ceramics); Dr. Rachel Smith (Botany); Dr. Michael Thompson;;;;;;;;;;
9;Dr. Johnson's team found numerous ceramic shards with Buddhist symbols.;;;;;;;;;;;;
10;8/10/2016; Machu Picchu Citadel; National Geographic Society; Dr. Emily Barnes;;;;;;;;;
11;Dr. Robert Miller (Architecture); Dr. Sofia Mendez (Textiles); Dr. Daniel Martinez (Terracing);;;;;;;;;;
12;Dr. Miller's team analyzed the complex terracing system.;;;;;;;;;;;;
13;Dr. Rebecca Harris (Ceramics); Dr. Elizabeth Rodriguez (Botany); Dr. Kevin Lewis;;;;;;;;;;
14;Dr. Harris unearthed several examples of Inca pottery with specific agricultural motifs.;;;;;;;;;;;;
15;11/5/2015; Pompeii Ruins; Italian Ministry of Culture; Dr. Mark Anderson;;;;;;;;;
16;Dr. Elizabeth White (Architecture); Dr. Carlos Martin (Frescoes); Dr. Susan Taylor (Castings);;;;;;;;;;
17;Dr. White's team studied the architectural innovations of the ancient Romans.;;;;;;;;;;;;
18;Dr. James Clark (Numismatics); Dr. Amy Adams (Metallurgy); Dr. Richard Davis;;;;;;;;;;
19;Dr. Clark's team discovered several coins with the image of the emperor Nero.;;;;;;;;;;;;
20;3/12/2014; Petra Ruins; Jordanian Department of Antiquities; Dr. Susan Thompson;;;;;;;;;
21;Dr. David Harris (Architecture); Dr. Maria Lopez (Sculpture); Dr. Daniel Mitchell (Inscriptions);;;;;;;;;;
22;Dr. Harris's team analyzed the Nabatean architectural elements.;;;;;;;;;;;;
23;Dr. Emma Johnson (Ceramics); Dr. Rebecca Davis (Botany); Dr. Michael Brown;;;;;;;;;;
24;Dr. Johnson's team found several ceramic fragments with Nabatean symbols.;;;;;;;;;;;;
25;6/25/2013; Tikal Ruins; Guatemalan Institute of Anthropology and History; Dr. John Evans;;;;;;;;;
26;Dr. Rebecca Miller (Architecture); Dr. Carlos Gonzalez (Hieroglyphs); Dr. Lisa Hall (Ecology);;;;;;;;;;
27;Dr. Miller's team deciphered several hieroglyphic inscriptions.;;;;;;;;;;;;
28;Dr. Brian White (Ceramics); Dr. Elizabeth Thompson (Botany); Dr. Daniel Wright;;;;;;;;;;
29;Dr. White's team discovered numerous examples of Maya pottery with astronomical motifs.;;;;;;;;;;;;
30;9/10/2012; Egyptian Pyramids; Egyptian Supreme Council of Antiquities; Dr. Michael Adams;;;;;;;;;
31;Dr. Sarah Johnson (Architecture); Dr. James Wilson (Inscriptions); Dr. Elizabeth Taylor (Artefacts);;;;;;;;;;
32;Dr. Johnson's team studied the structural innovations of the pyramids.;;;;;;;;;;;;
33;Dr. Rebecca Brown (Ceramics); Dr. Daniel Lewis (Botany); Dr. Susan Green;;;;;;;;;;
34;Dr. Brown's team found fragments of pottery with seals of the pharaoh Khufu.;;;;;;;;;;;;
35;12/15/2011; Roman Forum; Italian Ministry of Culture; Dr. Rebecca Thompson;;;;;;;;;
36;Dr. David Wilson (Architecture); Dr. Laura Evans (Mosaics); Dr. James Clark (Inscriptions);;;;;;;;;;
37;Dr. Wilson's team analyzed the architectural remains of the forum.;;;;;;;;;;;;
38;Dr. Susan Johnson (Ceramics); Dr. Brian Lewis (Botany); Dr. Elizabeth Green;;;;;;;;;;
39;Dr. Johnson's team discovered fragments of terra sigillata with Republican-era motifs.;;;;;;;;;;;;
40;3/20/2010; Greek Temples; Greek Ministry of Culture; Dr. David Evans;;;;;;;;;
41;Dr. Emily White (Architecture); Dr. Carlos Adams (Sculpture); Dr. Susan Taylor (Inscriptions);;;;;;;;;;
42;Dr. White's team studied the Doric and Ionic architectural elements.;;;;;;;;;;;;
43;Dr. Brian Johnson (Ceramics); Dr. Rebecca Davis (Botany); Dr. Michael Brown;;;;;;;;;;
44;Dr. Johnson's team found several examples of black-figure pottery with mythological scenes.;;;;;;;;;;;;
45;6/5/2009; Chinese Terracotta Army; Chinese State Administration of Cultural Heritage; Dr. Susan Brown;;;;;;;;;
46;Dr. John Johnson (Archaeology); Dr. Maria Wilson (Conservation); Dr. James White (Metallurgy);;;;;;;;;;
47;Dr. Johnson's team analyzed the manufacturing techniques of the terracotta figures.;;;;;;;;;;;;
48;Dr. Elizabeth Adams (Ceramics); Dr. David Lewis (Botany); Dr. Rebecca Green;;;;;;;;;;
49;Dr. Adams' team discovered evidence of organic material in the warriors' hair.;;;;;;;;;;;;
