;Computational Theory; Software Engineering Principles; Program Logic & Proofs; Artificial Intelligence; Human-Computer Interaction; Cybersecurity and Encryption; Research Methodology; Ethics in CS; Cloud Computing and Virtualization; Quantum Computing; Parallel Processing; Natural Language Processing; Data Visualization
0;  Computational Theory: Recursive functions theorem; Church-Turing thesis; Decidability and undecidability; Turing machines; μ-recursive functions;;;;;;;;
1;   Software Engineering Principles: Waterfall model; Agile methodology; Software development life cycle; Clean architecture; Code reviews;;;;;;;;
2;   Program Logic & Proofs: Hoare logic; Floyd-Hoare procedure; Predicate transformers; Correctness proofs; Invariants;;;;;;;;
3;   Artificial Intelligence: Symbolic AI; Neural networks; Deep learning; Reinforcement learning; Genetic algorithms;;;;;;;;
4;   Human-Computer Interaction: User-centered design; Usability testing; Gestural interaction; Eye-tracking; Emotional design;;;;;;;;
5;   Cybersecurity and Encryption: Cryptographic hash functions; Symmetric and asymmetric encryption; Public key infrastructure; Intrusion detection systems; Penetration testing;;;;;;;;
6;   Research Methodology: Literature reviews; Case studies; Surveys; Experimental design; Statistical analysis;;;;;;;;
7;   Ethics in CS: Intellectual property rights; Privacy; Algorithmic fairness; Digital divide; Professional responsibility;;;;;;;;
8;   Cloud Computing and Virtualization: Infrastructure as a service; Platform as a service; Software as a service; Containerization; Serverless computing;;;;;;;;
9;   Quantum Computing: Quantum bits; Quantum gates; Quantum algorithms; Quantum error correction; Quantum supremacy;;;;;;;;
10;   Parallel Processing: Shared memory systems; Distributed memory systems; Multithreading; Synchronization; Load balancing;;;;;;;;
11;   Natural Language Processing: Part-of-speech tagging; Sentiment analysis; Machine translation; Named entity recognition; Question answering;;;;;;;;
12;   Data Visualization: Data visualization principles; Chart selection; Interactive visualization; Data encoding techniques; Visualization design.;;;;;;;;
13; Computational Theory: Lambda calculus; Recursive functions; Decidability; Rice's theorem; Kleene's theorem;;;;;;;;
14;   Software Engineering Principles: Scrum; Test-driven development; Object-oriented design; Continuous integration; Code reuse;;;;;;;;
15;   Program Logic & Proofs: Weakest preconditions; Inductive assertions; Model checking; Inference rules; Propositional logic;;;;;;;;
16;   Artificial Intelligence: Expert systems; Fuzzy logic; Computational learning theory; Artificial neural networks; Robotics;;;;;;;;
17;   Human-Computer Interaction: Human factors; User experience design; Accessibility; User interface design; Affordances;;;;;;;;
18;   Cybersecurity and Encryption: Data encryption standard; RSA algorithm; Cryptographic protocols; Secure channels; Digital signatures;;;;;;;;
19;   Research Methodology: Grounded theory; Action research; Ethnography; Content analysis; Thematic analysis;;;;;;;;
20;   Ethics in CS: Bias in algorithms; Digital surveillance; Data privacy; Augmented intelligence; Open science;;;;;;;;
21;   Cloud Computing and Virtualization: Virtual machines; Elastic computing; Cloud storage; Microservices; DevOps;;;;;;;;
22;   Quantum Computing: Quantum annealing; Grover's algorithm; Shor's algorithm; Quantum key distribution; Quantum teleportation;;;;;;;;
23;   Parallel Processing: Distributed computing; Flynn's taxonomy; Parallel algorithms; Multicore architectures; Hyper-threading;;;;;;;;
24;   Natural Language Processing: Word embeddings; Latent semantic analysis; Named entity disambiguation; Corpus linguistics; Word sense disambiguation;;;;;;;;
25;   Data Visualization: Color theory; Visual hierarchy; Cartography; Interaction design; Data storytelling.;;;;;;;;
26; Computational Theory: Time and space complexity; Decision problems; P vs NP problem; Boolean satisfiability problem; Context-free grammars;;;;;;;;
27;   Software Engineering Principles: Requirements engineering; Software testing; Refactoring; Software metrics; Quality assurance;;;;;;;;
28;   Program Logic & Proofs: Axiomatic semantics; Floyd's method; Hoare triples; Denotational semantics; Functional programming;;;;;;;;
29;   Artificial Intelligence: Machine learning; Deep belief networks; Evolutionary algorithms; Deep reinforcement learning; Multi-agent systems;;;;;;;;
30;   Human-Computer Interaction: Human-computer communication; Human information processing; Task analysis; Cognitive walkthroughs; Trust in automation;;;;;;;;
31;   Cybersecurity and Encryption: Elliptic curve cryptography; Cryptanalysis; Cryptographic hash functions; Key management; Biometric authentication;;;;;;;;
32;   Research Methodology: Phenomenology; Case study research; Longitudinal studies; Survey research; Systematic reviews;;;;;;;;
33;   Ethics in CS: Cyberwarfare; Algorithmic transparency; Data ownership; Responsible innovation; Human-AI collaboration;;;;;;;;
34;   Cloud Computing and Virtualization: Service-oriented architecture; Cloud management; Virtualization security; Hybrid cloud; Edge computing;;;;;;;;
35;   Quantum Computing: Quantum walk; Quantum machine learning; Quantum error correction codes; Topological quantum computing; Quantum supremacy experiments;;;;;;;;
36;   Parallel Processing: Distributed shared memory; Data parallelism; Model-view-controller pattern; GPU computing; Hadoop framework;;;;;;;;
37;   Natural Language Processing: Dependency parsing; Coreference resolution; Language modeling; Dialog systems; Semantic role labeling;;;;;;;;
38;   Data Visualization: Data preparation; Exploratory data analysis; Geospatial visualization; Linked data; Immersive analytics.;;;;;;;;
39; Computational Theory: Linear bounded automata; Space-time tradeoffs; Decision procedures; Decision trees; Markov decision processes;;;;;;;;
40;   Software Engineering Principles: Configuration management; Model-driven architecture; Software product lines; Software verification; Formal methods;;;;;;;;
41;   Program Logic & Proofs: Separation logic; Spatial logic; Predicate transformer semantics; Floyd-Hoare logic; Type theory;;;;;;;;
42;   Artificial Intelligence: Deep learning frameworks; Natural language processing; Computational creativity; Knowledge representation; Swarm intelligence;;;;;;;;
43;   Human-Computer Interaction: User modeling; Adaptive interfaces; User-adaptive systems; Cognitive ergonomics; Affective computing;;;;;;;;
44;   Cybersecurity and Encryption: Cryptographic protocols; Advanced encryption standard; Digital certificates; Data leakage prevention; Privacy-preserving data mining;;;;;;;;
45;   Research Methodology: Replicability; Randomized controlled trials; Meta-analysis; Research ethics; Research synthesis;;;;;;;;
46;   Ethics in CS: Surveillance capitalism; Discrimination in algorithms; Ethical data mining; Cyberstalking; Autonomous weapons systems;;;;;;;;
