;Island Nation; Oceanic Region; Number Of Islands; 
0; Japan; Western Pacific; 6852;
1;Indonesia; Indian and Pacific Oceans; 17508;
2;Philippines; Pacific Ocean; 7641;
3;New Zealand; Pacific Ocean; 600;
4;Madagascar; Indian Ocean; 482;
5;Ireland; Atlantic Ocean; 82;
6;Sri Lanka; Indian Ocean; 1340;
7;Cuba; Atlantic Ocean and Caribbean Sea; 4195;
8;Bahamas; Atlantic Ocean; 700;
9;Seychelles; Indian Ocean; 115;
10; Fiji; Pacific Ocean; 332;
11;Papua New Guinea; Pacific Ocean; 600;
12;Indonesia; Pacific and Indian Oceans; 17508;
13;Japan; Pacific Ocean; 6852;
14;United Kingdom; Atlantic and Indian Oceans; 28;
15;Ireland; Atlantic Ocean; 7;
16;Denmark; Atlantic Ocean and North Sea; 443;
17;Iceland; North Atlantic Ocean; 1;</s>
18; Philippines; Pacific Ocean; 7641;
19;Maldives; Indian Ocean; 1192;
20;Cuba; Atlantic Ocean; 4195;
21;Singapore; Pacific Ocean; 63;</s>
22;Indonesia; Indian Ocean; 17508;
23;Papua New Guinea; Pacific Ocean; 6000;
24;Iceland; North Atlantic Ocean; 48;
25;Bermuda; Atlantic Ocean; 181;
26;Ireland; North Atlantic Ocean; 822;
27;Seychelles; Indian Ocean; 115;</s>
28; Maldives; Indian Ocean; 1192;
29;Fiji; South Pacific Ocean; 332;
30;Indonesia; Pacific and Indian Oceans; 18307;
31;Madagascar; Indian Ocean; 5000;
32;Canada(Arctic Archipelago); Arctic Ocean; 36581;</s>
33;New Zealand; Pacific Ocean; 714;
34;Ireland; Atlantic Ocean; 734;
35;United Kingdom(Includes Isle of Man, Bailiwicks of Jersey and Guernsey); Atlantic Ocean; 1708;
36;Greece(Includes Ionian and Aegean Islands); Mediterranean Sea; 6000;
37;Norway; Atlantic Ocean and Barents Sea; 50000;
38; Philippines; Pacific Ocean; 7640;
39;Sweden; Baltic Sea and Atlantic Ocean; 221;
40;Finland; Baltic Sea; 179;
41;New Zealand; Pacific Ocean; 717;
42;Ireland; Atlantic Ocean; 822;
43;Madagascar; Indian Ocean; 1152;
44;Sri Lanka; Indian Ocean; 830;
45;Cuba; Atlantic and Caribbean Seas; 4195;</s>
46;Iceland; North Atlantic Ocean; 497;
47;Ireland; North Atlantic Ocean; 84;
48;United Kingdom; North Atlantic Ocean; 144;</s>
49; Japan; Northwestern Pacific Ocean; 6852;
50;Philippines; Philippine Sea; 7641;
51;New Zealand; South Pacific Ocean; 717;
52;Cuba; Caribbean Sea; 4248;
53;Haiti; Caribbean Sea; 41;
54;Canada; Atlantic Ocean, Pacific Ocean, Arctic Ocean; 5219.</s>;
55;Sri Lanka; Indian Ocean; 8;
56;United Kingdom; Atlantic Ocean; 1708.</s>;
57;Indonesia; Pacific Ocean, Indian Ocean; 17508;
58;Cuba; Atlantic Ocean, Gulf of Mexico, Caribbean Sea; 4195;
59;Iceland; Atlantic Ocean, Norwegian Sea; 314;
60;Madagascar; Indian Ocean; 5870;
