;BusinessAnalyticsDossier;Company Name;Census Classification Code (e.g., NAICS);Annual Revenue;Quarterly Revenue;Marketing Expense (%);Sales Expense (%);Employee Count;Geographic Location;Industry Division;Growth Momentum;Demographics;Market Situational Awareness;Projections & Forecasts;Profitability Ratios %
0;  BusinessAnalyticsDossier;Tesla, Inc.;334511 - Motor Vehicle Manufacturing;$31.5 billion;$7.4 billion;9.0%;16.2%;48,016;California, USA;Manufacturing;High;Millennials & Gen Z;Rising;Eco-conscious consumers;Optimistic 30%
1; BusinessAnalyticsDossier;Amazon.com, Inc.;454110 - Electronic Shopping and Mail-Order Houses;$386.1 billion;$110.8 billion;11.0%;19.9%;1,335,000;Washington, USA;Retail Trade;Very High;Millennials;Stable;Online shoppers;Positive 35%
2; BusinessAnalyticsDossier;Alphabet Inc.;518210 - Data Processing, Hosting, and Related Services;$182.5 billion;$45.6 billion;15.0%;12.2%;156,500;California, USA;Information;High;Millennials & Gen X;Rising;Data-dependent businesses;Neutral 45%
3; BusinessAnalyticsDossier;Microsoft Corporation;541511 - Custom Computer Programming Services;$168.1 billion;$42.3 billion;12.0%;10.8%;175,600;Washington, USA;Professional, Scientific, & Technical Services;High;Gen X & Baby Boomers;Stable;Tech-focused companies;Positive 50%
4; BusinessAnalyticsDossier;Facebook, Inc.;541511 - Custom Computer Programming Services;$85.9 billion;$21.4 billion;18.0%;13.7%;52,534;California, USA;Professional, Scientific, & Technical Services;High;Millennials & Gen Z;Stable;Advertisers;Positive 55%
5; BusinessAnalyticsDossier;Johnson & Johnson;339113 - Medical Equipment and Supplies Manufacturing;$93.8 billion;$24.4 billion;6.0%;4.2%;135,100;New Jersey, USA;Manufacturing;High;Baby Boomers;Stable;Healthcare providers;Neutral 25%
6; BusinessAnalyticsDossier;JPMorgan Chase & Co.;522110 - Commercial Banking;$135.0 billion;$34.7 billion;4.0%;3.5%;266,390;New York, USA;Finance and Insurance;Very High;Gen X & Baby Boomers;Stable;Banks and financial institutions;Positive 20%
7; BusinessAnalyticsDossier;Visa Inc.;522210 - Credit Card Issuing;$23.5 billion;$6.2 billion;3.0%;2.5%;19,100;California, USA;Finance and Insurance;Very High;Millennials & Gen X;Stable;Credit card users;Positive 60%
8; BusinessAnalyticsDossier;Procter & Gamble Company;311423 - Soap and Other Detergent Manufacturing;$71.0 billion;$18.7 billion;5.0%;4.1%;102,000;Ohio, USA;Manufacturing;Medium;Gen X;Stable;Consumer goods retailers;Neutral 35%
9; BusinessAnalyticsDossier;IBM Corporation;541519 - Other Computer Related Services;$78.0 billion;$19.9 billion;10.0%;8.3%;352,000;New York, USA;Professional, Scientific, & Technical Services;High;Baby Boomers;Stable;Businesses with IT needs;Positive 40%</s>
10;  BusinessAnalyticsDossier;Microsoft Corporation;511210 - Software Publishers;$143.0 billion;$36.7 billion;15.0%;12.0%;175,000;Washington, USA;Professional, Scientific, & Technical Services;Very High;Gen X & Baby Boomers;Stable;Businesses with technology needs;Positive 50%
