;"""Math Concept Visualizations""";" ""Abstract Representations""";" ""Problem-Solving Techniques""";" ""Mathematical Structures""";" ""Modeling and Simulation""";" ""Connections to Other Disciplines""";" ""Teaching and Learning Strategies""";" ""Assessment Methods""";" ""Ethical Considerations""";" ""Technological Tools""";" ""Research Trends"""
0;"  ""Fractals"; Complex numbers; Iterative methods, Fractal geometry; Simulating population growth; Art and nature; Inquiry-based learning; Concept maps; Performance-based assessment; Stereotypes in math education; Dynamic geometry software;" Computational thinking."""
1;" ""Topology"; Homeomorphisms; Fixed-point theorems, Rubber sheet geometry; Network analysis; Linguistics and logic; Explicit instruction; Standardized testing; Impostor syndrome; GeoGebra;" Machine learning in math.""";
2;" ""Calculus"; Limits and continuity; Optimization; Differential equations; Chaos theory; Economics and physics; Collaborative problem-solving; Formative assessment; Cultural bias; Desmos;" Natural language processing in math."""
3;" ""Graph theory"; Connectivity; Planar graphs; Route planning; Social network analysis; Computer science and sociology; Conceptual change model; Authentic assessment; Access and equity; Online graphing tools;" Data visualization."""
4;" ""Linear algebra"; Matrices; Vector spaces; Linear transformations; Machine learning and AI; Engineering and physics; Jigsaw method; Peer assessment; Inclusive teaching; Math Solvers;" Symbolic computation."""
5;" ""Geometry"; Congruence and similarity; Trigonometry; Symmetry; Non-Euclidean geometries; Architecture and design; Problem posing; Self-assessment; Mathematics and society; SketchUp;" Text analysis in math."""
6;" ""Probability"; Sets and events; Random variables; Conditional probability; Game theory and psychology; Statistics and data science; Project-based learning; Rubrics; Ethics of data analysis; Montessori materials;" Computational probability."""
7;" ""Number theory"; Prime numbers; Congruences; Diophantine equations; Cryptography and coding theory; Cultural aspects of number; Reciprocal teaching; Learning styles; Intellectual property; Parabola grapher;" Algebraic geometry."""
8;" ""Logic"; Propositional and predicate logic; Truth tables and natural deduction; Set theory; Fuzzy logic; Philosophy and linguistics; Inquiry-oriented instruction; Directed questioning; Transformative learning; Logo programming;" Argument mapping."""
9;" ""Statistics"; Descriptive and inferential statistics; Hypothesis testing; Sampling; Survey research; Psychology and epidemiology; Cognitive apprenticeship; Mastery learning; Open educational resources; TinkerPlots;" Data science ethics.""</s>"
10;"  ""Geometry"; Euclidean and non-Euclidean geometries; Axioms and postulates; Distance and angle measurements; Transformations; Spatial reasoning; Tactile and kinesthetic learning; Performance-based assessment; Design ethics; Google Earth;" Geometric modeling."""
11;" ""Calculus"; Limits; Derivatives and integrals; Single and multivariable calculus; Infinite series; Optimization; Conceptual understanding; Just-in-time teaching; Open educational resources; MAPLE;" Ethical use of algorithms."""
12;" ""Topology"; Point-set and algebraic topology; Homotopy and homology; Manifolds; Knot theory; Visual and spatial reasoning; Collaborative problem-solving; Authentic assessment; Intellectual property; Mathematica;" Ethical implications of dimensionality reduction."""
13;" ""Linear algebra"; Vector spaces; Matrices and determinants; Eigenvalues and eigenvectors; Linear transformations; Abstract thinking; Inquiry-based learning; Peer assessment; Data security; MATLAB;" Fairness in machine learning."""
14;" ""Differential equations"; Ordinary and partial; Linear and nonlinear; Stability and bifurcations; Exact solutions; Dynamical systems; Computational modeling; Formative assessment; Responsible conduct; Mathematical modeling software;" Sensitivity to initial conditions."""
15;" ""Combinatorics"; Counting; Graph theory; Matroids; Design theory; Probabilistic method; Game-based learning; Self-assessment; Research ethics; Combinatorial game theory software;" Ethical considerations in network analysis."""
