;`Artwork; Artist; Date Created; Medium; Width; Height; Depth; Period; Style; Subject Matter; Technique; Condition; Notes`
0;" ""Mona Lisa"""; Leonardo da Vinci; 1503-1506; Oil on poplar; 77 cm × 53 cm; 3/4 inch; Renaissance; Italian Renaissance; Half-length portrait; Enigmatic smile, Italian woman wearing black dress; sfumato; Excellent; Commissioned by Francesco del Giocondo
1;"""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 cm × 92.1 cm; 2 inches; Post-Impressionism; Pointillism; Starry night over the Rhone river; Swirling stars, cypress tree, village; Impasto; Good; Depicts van Gogh's view from his asylum window
2;"""The Persistence of Memory"""; Salvador Dali; 1931; Oil on canvas; 24.1 cm × 33 cm; 1 inch; Surrealism; Spain; Melting pocket watches; Distorted cliffs, fly; Oil paint, pencil; Good; Explores the nature of time and memory
3;"""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 cm × 880 cm; 20 feet × 35 feet; Renaissance; Italian Renaissance; Biblical scene; Jesus and his disciples; Fresco; Poor; Painted on the wall of the Convent of Santa Maria delle Grazie
4;"""The Night Watch"""; Rembrandt van Rijn; 1642; Oil on canvas; 363 cm × 437 cm; 12 feet × 14.3 feet; Baroque; Dutch Golden Age; Militia company; Soldiers, captain, lieutenant; Oil paint, glazing; Good; One of Rembrandt's masterpieces
5;"""The Scream"""; Edvard Munch; 1893; Pastel on cardboard; 91 cm × 73.5 cm; 3 feet × 2.4 feet; Expressionism; Norway; Anxious figure; Norwegian landscape, red sky, fjord; Pastel; Poor; Part of a series of four versions, this one being the most famous
6;"""Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 cm × 39 cm; 17.5 inches × 15.4 inches; Baroque; Dutch Golden Age; Young woman; Pearl earring, turban; Oil paint; Excellent;" Often referred to as the ""Dutch Mona Lisa"""
7;"""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 cm × 60 cm; 32.36 inches × 23.62 inches; Early Netherlandish; Flemish; Wedding scene; Man, woman, convex mirror; Oil paint; Good; Intricate details, including a single lit candle and a small dog
8;"""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 cm × 776.6 cm; 137.5 inches × 305.75 inches; Cubism; Spain; Civil War; Bull, horse, human figures; Oil paint; Good; Represents the bombing of Guernica by German and Italian warplanes
9;"""The Birth of Venus"""; Sandro Botticelli; 1485-1486; Tempera on canvas; 172.5 cm × 278.9 cm; 5 feet 7.75 inches × 9 feet 1.75 inches; Early Renaissance; Italian Renaissance; Mythological scene; Venus, Zephyrus, nymphs; Tempera; Good; Commissioned by Lorenzo di Pierfrancesco de' Medici</s>
10;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 cm × 33 cm; 9.5 inches × 13 inches; Surrealism; Spain; Dream; Melting clocks, barren landscape; Oil paint; Good; Inspired by the theory of relativity
11;"""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 cm × 92.1 cm; 29 inches × 36.25 inches; Post-Impressionism; Netherlands; Night sky; Swirling stars, cypress tree; Oil paint; Fair; Painted while in an asylum
12;"""The Night Watch"""; Rembrandt Harmenszoon van Rijn; 1642; Oil on canvas; 379.5 cm × 453.5 cm; 149.4 inches × 178.5 inches; Dutch Golden Age; Baroque; Military; Captain Frans Banning Cocq and his company; Oil paint; Fair; Commissioned by Captain Frans Banning Cocq
13;"""The Scream"""; Edvard Munch; 1893; Pastel on board; 91 cm × 73.5 cm; 35.83 inches × 28.94 inches; Expressionism; Norway; Anxiety; Desolate landscape, figure with an agonized face; Pastel; Poor; Four versions exist, one was stolen in 2004
14;"""The Last Supper"""; Leonardo da Vinci; 1498; Tempera on gesso, pitch, and mastic; 460 cm × 880 cm; 181.1 inches × 346.5 inches; Italian Renaissance; Christianity; The last meal of Jesus with his apostles; Tempera; Poor; Located at the Convent of Santa Maria delle Grazie, Milan;
15;"""Water Lilies"""; Claude Monet; 1897-1926; Oil on canvas; Various sizes; French Impressionism; Nature; Water lilies, water surface, light; Oil paint; Good; Series of approximately 250 paintings;;
16;"""Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 cm × 39 cm; 17.5 inches × 15.35 inches; Dutch Golden Age; Baroque; Portrait; A girl with a turban and a pearl earring; Oil paint; Good;" Often referred to as the ""Mona Lisa of the North"""
17;"""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 cm × 770 cm; 196.85 inches × 299.21 inches; Italian Renaissance; Philosophy; Famous philosophers; Fresco; Good; Commissioned by Pope Julius II for the Apostolic Palace in Vatican City;
18;"""The Death of Socrates"""; Jacques-Louis David; 1787; Oil on canvas; 129.5 cm × 196.2 cm; 51 inches × 77.25 inches; Neoclassicism; Greece; Philosophy; Depicts the death of Socrates; Oil paint; Good; Commissioned by Charles-Michel Trudaine de La Sablière
19;"""The Third of May 1808"""; Francisco Goya; 1814; Oil on canvas; 268 cm × 347 cm; 105.5 inches × 136.61 inches; Romanticism; Spain; War; Firing squad executing Spanish civilians; Oil paint; Good; Commissioned by the Spanish Crown to decorate the newly built Palace of the Senate in Madrid</s>
20;" ""The Persistence of Memory"""; Salvador Dali; 1931; Oil on canvas; 24.1 cm × 33 cm; 9.5 inches × 13 inches; Surrealism; Time; Melting clocks; Oil paint; Good; Reflects the artist's fascination with the unconscious mind and the fluidity of time;
21;"""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 cm × 776.6 cm; 137.5 inches × 305.75 inches; Cubism; Spain; War; Depicts the bombing of Guernica during the Spanish Civil War; Oil paint; Good; Commissioned by the Spanish Republican government for the Spanish Pavilion at the 1937 Paris Exposition 
