;Cryptocurrency Prices;Cryptocurrency Market Capitalization;Commodity Prices;Bond Yields;Central Bank Interest Rates;Consumer Price Index;Producer Price Index;Retail Sales;Industrial Production;Housing Market Index;Business Confidence Index
0;" ""Bitcoin $45000"; $800 billion; Gold $1800/oz; 10yr Treasury 1.4%; Fed Funds 0.25%; CPI 1.5%; PPI 2.3%; Retail Sales +0.5%; Industrial Production -0.3%; Housing Market 72;" Business Confidence 105"""
1;"""Ethereum $3200"; $360 billion; Oil $55/bbl; 10yr Bund 0.2%; ECB Deposit -0.5%; HICP 0.9%; PPI 1.2%; Wholesale Sales +1.2%; Manufacturing Production +0.8%; NAHB Housing Market 82;" ZEW Business Confidence 65"""
2;"""Binance Coin $350"; $55 billion; NatGas $3.50/MMBtu; 10yr JGB 0.05%; BoJ Interest Rate -0.1%; Core CPI 0.1%; Core PPI 0.5%; Retail Trade +0.9%; Tertiary Industry Activity +0.3%; Tankan Business Confidence 15;" KOF Leading Indicator 98"""
3;"""Cardano $50"; $45 billion; Copper $3.70/lb; 10yr Aussie Govt 0.9%; RBA Cash Rate 0.1%; Trimmed Mean CPI 1.7%; PPI 0.5%; Total Retail Sales +0.8%; Quarterly GDP +1.6%; ANZ Business Confidence 25;" Reserve Bank of New Zealand Composite PMI 53"""
4;"""Polkadot $38"; $34 billion; Lumber $950/1000bf; 10yr Canadian Govt 1.2%; BoC Overnight Rate 0.25%; All Items CPI 1.3%; Raw Materials PPI 14.3%; Retail Trade +5.7%; Gross Domestic Product +2.1%; RBC Canadian Manufacturing PMI 55.3;" Ivey Purchasing Managers Index 59.7"""
5;"""XRP $50"; $22 billion; Platinum $1200/oz; 10yr UK Gilt 0.6%; BoE Base Rate 0.1%; CPI 1.5%; PPI 3.3%; Index of Services +1.1%; Construction Output +1.1%; CBI Trends Total Orders 0;" GfK Consumer Confidence -16"""
6;"""Chainlink $30"; $14 billion; Silver $28/oz; 10yr BTP 0.6%; MRO Interest Rate 0%; HICP 1.1%; PPI 3.5%; Retail Trade +0.5%; Value Added by Industry +0.8%; Istat Business Confidence 109.1;" Confcommercio Business Confidence 122.5"""
7;"""Litecoin $160"; $10 billion; Palladium $2200/oz; 10yr Greek Govt 1.1%; ELA Rate 0%; CPI 2.2%; PPI 9.4%; Wholesale Price Index +4.6%; Road Freight Transport +3.9%; SETE Tourism Confidence 52.6;" ESMI Manufacturing Sector Activity 50.5"""
8;"""Stellar $40"; $9 billion; Corn $5/bushel; 10yr Mexican Govt 6.6%; Banco de México Overnight Rate 4%; Inflation Rate 4.5%; Producer Price Index 8.4%; Motor Vehicle Production +13.8%; Retail Sales +0.5%; IPA Industrial Production 45.7;" INEGI Consumer Confidence 44.5"""
9;"""Filecoin $120"; $6 billion; Soybeans $13.50/bushel; 10yr Turkish Govt 17%; CBRT Policy Rate 17%; Consumer Confidence Index 58.6%; Producer Confidence Index 111.5%; Capacity Utilization 74.8%; Tourism Income -67%;" Central Bank of Nigeria Composite PMI 54""</s>";
