;Country;Name;Continent;Country.1;Flag;Image;URL
0;Mexico;North;America;https://flagpedia.net/data/flags/w580/mx.png;;;
1;United;States;North;America;https://flagpedia.net/data/flags/w580/us.png;;
2;Canada;North;America;https://flagpedia.net/data/flags/w580/ca.png;;;
3;Brazil;South;America;https://flagpedia.net/data/flags/w580/br.png;;;
4;Argentina;South;America;https://flagpedia.net/data/flags/w580/ar.png;;;
5;Russia;Europe;(mostly;in;Asia);https://flagpedia.net/data/flags/w580/ru.png;
6;Germany;Europe;https://flagpedia.net/data/flags/w580/de.png;;;;
7;France;Europe;https://flagpedia.net/data/flags/w580/fr.png;;;;
8;Italy;Europe;https://flagpedia.net/data/flags/w580/it.png;;;;
9;China;Asia;https://flagpedia.net/data/flags/w580/cn.png</s>;;;;
15;Colombia;South;America;https://flagpedia.net/data/flags/w580/co.png;;;
16;Russia;Asia;https://flagpedia.net/data/flags/w580/ru.png;;;;
17;India;Asia;https://flagpedia.net/data/flags/w580/in.png;;;;
18;Indonesia;Asia;https://flagpedia.net/data/flags/w580/id.png;;;;
19;Australia;Australia;https://flagpedia.net/data/flags/w580/au.png</s>;;;;
20;China;Asia;<https://flagpedia.net/data/flags/w580/cn.png>;1,439,323,776;9,596,961;;
21;Russia;Europe;&;Asia;<https://flagpedia.net/data/flags/w580/ru.png>;145,934,462;17,098,242
22;United;States;North;America;<https://flagpedia.net/data/flags/w580/us.png>;331,002,651;9,833,517
23;Brazil;South;America;<https://flagpedia.net/data/flags/w580/br.png>;212,559,417;8,515,770;
24;Pakistan;Asia;<https://flagpedia.net/data/flags/w580/pk.png>;220,892,340;881,913;;
25;Nigeria;Africa;<https://flagpedia.net/data/flags/w580/ng.png>;206,139,589;923,768;;
26;Bangladesh;Asia;<https://flagpedia.net/data/flags/w580/bd.png>;164,689,383;147,570;;
27;Egypt;Africa;<https://flagpedia.net/data/flags/w580/eg.png>;102,334,404;1,001,450;;
28;Mexico;North;America;<https://flagpedia.net/data/flags/w580/mx.png>;130,759,074;1,964,375;
29;Philippines;Asia;<https://flagpedia.net/data/flags/w580/ph.png>;109,581,071;300,000</s>;;
31;India;Asia;<https://flagpedia.net/data/flags/w580/in.png>;1,380,004,385;3,287,263;;
34;Indonesia;Asia;<https://flagpedia.net/data/flags/w580/id.png>;273,523,615;1,904,569;;
36;Brazil;South;America;<https://flagpedia.net/data/flags/w580/br.png>;212,559,417;8,515,767;
39;Mexico;North;America;<https://flagpedia.net/data/flags/w580/mx.png>;130,759,074;1,964,375</s>;
40;Russia;Asia;<https://flagpedia.net/data/flags/w580/ru.png>;145,934,462;17,098,242;;
44;Philippines;Asia;<https://flagpedia.net/data/flags/w580/ph.png>;109,581,078;300,000;;
45;Ethiopia;Africa;<https://flagpedia.net/data/flags/w580/et.png>;114,963,581;1,104,300;;
47;Vietnam;Asia;<https://flagpedia.net/data/flags/w580/vn.png>;97,338,581;331,210;;
48;Iran;Asia;<https://flagpedia.net/data/flags/w580/ir.png>;83,992,949;1,648,195;;
49;Turkey;Asia;<https://flagpedia.net/data/flags/w580/tr.png>;82,004,532;783,562</s>;;
50;Maldives;Asia;<https://flagpedia.net/data/flags/w580/mv.png>;515,696;300;;
51;Nepal;Asia;<https://flagpedia.net/data/flags/w580/np.png>;28,982,771;147,181;;
52;Sri;Lanka;Asia;<https://flagpedia.net/data/flags/w580/lk.png>;21,670,000;65,610;
53;Bhutan;Asia;<https://flagpedia.net/data/flags/w580/bt.png>;757,737;38,394;;
54;Afghanistan;Asia;<https://flagpedia.net/data/flags/w580/af.png>;37,466,977;652,230;;
55;Bangladesh;Asia;<https://flagpedia.net/data/flags/w580/bd.png>;163,046,317;147,570;;
56;Cambodia;Asia;<https://flagpedia.net/data/flags/w580/kh.png>;16,449,519;181,035;;
57;Indonesia;Asia;<https://flagpedia.net/data/flags/w580/id.png>;272,021,131;1,904,569;;
58;Laos;Asia;<https://flagpedia.net/data/flags/w580/la.png>;7,018,638;236,800;;
59;Myanmar;Asia;<https://flagpedia.net/data/flags/w580/mm.png>;53,868,639;676,578;</s>;
