;Stock Market Index;Stock Market Sector;Interest Rates;Commodity Prices;Consumer Price Index;Producer Price Index;Trade Balance;Current Account;Political Stability;Public Debt;Central Bank Policy;Gross Domestic Product;Inflation Rate;Foreign Exchange Rate;Fiscal Policy
0;  S&P 500;Technology;3.0%;Oil -$10/barrel;2.5%;1.5%;-$20 billion;-$15 billion;Stable;100% GDP;Easing;3.0%;-$0.02/$;Expansionary;
1; Dow Jones;Financials;3.5%;Gold +$50/ounce;3.0%;2.0%;+$10 billion;+$5 billion;Stable;80% GDP;Tightening;2.5%;+$0.01/$;Contractionary;
2; NASDAQ;Healthcare;4.0%;Copper -$0.10/pound;3.5%;1.5%;-$15 billion;-$10 billion;Moderate;90% GDP;Easing;3.5%;-$0.03/$;Expansionary;
3; FTSE 100;Energy;2.5%;Natural Gas -$0.20/Mcf;2.0%;1.0%;+$5 billion;+$2 billion;Stable;70% GDP;Neutral;2.0%;+$0.01/$;Neutral;
4; Nikkei 225;Consumer Discretionary;1.5%;Iron Ore -$10/ton;1.0%;0.5%;-$5 billion;-$3 billion;Stable;60% GDP;Tightening;1.5%;-$0.02/$;Contractionary;
5; Hang Seng;Industrials;2.0%;Aluminum -$0.05/pound;1.5%;0.5%;+$2 billion;+$1 billion;Moderate;75% GDP;Easing;2.0%;+$0.01/$;Expansionary;
6; CAC 40;Real Estate;3.0%;Wheat -$0.20/bushel;2.5%;1.5%;-$10 billion;-$7 billion;Stable;95% GDP;Tightening;3.0%;-$0.03/$;Contractionary;
7; DAX;Materials;1.0%;Lumber -$50/thousand board feet;0.5%;0.0%;+$5 billion;+$3 billion;Stable;85% GDP;Neutral;1.0%;+$0.01/$;Neutral;
8; IBEX 35;Utilities;3.5%;Soybeans -$0.10/bushel;3.0%;1.5%;-$5 billion;-$3 billion;Stable;75% GDP;Easing;3.5%;-$0.04/$;Expansionary;
9; SWISS MARKET;Communication Services;2.0%;Cotton -$0.05/pound;1.5%;0.5%;+$2 billion;+$1 billion;Stable;80% GDP;Tightening;2.0%;+$0.01/$;Contractionary;
10;  NASDAQ;Healthcare;0.5%;Wheat -$2/bushel;1.0%;0.0%;+$10 billion;+$7 billion;Stable;65% GDP;Neutral;0.5%;+$0.02/$;Neutral;
11; NIKKEI 225;Financials;1.5%;Crude Oil -$5/barrel;2.0%;1.0%;-$8 billion;-$5 billion;Stable;90% GDP;Easing;1.5%;-$0.03/$;Expansionary;
12; HANG SENG;Real Estate;2.5%;Gold -$50/ounce;3.0%;2.0%;+$3 billion;+$1 billion;Politically Unstable;70% GDP;Tightening;2.5%;+$0.04/$;Contractionary;
13; FTSE 100;Industrials;0.75%;Natural Gas -$0.25/MMBtu;1.25%;0.5%;+$6 billion;+$4 billion;Stable;55% GDP;Neutral;0.75%;+$0.01/$;Neutral;
14; CAC 40;Consumer Discretionary;1.25%;Sugar -$0.15/pound;2.0%;1.25%;-$4 billion;-$2 billion;Stable;60% GDP;Easing;1.25%;-$0.03/$;Expansionary;
15; BSE SENSEX;Information Technology;2.0%;Copper -$0.10/pound;2.5%;1.5%;+$5 billion;+$3 billion;Stable;85% GDP;Tightening;2.0%;+$0.02/$;Contractionary;
16; KOSPI;Energy;3.0%;Corn -$0.20/bushel;3.5%;2.5%;-$6 billion;-$4 billion;Stable;90% GDP;Neutral;3.0%;-$0.05/$;Neutral;
17; ASX 200;Consumer Staples;1.0%;Coffee -$0.25/pound;1.5%;0.5%;+$7 billion;+$5 billion;Stable;75% GDP;Easing;1.0%;+$0.03/$;Expansionary;
18; TADAWUL;Utilities;1.5%;Iron Ore -$10/ton;2.5%;1.5%;-$2 billion;-$1 billion;Stable;85% GDP;Tightening;1.5%;+$0.02/$;Contractionary;
19; IPC INDEX;Communication Services;2.0%;Silver -$1/ounce;2.5%;1.0%;+$4 billion;+$3 billion;Politically Unstable;70% GDP;Neutral;2.0%;+$0.03/$;Neutral.</s>;
20;  S&P 500;Finance;0.75%;Gold -$50/ounce;2.0%;1.25%;+$10 billion;+$7 billion;Stable;80% GDP;Easing;1.25%;+$0.01/$;Expansionary;
21; Nikkei 225;Industrials;0.5%;Oil -$2/barrel;3.0%;0.75%;+$5 billion;+$3 billion;Politically Stable;65% GDP;Tightening;0.5%;+$0.02/$;Contractionary;
22; CAC 40;Healthcare;1.25%;Copper -$0.10/ton;2.25%;1.0%;+$6 billion;+$4 billion;Stable;70% GDP;Neutral;1.25%;+$0.02/$;Neutral;
23; HSI;Technology;1.0%;Aluminum -$0.05/ton;2.5%;0.5%;+$7 billion;+$6 billion;Stable;60% GDP;Easing;1.0%;+$0.03/$;Expansionary;
24; FTSE 100;Real Estate;1.5%;Lumber -$50/1000 board feet;1.75%;1.25%;+$8 billion;+$5 billion;Politically Stable;80% GDP;Tightening;1.5%;+$0.01/$;Contractionary;
25; BSE SENSEX;Energy;0.75%;Natural Gas -$0.20/MMBtu;2.75%;1.0%;+$6 billion;+$4 billion;Politically Stable;70% GDP;Neutral;0.75%;+$0.03/$;Neutral;
26; Kospi;Materials;1.0%;Steel -$10/ton;3.0%;0.75%;+$5 billion;+$3 billion;Stable;65% GDP;Easing;1.0%;+$0.02/$;Expansionary;
27; Shanghai Composite;Consumer Discretionary;1.5%;Cotton -$0.05/pound;3.25%;1.25%;+$9 billion;+$7 billion;Politically Stable;75% GDP;Tightening;1.5%;+$0.01/$;Contractionary;
28; Ibovespa;Communication Services;2.0%;Sugar -$0.05/pound;2.5%;1.0%;+$3 billion;+$2 billion;Politically Unstable;80% GDP;Neutral;2.0%;+$0.03/$;Neutral;
29; All Ordinaries;Utilities;1.25%;Gas -$0.05/Mcf;2.75%;1.25%;+$8 billion;+$5 billion;Stable;60% GDP;Easing;1.25%;+$0.02/$;Expansionary;</s>
30;  Hang Seng Index;Financials;2.5%;Iron Ore -$10/ton;3.0%;1.5%;+$12 billion;+$8 billion;Politically Stable;55% GDP;Tightening;2.5%;+$0.02/$;Contractionary;
31; CAC 40;Health Care;1.75%;Wheat -$0.10/bushel;2.25%;1.25%;+$6 billion;+$4 billion;Politically Stable;90% GDP;Neutral;1.75%;+$0.03/$;Neutral;
32; Nikkei 225;Industrials;1.0%;Crude Oil -$2/barrel;2.0%;1.0%;+$5 billion;+$3 billion;Stable;70% GDP;Easing;1.0%;+$0.01/$;Expansionary;
33; S&P/TSX;Consumer Staples;1.25%;Gold -$20/ounce;1.75%;1.25%;+$4 billion;+$2 billion;Politically Stable;85% GDP;Neutral;1.25%;+$0.02/$;Neutral;
34; Borsa Italiana;Real Estate;1.5%;Coffee -$0.10/pound;2.75%;1.25%;+$7 billion;+$5 billion;Politically Stable;65% GDP;Tightening;1.5%;+$0.03/$;Contractionary;
35; IBEX 35;Energy;2.0%;Soybeans -$0.20/bushel;2.5%;1.5%;+$6 billion;+$4 billion;Politically Stable;75% GDP;Neutral;2.0%;+$0.02/$;Neutral;
36; SWISS Market Index;Technology;1.75%;Aluminum -$0.05/pound;2.25%;1.25%;+$8 billion;+$6 billion;Stable;50% GDP;Easing;1.75%;+$0.03/$;Expansionary;
37; KOSPI;Materials;1.5%;Lumber -$10/1000 board feet;2.0%;1.25%;+$3 billion;+$1 billion;Politically Stable;80% GDP;Neutral;1.5%;+$0.01/$;Neutral;
