;Religions And Beliefs systems; Literature Genres And Writings; Intelligence Gathering Methods and Spying Techniques; Major Wars Fought and Battle Tactics; Trade Routes Established and Transportation Systems; Government Policies and Declarations; Rulers' Proclamations and Edicts; Minorities, Ethnic Groups, and their Status; Philosophical Thoughts, Movements and Ideologies; Emigration, Immigration Patterns and Changes
0;  Religions: Ancient Egyptian beliefs; Epic poetry like Gilgamesh; Use of informers in Roman Empire; Peloponnesian War with hoplite phalanx tactic; Silk Road trade from China to West; Chinese legalist philosophy; Qin Shi Huang's Terracotta Army decree; Jewish minority status in Europe; Stoicism in Greek and Roman thought; European colonization immigration.
1; Religions: Greek mythology during classical antiquity; Satirical literature in Ancient Greece; Spies used in the Mongol Empire; Punic Wars' naval battles; Incense Route connecting Mediterranean to India; Athenian Democracy policies; Hammurabi's Code proclamation; Roma people migrations and persecution; Age of Enlightenment ideas; Indian indentured servitude immigration.
2; Religions: Norse paganism in Viking Age; Dramatic tragedies of Shakespeare; Tudor England's espionage; Thirty Years' War with pikemen formations; Maritime Southeast Asia spice trade; Magna Carta's rule limitations; Emperor Meiji's restoration edict; Indigenous populations' marginalization; Existentialism movement; African slave trade to Americas.
3; Religions: Shinto and Buddhism coexistence in Japan; philosophical dialogues of Socrates; Code talkers in World War II; American Civil War strategies; Trans-Saharan trade network; Treaty of Waitangi for British colonization; Tsar Alexander II's emancipation manifesto; Native American reservations; Confucianism influence in East Asia; Post-war displaced persons movements.
4; Religions: Sufism in medieval Islam; Morality tales in medieval Europe; Cryptography during World War I; Vietnam War tactics; Transatlantic slave triangle; Philadelphia Convention leading to US Constitution; Emperor Akihito's accession speech; Civil rights movement immigrants; Pragmatism philosophy; Vietnamese boat people refugee crisis.
5; Religions: Hinduism reforms during British Raj; Dante's Divine Comedy; Double agent usage in Cold War; Iraq War strategies; Saharan camel caravan routes; Treaty of Versailles ending WWI; King Kamehameha's unification edict; Apartheid policies against black Africans; Romanticism movement; South-East Asian refugee diaspora.
6; Religions: Christianity's role in Latin America; Mark Twain's social commentary; Russian intelligence services under tsars; Gulf War battle strategies; Amber Road connecting Baltic to Mediterranean; French Revolution's Declaration of the Rights of Man; Mandela's release from prison speech; Palestinian refugees issue; Postmodernism philosophy; Korean War immigration.
7; Religions: African traditional religions under colonial rule; Agatha Christie whodunit novels; Elizabethan England's secret service; War on Terror tactics; Tea Horse Road linking China and India; Hitler's Nuremberg Laws;" Martin Luther King Jr.'s ""I Have a Dream"" speech"; Muslim immigration to Europe; Structuralism philosophy; East German immigration to West.
8; Religions: Animism in indigenous societies; Herman Melville's Moby Dick; Stasi in East Germany; Falklands War tactics; Salt Route across Himalayas; Civil Rights Act of 1964; Ayatollah Khomeini's Iranian Revolution speech; Tibetan Buddhists' status; Phenomenology movement; Soviet Jewish emigration.
9; Religions: Cargo cults in Pacific Islands; J.R.R. Tolkien's fantasy literature; Electronic surveillance in era of terror; Afghanistan War strategies; Silk Road's resurgence with Belt and Road Initiative; Brexit referendum; Deng Xiaoping's economic reform speech; Rohingya Muslim persecution; Posthumanism philosophy; Syrian refugee crisis.</s>
10;  Religions: Neo-Paganism and Wicca in modern societies; Jane Austen's romantic fiction; French Resistance in WWII; Gulf War tactics; Amber Road connecting Mediterranean and Baltic; Magna Carta's impact; Nelson Mandela's release from prison speech; Asian American immigration patterns; Pragmatism philosophy; Vietnamese boat people.
11; Religions: Zoroastrianism in Iranian history; Alexandre Dumas' adventure novels; Code talkers in Pacific wars; Cold War espionage tactics; Hejaz Railway in Ottoman Empire; Emancipation Proclamation; Mao Zedong's Cultural Revolution speech; Palestinian minority status; Existentialism philosophy; Hungarian Revolution refugees.
12; Religions: Shintoism in Japanese society; Charles Dickens' social commentary; German Abwehr in WWII; Iraq War strategies; Sahara trade route; Civil Rights Act of 1968; Ayatollah Khamenei's Iranian nuclear program speech; Native American genocide; Hermeneutics philosophy; Korean diaspora.
13; Religions: Hinduism in Southeast Asian communities; Jules Verne's science fiction; British MI6; Korean War tactics; Ottoman Postal Road; Treaty of Waitangi; Indira Gandhi's Emergency rule speech; Irish immigration to America; Logical Positivism philosophy; Ugandan Asian expulsion.
14; Religions: Rastafarianism in Jamaican culture; H.G. Wells' dystopian fiction; American CIA; Vietnam War strategies; Spice Trade Route; Voting Rights Act; Ayatollah Sistani's Iraqi Shi'ite uprising speech; Latin American migration to USA; Deconstruction philosophy; Rwandan genocide refugees.
15; Religions: Sikhism in Punjabi society; Arthur Conan Doyle's detective stories; Soviet KGB; Gulf War II tactics; Muslim Pilgrimage Route; Desegregation; Fidel Castro's Cuban Revolution speech; African refugee crisis; Postmodernism philosophy; Yugoslav Wars refugees.
16; Religions: Candomblé in Brazilian culture; Mark Twain's adventure novels; Mossad in Israel; Libyan Civil War strategies; Amber Road's revival; Thirteenth Amendment; Nelson Mandela's presidency speech; Indian immigration to Canada; Critical Race Theory philosophy; Syrian diaspora.
17; Religions: Roman Catholicism in Latin America; Brontë sisters' gothic fiction; French DGSE; War in Afghanistan tactics; Silk Road's historical significance; Civil Rights Act of 1991; Ayatollah Khomeini's fatwa against Salman Rushdie; Japanese American internment; Neo-Marxism philosophy; Chechen refugee crisis.</s>
18;  Religions: Shintoism in Japanese society; J.R.R. Tolkien's high fantasy; East German Stasi; Yom Kippur War strategies; Tea Horse Road's cultural exchange; Maastricht Treaty; Pope Francis' environmental encyclical; Mexican immigration to U.S.; Existentialism philosophy; Rohingya genocide refugees.
19; Religions: Rastafarianism in Jamaican culture; H.P. Lovecraft's horror; American CIA; Bosnian War tactics; Spice Trade Route's economic impact; Montreal Protocol; Queen Elizabeth II's Silver Jubilee speech; Chinese immigration to Canada; Pragmatism philosophy; Rohingya exodus.
