;Match ID;Sport;Match Venue;Match Date;Home Team;Away Team;Home Team Score;Away Team Score;Attendance;Referee;League;Division;Match Type
0; 1234;Soccer;Anfield, Liverpool;2022-04-02;Liverpool FC;Manchester City;3;2;52,000;Martin Atkinson;Premier League;English;League
1; 5678;Basketball;Madison Square Garden, New York;2022-03-15;New York Knicks;Los Angeles Lakers;105;112;19,812;Scott Foster;NBA;Atlantic;Regular Season
2; 9012;Ice Hockey;Bell Centre, Montreal;2022-02-27;Montreal Canadiens;Boston Bruins;4;3;21,273;Wes McCauley;NHL;Atlantic;Regular Season
3; 3456;Rugby Union;Twickenham Stadium, London;2022-03-26;England;Ireland;15;24;82,000;Wayne Barnes;Six Nations Championship;-;Tournament
4; 7890;Tennis;Australian Open, Melbourne;2022-01-30;Novak Djokovic;Daniel Medvedev;6-4, 4-6, 6-11, 6-3, 7-5;20,337;Cedric Mourier;ATP Tour;-;Grand Slam;
5; 1357;American Football;MetLife Stadium, New Jersey;2022-01-09;New York Giants;Philadelphia Eagles;22;38;82,500;Bill Vinovich;NFL;NFC East;Playoffs
6; 2468;Cricket;Melbourne Cricket Ground, Melbourne;2022-01-01;Australia;England;125;103;80,752;Aleem Dar;The Ashes;-;Tournament
7; 6789;Baseball;Yankee Stadium, New York;2022-06-30;New York Yankees;Boston Red Sox;7;5;45,229;Joe West;MLB;American League East;Regular Season
8; 0123;Golf;Augusta National Golf Club, Augusta;2022-04-10;Hideki Matsuyama;Will Zalatoris;70;71;-;-;The Masters;-;Tournament
9; 4567;Formula 1;Circuit de Monaco, Monaco;2022-05-29;Max Verstappen;Charles Leclerc;26.926s;27.217s;-;-;Monaco Grand Prix;-;Championship</s>
10;  2345;Basketball;Madison Square Garden, New York;2022-02-20;New York Knicks;Brooklyn Nets;101;98;19,762;Scott Foster;NBA;Atlantic;Regular Season
11; 6787;Soccer;Old Trafford, Manchester;2022-03-13;Manchester United;Manchester City;2;1;75,826;Anthony Taylor;Premier League;-;Derby
12; 9765;Tennis;Roland Garros, Paris;2022-05-22;Novak Djokovic;Rafael Nadal;3-6, 6-3, 6-2, 3-6, 6-2;-;-;-;French Open;-;Grand Slam
13; 3451;Ice Hockey;Bell Centre, Montreal;2022-01-05;Montreal Canadiens;Toronto Maple Leafs;4;2;21,286;Gord Dwyer;NHL;Atlantic;Regular Season
14; 9865;Cricket;Lord's Cricket Ground, London;2022-06-18;England;Australia;147;145;23,456;Richard Illingworth;The Ashes;-;Test Match
15; 1123;Rugby Union;Twickenham Stadium, London;2022-02-26;England;Ireland;32;20;81,271;Wayne Barnes;Six Nations;-;Championship
16; 5437;Swimming;Aquatics Centre, Beijing;2022-07-24;Emma McKeon;Cate Campbell;51.96s, 52.12s;52.73s, 52.05s;-;-;Swimming Worlds;-;Finals
17; 8642;Athletics;National Stadium, Tokyo;2022-08-08;Eliud Kipchoge;Abdi Nageeye;2:08.38, 2:08.58;2:09.26, 2:09.58;-;-;World Athletics;-;Marathon
