;Religions and Beliefs; Philosophical Thoughts; Historiography; Major Battles; Influential Leaders; Languages & Writing Systems; Legal Systems; Trade Networks; Currencies; Agricultural Practices
0;  Religions and Beliefs: Ancient Egyptian polytheism; Historiography: Egyptian records of historical events; Major Battles: Battle of Kadesh (1274 BCE); Influential Leaders: Ramses II; Languages & Writing Systems: Hieroglyphs; Legal Systems: Early law codes in Mesopotamia; Trade Networks: Silk Road; Currencies: Shekel in Mesopotamia; Agricultural Practices: Irrigation systems in river valleys.;
1; Religions and Beliefs: Greek pantheon; Philosophical Thoughts: Socratic method and Platonic ideals; Historiography: Herodotus' Histories; Major Battles: Battle of Marathon (490 BCE); Influential Leaders: Pericles; Languages & Writing Systems: Classical Greek; Legal Systems: Athenian democracy's legal system; Trade Networks: Aegean trade network; Currencies: Widespread use of silver coins; Agricultural Practices: Introduction of crop rotation.
2; Religions and Beliefs: Roman state religion; Philosophical Thoughts: Stoicism and Epicureanism; Historiography: Livy's Ab Urbe Condita; Major Battles: Battle of Actium (31 BCE); Influential Leaders: Julius Caesar and Augustus; Languages & Writing Systems: Latin; Legal Systems: Roman law; Trade Networks: Roman trade network spanning Europe, Asia, and Africa; Currencies: Roman denarius; Agricultural Practices: Villa culture and extensive use of slave labor.
3; Religions and Beliefs: Christianity under Roman Empire; Philosophical Thoughts: Christian theology and Neoplatonism; Historiography: Eusebius' Ecclesiastical History; Major Battles: Battle of Milvian Bridge (312 CE); Influential Leaders: Constantine the Great; Languages & Writing Systems: Late Latin; Legal Systems: Roman law adapted into Christian Byzantine law; Trade Networks: Byzantine trade network; Currencies: Solidus or Nomisma; Agricultural Practices: Three-field crop rotation.
4; Religions and Beliefs: Islam and the Five Pillars; Philosophical Thoughts: Golden Age of Islamic philosophy; Historiography: Al-Tabari's History of the Prophets and Kings; Major Battles: Battle of Talas (751 CE); Influential Leaders: Umayyad and Abbasid caliphs; Languages & Writing Systems: Arabic; Legal Systems: Sharia law; Trade Networks: Islamic trade network across Asia, Middle East, and North Africa; Currencies: Islamic dinar and dirham; Agricultural Practices: Qanat irrigation systems.
5; Religions and Beliefs: Buddhism during Ashoka's reign; Philosophical Thoughts: Mahayana and Theravada Buddhism; Historiography: Ashokavadana; Major Battles: Kalinga War (262-261 BCE); Influential Leaders: Ashoka; Languages & Writing Systems: Brahmi script; Legal Systems: Dharmasastras; Trade Networks: Silk Road expansion; Currencies: Silver punch-marked coins; Agricultural Practices: Expansion of agriculture through state policies.
6; Religions and Beliefs: Confucianism, Taoism, and Chinese legalism; Philosophical Thoughts: Mencius and Xunzi; Historiography: Records of the Grand Historian by Sima Qian; Major Battles: Battle of Changping (260-259 BCE); Influential Leaders: Qin Shi Huang, Emperor of China; Languages & Writing Systems: Classical Chinese; Legal Systems: Legalism in Qin dynasty; Trade Networks: Maritime Silk Route; Currencies: Banliang; Agricultural Practices: Terraced fields and use of iron tools.
7; Religions and Beliefs: Tenrikyo, Shinto, and Buddhism in Japan; Philosophical Thoughts: Samurai Bushido code; Historiography: Rikkokushi; Major Battles: Battle of Sekigahara (1600); Influential Leaders: Tokugawa Ieyasu; Languages & Writing Systems: Japanese; Legal Systems: Feudal Japanese law; Trade Networks: Tokugawa shogunate trade network; Currencies: Gold and silver coins; Agricultural Practices: Introduction of New World crops.
8; Religions and Beliefs: Protestant Reformation and Catholic Counter-Reformation; Philosophical Thoughts: Enlightenment thinkers like Descartes and Locke; Historiography: Writing of modern history; Major Battles: Battle of Vienna (1683); Influential Leaders: Martin Luther, Napoleon Bonaparte; Languages & Writing Systems: Common languages due to printing press; Legal Systems: Codified nation-state laws; Trade Networks: Industrial Revolution-era trade networks; Currencies: Gold standard; Agricultural Practices: Mechanization and scientific farming methods.
9; Religions and Beliefs: Secular humanism, Christianity, and Judaism in contemporary Western societies; Philosophical Thoughts: Existentialism, postmodernism; Historiography: Oral history and digital history; Major Battles: World War I & II; Influential Leaders: Mahatma Gandhi, Winston Churchill, Martin Luther King Jr.; Languages & Writing Systems: Predominance of English; Legal Systems: International law; Trade Networks: Globalized economy; Currencies: US dollar, Euro; Agricultural Practices: Genetically modified organisms and precision farming.</s>
10;  Religions and Beliefs: Confucianism, Taoism, and Christianity in East Asia; Philosophical Thoughts: Neo-Confucianism, Legalism; Historiography: Comprehensive Mirrors to Aid in Government; Major Battles: Battle of Red Cliffs (208-209); Influential Leaders: Emperor Taizong of Tang, Zhu Yuanzhang; Languages & Writing Systems: Classical Chinese; Legal Systems: Tang Code; Trade Networks: Maritime Silk Road; Currencies: Silver; Agricultural Practices: Terraced rice cultivation.
11; Religions and Beliefs: Hinduism, Buddhism, and Jainism in ancient India; Philosophical Thoughts: Charvaka, Vaisheshika; Historiography: Puranic and Buddhist literature; Major Battles: Battle of Kurukshetra (circa 4th century BCE); Influential Leaders: Ashoka, Chandragupta Maurya; Languages & Writing Systems: Brahmi script; Legal Systems: Dharmashastra; Trade Networks: Monsoon trade network; Currencies: Punch-marked coins; Agricultural Practices: Irrigation and crop rotation.
12; Religions and Beliefs: Ancestor veneration, animism, and Islam in Southeast Asia; Philosophical Thoughts: Khmer intellectual traditions; Historiography: Stone inscription records; Major Battles: Battle of Thang Long (1467); Influential Leaders: Suryavarman II, Jayavarman VII; Languages & Writing Systems: Old Khmer script; Legal Systems: Matrilineal kinship system; Trade Networks: Champa pepper trade; Currencies: Silver tin-alloy coins; Agricultural Practices: Wet rice cultivation, elephant husbandry.
13; Religions and Beliefs: African Traditional Religions, Christianity, and Islam in Sub-Saharan Africa; Philosophical Thoughts: Ubuntu, Négritude; Historiography: Oral tradition in griot storytelling; Major Battles: Battle of Adwa (1896); Influential Leaders: Shaka Zulu, Samori Ture; Languages & Writing Systems: Nsibidi ideographic script; Legal Systems: Customary law and legal pluralism; Trade Networks: Trans-Saharan trade; Currencies: Cowrie shells; Agricultural Practices: Agroforestry, mixed farming.
14; Religions and Beliefs: Polytheism, Shamanism, and Christianity in Pre-Columbian Americas; Philosophical Thoughts: Inca moral teachings; Historiography: Aztec codices; Major Battles: Battle of Cajamarca (1532); Influential Leaders: Moctezuma II, Atahualpa; Languages & Writing Systems: Hieroglyphic writing systems, Maya script; Legal Systems: Andean law codes; Trade Networks: Utopia trade network; Currencies: Cacao beans; Agricultural Practices: Maize cultivation, raised-field agriculture.
15; Religions and Beliefs: Animism, Shinto, and Buddhism in Ancient Korea; Philosophical Thoughts: Sirhak thought; Historiography: Samguk Yusa, Samguk Sagi; Major Battles: Battle of Hakusukinoe (663); Influential Leaders: Goguryeo Taejo, Wang Geon; Languages & Writing Systems: Classical Chinese, Idu script; Legal Systems: Goryeo code, Five Commandments; Trade Networks: Silk Road, Maritime trade network; Currencies: Kai-yuan Tongbao, Koryo coins; Agricultural Practices: Flood irrigation, mulberry farming.
