;Artist Birthplace;Intellectual Movement;Influential Work(s);Key Concept/Theme;Major Exhibitions;Curatorial Approach;"""Conservation & Restoration"" Challenges*";Public Response*;Socio-Political Climate Impact;Artwork Title;Artist Name;Date Created;Medium
0;" ""Paris, France""";Impressionism;Bal du Moulin de la Galette;Interplay of Light and Color;8th Impressionist Exhibition, 1886;Highlighting lesser-known artists;Light sensitivity of paint;Broad appreciation for outdoor scene painting;Urbanization, Middle-class leisure;A Bar at the Folies-Bergère;Edouard Manet;1882;Oil on canvas
1;"""Florence, Italy""";Early Renaissance;The Birth of Venus;Humanism, Classical Ideals;Uffizi Gallery, 1497;Focus on historical and cultural context;Various damages over time;Renewed interest in Renaissance figures;City-state independence;The Creation of Adam;Michelangelo;1511;Fresco
2;"""Amsterdam, Netherlands""";Dutch Golden Age;The Night Watch;Realism;Rijksmuseum, 1800;Emphasizing the importance of daily life scenes;Damage by time and previous restorations;Revaluation of 17th-century Dutch art;Regional identity and maritime power;Self-Portrait with Two Circles;Rembrandt;1642;Oil on canvas
3;"""Vienna, Austria""";Secession;The Kiss;Art Nouveau, Symbolism;Vienna Secession Building, 1898;Integration of other disciplines into the exhibition;None specifically;Expansion of decorative arts;Fin-de-siècle cultural anxieties;Portrait of Adele Bloch-Bauer I;Gustav Klimt;1907;Gold and oil on canvas
4;"""Barcelona, Spain""";Modernisme;La Pedrera;Organic Architecture;Exposición Internacional de Barcelona, 1929;Engaging the viewer's senses;Preservation and accessibility concerns;Urban development and national identity;Industrial growth;The Great Masturbator;Salvador Dalí;1929;Oil on canvas
5;"""New York, USA""";Abstract Expressionism;No. 61 (Rust and Blue);Action Painting;Museum of Modern Art, 1959;Exploring personal expression;Deterioration from light exposure;Broad appeal in America;Post-WWII cultural shift;Black Square;Kazimir Malevich;1915;Oil on linen
6;"""Ciudad Juárez, Mexico""";Contemporary Art;Oculus;Border Politics, Identity;Casa Gallina, 2017;Engaging with socio-political issues;None specifically;Public debates on immigration;North American Free Trade Agreement;Red Purple Green;Marlene Ramirez-Cancio;2017;Embroidery on felt
7;"""Tokyo, Japan""";Ukiyo-e;The Great Wave off Kanagawa;Landscapes, Maritime Life;Tokugawa Art Museum;Preservation of delicate prints;Fading color and paper decay;Appreciation of traditional Japanese art;Edo period social stratification;Thirty-Six Views of Mount Fuji;Katsushika Hokusai;1830-1833;Woodblock print
8;"""Cairo, Egypt""";Ayyubid Art;Madrasa of Sultan Hassan;Arabesque, Calligraphy;Cairo International Museum of Islamic Art Biennale;Emphasizing the beauty of geometric patterns;Deterioration from environmental factors;Broad interest in Middle Eastern Art;Expansion of Islamic culture;Mihrab depicting Quranic verses;Al-Wasiti;1356-1363;Mosaic and marble
9;"""St. Petersburg, Russia""";Constructivism;Tatlin's Tower;Industrial Aesthetic;Russian Museum, 1975;Focus on engineering and material exploration;None specifically;Rediscovery of Soviet avant-garde;Early Soviet Union optimism;Lunar Exploration;Vladimir Tatlin;1919-never built;Mixed materials</s>
10;" ""Paris, France""";Impressionism;Water Lilies;Nature, Light;Musée d'Orsay;Preservation of large-scale paintings;Yellowing and flaking of paint;Increased interest in natural scenes;Rise of bourgeoisie;Nymphéas;Claude Monet;1897-1926;Oil on canvas
11;"""New York, USA""";Abstract Expressionism;Number 1, 1950 (Lavender Mist);Non-representational;Museum of Modern Art (MoMA);Focus on individual expression;None specifically;Revival of American art;Post-WWII cultural shift;Pollock's drip technique;Jackson Pollock;1950;House paint and synthetic polymer on canvas
12;"""Munich, Germany""";Art Nouveau;The Peacock Skirt;Organic Forms, Nature;Neue Pinakothek;Preventing structural damage;Fragility of materials;Appreciation for decorative arts;Industrialization and 19th-century romance;The Love of Nature;Gustav Klimt;1901;Oil and silver on canvas
13;"""Athens, Greece""";Ancient Greek Art;Parthenon Frieze;Mythology, Harmony;British Museum;Preserving age-old techniques;Weathering and erosion;Global fascination with classical antiquity; Golden Age of Athens;Goddess Athena;Phidias;447-432 BC;Pentelic marble
14;"""Florence, Italy"""; Renaissance;Mona Lisa;Realism, Individualism;Louvre Museum;Protection against environmental damage;Discoloration of varnish;Enduring influence on Western art;Political and cultural rebirth;Enigmatic smile;Leonardo da Vinci;1503-1506;Oil on poplar panel
15;"""Amsterdam, Netherlands""";Baroque;The Night Watch;Dramatic Contrast;Rijksmuseum;Preventing degradation of canvas;Yellowing of varnish;Admiration for grandeur;Dutch Republic's Golden Age;Militia gathering;Rembrandt van Rijn;1642;Oil on canvas
16;"""Barcelona, Spain""";Modernisme;La Sagrada Familia;Organic Architecture, Religion;Sagrada Familia;Protecting intricate designs;Environmental impact on exterior;Global curiosity in contemporary design;Spain's religious resurgence;Antoni Gaudí;1882-present;Stone, brick, and glass;
17;"""Mexico City, Mexico""";Muralismo;La Historia de Mexico;National Identity, Social Justice;Palacio Nacional;Preservation of large-scale murals;Deterioration from humidity/pollution;Mexico's historical understanding;Post-Mexican Revolution;Diego Rivera;1929-1935;Fresco;
18;"""Ciudad Juárez, Mexico""";Contemporary;Calle Sin Salida;Immigration, Injustice;El Paso Museum of Art;Addressing delicate subjects;Critical social discourse;Awareness of border issues;Globalization and migration;Akane Kimbara;2018;Mixed media on panel;
19;"""Istanbul, Turkey""";Ottoman Art;Tiled Pavilion of Hünkâr Kasrı;Geometric Patterns, Calligraphy;Topkapi Palace Museum;Mitigating aging of structures;Political/environmental factors;Cultural appreciation for Islamic architecture;Expansion of Ottoman Empire;Mehmed II;1472;Tiles and colored glass on wood</s>;
20;" ""Rome, Italy""";Renaissance;The School of Athens;Philosophy, Humanism;Vatican Museums;Contextualization of philosophical ideas;Fading colors/damage from exposure;Understanding of philosophical discourse;Cultural and societal reforms;Raphael;1509-1511;Fresco;
21;"""Paris, France""";Impressionism;Impression, Sunrise;Perception of light and color;Musée d'Orsay;Preservation of delicate paint layers;Degradation due to improper storage;Reevaluation of naturalism;Industrial Revolution;Claude Monet;1872;Oil on canvas;
22;"""New York, USA""";Abstract Expressionism;No. 61 (Rust and Blue);ColorField painting, Non-objectivity;MoMA;Interpretation of artist's intention;Yellowing/discoloration of canvases;Recognition of American visual culture;Post-World War II era;Mark Rothko;1953;Oil on canvas;
23;"""Berlin, Germany""";Conceptual Art;The Weather Project;Perception of reality, Environment;Tate Modern;Presentation in immersive spaces;Technological maintenance;Questioning of societal structures;Global warming and climate change;Olafur Eliasson;2003;Mixing mirror and sunlight;
24;"""Barcelona, Spain""";Surrealism;The Persistence of Memory;Dreams, Time;MoMA;Preservation of unusual materials;Insect damage and degradation;Psychoanalytic interpretation;Spanish Civil War;Salvador Dalí;1931;Oil on canvas;
25;"""Amsterdam, Netherlands""";Golden Age;The Night Watch;Military history, Group portraiture;Rijksmuseum;Preventing degradation of oil and varnish;Damage from past restorations;Reevaluation of historical narratives;Netherlands' maritime power;Rembrandt;1642;Oil on canvas;
26;"""Tokyo, Japan""";Ukiyo-e;The Great Wave off Kanagawa;Natural landscapes, Printmaking;British Museum;Preservation of woodblock prints;Fading and discoloration;Understanding of Japanese art history;Edo period;Hokusai;1832;Woodblock prints;
27;"""St. Petersburg, Russia""";Suprematism;Black Square;Non-objectivity, Basic geometric forms;Tretyakov Gallery;Preservation in fluctuating climates;Deterioration of paint layers;Reevaluation of abstract art;Russian Revolution;Kazimir Malevich;1915;Oil on canvas;
28;"""New Delhi, India""";Bengal School;Shantiniketan;Indian tradition, Synthesis of arts;National Gallery of Modern Art;Preservation of watercolors;Damage from humidity;Recognition of Indian identity;Indian nationalism;Rabindranath Tagore;1930s;Watercolor on paper;
29;"""New Orleans, USA""";African American;The Dirty Dozen Brass Band;Jazz, Cultural heritage;New Orleans Jazz National Historical Park;Preservation of fragile instruments;Hurricane damage;Cultural significance;Civil Rights Movement;The Dirty Dozen Brass Band;1977;Brass instruments;</s>
30;" ""Milan, Italy""";Futurism;Unique Forms of Continuity in Space; dynamism, speed;Galleria Nazionale d'Arte Moderna;Preservation of plaster;Fragility of material;Recognition of modern Italian art;Italian unification;Umberto Boccioni;1913;Plaster;
31;"""Barcelona, Spain""";Surrealism;The Persistence of Memory; Time, Dreams;Fundacio Joan Miro;Preservation of oil paint;Color fading;Redefining artistic expression;Spanish Civil War;Salvador Dali;1931;Oil on canvas;
32;"""New York, USA""";Abstract Expressionism;No. 61 (Rust and Blue); Emotional expression, Automatism;Museum of Modern Art;Preservation of oil paint;Yellowing of canvas;International recognition for American art;Cold War;Mark Rothko;1953;Oil on canvas;
33;"""London, England""";Pop Art;Just what is it that makes today's homes so different, so appealing?; Consumerism, popular culture;Tate Modern;Preservation of mixed media;Adhesive decay;Transformation of mass culture;Swinging Sixties;Richard Hamilton;1956;Mixed media collage;
