;*International Treaty Participation*; *Trade Agreements*\*; *Peacekeeping Missions*\* Signups; \*Humanitarian Aid Contributions \*($)\*; \*Foreign Direct Investment outflows \*($)\*; \*Tourism Receipts \*($, incoming)\*; \*Education Exchange Program Count*\; \*Space Exploration Collaborative Projects count*\; \*Climate Change Initiative Membership counts*\; \*Scientific Research Partnership projects count*
0;" ""NAFTA"; Yes; 500; $500,000,000; $20,000,000; $10,000,000,000; 30; 2; 3;" 15""  "
1;"""Eurasian Union"; Yes; 150; $1,000,000,000; $500,000,000; $5,000,000,000; 20; 1; 2;" 10""  "
2;"""African Union"; Yes; 800; $200,000,000; $100,000,000; $2,000,000,000; 50; 0; 4;" 12""  "
3;"""ASEAN"; Yes; 300; $300,000,000; $800,000,000; $8,000,000,000; 40; 1; 3;" 14""  "
4;"""EU"; Yes; 1000; $50,000,000; $3,000,000,000; $15,000,000,000; 60; 3; 5;" 18""  "
5;"""WTO"; Yes; N/A; N/A; N/A; N/A; N/A; N/A; N/A;" N/A""  "
6;"""Paris Agreement"; Yes; N/A; N/A; N/A; N/A; N/A; N/A; N/A;" 195""  "
7;"""ISS Consortium"; No; N/A; N/A; N/A; N/A; N/A; N/A; 5;" N/A""  "
8;"""CERN Particle Physics Research"; No; N/A; N/A; N/A; N/A; N/A; N/A; 23;" N/A""  "
9;"""International Space Station"; No; N/A; N/A; N/A; N/A; N/A; N/A; 15;" N/A""  </s>"
