;Lens Make; Lens Model; Image Width; Image Height; Photo Aspect Ratio; Color Representation; Shutter Speed TV; Sensor Sensitivity ISO; File Size; Flash Fired; GPS Altitude; City; Country; Exposure Compensation
0; Canon; EF 16-35mm f/2.8L III USM; 7360; 4912; 1.5; RGB; 1/400; 400; 15.7 MB; No; 1234; New York; USA; 0
1;Canon; EF 70-200mm f/2.8L IS III USM; 7360; 4912; 1.5; RGB; 1/1000; 800; 24.5 MB; No; 567; Los Angeles; USA; -1
2;Nikon; AF-S NIKKOR 14-24mm f/2.8G ED; 7952; 5304; 1.5; RGB; 1/500; 100; 18.3 MB; No; 987; Sydney; Australia; 1/3
3;Nikon; AF-S NIKKOR 24-70mm f/2.8E ED VR; 5504; 3672; 1.5; RGB; 1/125; 200; 12.8 MB; No; 345; Tokyo; Japan; 0
4;Sony; FE 16-35mm f/2.8 GM; 7952; 5304; 1.5; RGB; 1/250; 1600; 20.5 MB; No; 678; London; UK; -2/3
5;Sony; FE 24-70mm f/2.8 GM; 5504; 3672; 1.5; RGB; 1/80; 800; 14.6 MB; No; 110; Berlin; Germany; 1/3
6;Canon; EF 50mm f/1.2L USM; 5504; 3672; 1.5; RGB; 1/1000; 50; 4.5 MB; No; 150; Paris; France; 0
7;Canon; EF 85mm f/1.4L IS USM; 5504; 3672; 1.5; RGB; 1/200; 200; 5.7 MB; No; 220; Rome; Italy; -1/3
8;Nikon; AF-S NIKKOR 105mm f/1.4E ED; 5504; 3672; 1.5; RGB; 1/500; 100; 7.1 MB; No; 280; Toronto; Canada; 2/3
9;Sony; FE 90mm f/2.8 Macro G OSS; 5504; 3672; 1.5; RGB; 1/320; 400; 6.8 MB; No; 330; Moscow; Russia; 0</s>
