;NurseryLocation;SeedsSource;SellerContactInfo;GrowthHabit;Availability;PlantedHeight;FruitColor;BloomTimePerYear;MainUses;PropagationByCuttings;GeneticModifications
0; NurseryLocation: Portland, OR; SeedsSource: local garden center; SellerContactInfo: 503-123-4567; GrowthHabit: upright; Availability: spring; PlantedHeight: 12 inches; FruitColor: red; BloomTimePerYear: summer; MainUses: ornamental, hedge; PropagationByCuttings: yes; GeneticModifications: no
1; NurseryLocation: Seattle, WA; SeedsSource: online retailer; SellerContactInfo: [sales@greenthumb.com](mailto:sales@greenthumb.com); GrowthHabit: trailing; Availability: fall; PlantedHeight: 6 inches; FruitColor: purple; BloomTimePerYear: spring; MainUses: ground cover, container; PropagationByCuttings: yes; GeneticModifications: no
2; NurseryLocation: Austin, TX; SeedsSource: local farmer's market; SellerContactInfo: 512-987-6543; GrowthHabit: mounding; Availability: summer; PlantedHeight: 24 inches; FruitColor: orange; BloomTimePerYear: fall; MainUses: annual, border; PropagationByCuttings: yes; GeneticModifications: no
3; NurseryLocation: Denver, CO; SeedsSource: mail-order catalog; SellerContactInfo: 800-555-1212; GrowthHabit: compact; Availability: early spring; PlantedHeight: 8 inches; FruitColor: yellow; BloomTimePerYear: late spring; MainUses: perennial, rock garden; PropagationByCuttings: yes; GeneticModifications: no
4; NurseryLocation: Boston, MA; SeedsSource: botanical garden gift shop; SellerContactInfo: 617-436-7180; GrowthHabit: clumping; Availability: mid-spring; PlantedHeight: 18 inches; FruitColor: pink; BloomTimePerYear: early summer; MainUses: specimen, border; PropagationByCuttings: yes; GeneticModifications: no
5; NurseryLocation: San Francisco, CA; SeedsSource: Bay Area seed exchange; SellerContactInfo: [bayareaseeds@gmail.com](mailto:bayareaseeds@gmail.com); GrowthHabit: creeping; Availability: late winter; PlantedHeight: 4 inches; FruitColor: blue; BloomTimePerYear: late winter; MainUses: ground cover, edging; PropagationByCuttings: yes; GeneticModifications: no
6; NurseryLocation: Miami, FL; SeedsSource: Everglades National Park gift shop; SellerContactInfo: 305-242-7700; GrowthHabit: prostrate; Availability: year-round; PlantedHeight: 10 inches; FruitColor: white; BloomTimePerYear: spring, fall; MainUses: erosion control, ornamental; PropagationByCuttings: yes; GeneticModifications: no
7; NurseryLocation: Chicago, IL; SeedsSource: Lurie Garden store; SellerContactInfo: 312-540-8654; GrowthHabit: sprawling; Availability: late spring; PlantedHeight: 30 inches; FruitColor: green; BloomTimePerYear: summer; MainUses: cut flower, dried flower; PropagationByCuttings: yes; GeneticModifications: no
8; NurseryLocation: Atlanta, GA; SeedsSource: Atlanta Botanical Garden gift shop; SellerContactInfo: 404-591-1539; GrowthHabit: ascending; Availability: late summer; PlantedHeight: 20 inches; FruitColor: black; BloomTimePerYear: fall; MainUses: specimen, mass planting; PropagationByCuttings: yes; GeneticModifications: no
9; NurseryLocation: New York, NY; SeedsSource: High Line park gift shop; SellerContactInfo: 212-500-6035; GrowthHabit: vining; Availability: early summer; PlantedHeight: 48 inches; FruitColor: striped; BloomTimePerYear: midsummer; MainUses: vertical garden, privacy; PropagationByCuttings: yes; GeneticModifications: no</s>
