;Study Area ID; Date & Time Stamp; Additional Data SetID; Weather Condition; Temperature (°C); Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Precipitation (mm); Solar Radiation (W/m²); Soil Moisture (%); Snow Depth(cm) ; Evapotranspiration Rate( mm day^-¹ ); Ground Temp at Multiple Layers (&deg; C - one column for each layer up to seven layers as necessary and marked accordingly from 'GroundTempLayer_02(&deg; C - one column for each layer up to seven layers as necessary and marked accordingly from 'GroundTempLayer_02(').
0;001; 2022-03-01 00:00:00; dataset001; Overcast; 5; 89; 1013; 2; 0; 200; 25; 0; 0.5; 10.5; 10.2; 9.8  9.5  9.2  8.9
1;002; 2022-03-01 01:00:00; dataset001; Light Rain; 4; 92; 1012; 3; 1; 180; 26; 1; 0.6; 10.4; 10.1; 9.7  9.4  9.1  8.8
2;003; 2022-03-01 02:00:00; dataset001; Rain; 3; 95; 1010; 4; 2; 150; 27; 2; 0.7; 10.3; 10.0; 9.6  9.3  9.0  8.7
3;004; 2022-03-01 03:00:00; dataset001; Heavy Rain; 2; 98; 1008; 5; 5; 120; 28; 5; 0.8; 10.2; 9.9; 9.5  9.2  8.9  8.6
4;005; 2022-03-01 04:00:00; dataset001; Clear; 7; 76; 1015; 6; 0; 300; 23; 0; 0.4; 9.8; 9.5; 9.2  8.9  8.6  8.3
5;006; 2022-03-01 05:00:00; dataset001; Partly Cloudy; 6; 81; 1014; 5; 0; 250; 24; 0; 0.5; 10.1; 9.8; 9.5  9.2  8.9  8.6  8.3
6;007; 2022-03-01 06:00:00; dataset001; Cloudy; 5; 85; 1013; 4; 0; 200; 25; 0; 0.6; 10.4; 10.1; 9.8  9.5  9.2  8.9  8.6
7;008; 2022-03-01 07:00:00; dataset001; Sunny; 8; 71; 1016; 7; 0; 400; 22; 0; 0.3; 9.6; 9.3; 9.1  8.8  8.5  8.2  7.9
8;009; 2022-03-01 08:00:00; dataset001; Foggy; 4; 96; 1014; 3; 0; 150; 26; 0; 0.7; 10.3; 10.0; 9.7  9.4  9.1  8.8  8.5
9;010; 2022-03-01 09:00:00; dataset001; Drizzle; 5; 90; 1015; 4; 0.5; 180; 27; 0.5; 0.8; 10.5; 10.2; 9.9  9.6  9.3  9.0  8.7</s>
