;Renewable\_Energy\_Contribution;Energy\_Consumption\_per\_Capita;Carbon\_Emission\_Trends;Natural\_Resource\_Usage;Waste\_Management\_Efficiency;Climate\_Change\_Impact;Endangered\_Species\_Protection;Nature\_Reserve\_Area\_km2;Environmental\_Education\_Index;Corporate\_Sustainability\_Score
0; 5%; 15000 MWh; Increasing; 70% Utilization; 60% Recycling Rate; Moderate; Species Recovery Programs; 5000 km2; 85%; 7/10
1;10%; 20000 MWh; Stable; 85% Recycling; 80% Landfill Diversion; Severe; Biodiversity Conservation; 8000 km2; 90%; 8/10
2;8%; 12000 MWh; Decreasing; 60% Utilization; 50% Waste to Energy; Minimal; Threatened Species Monitoring; 3000 km2; 75%; 6/10
3;20%; 8000 MWh; Increasing; 90% Efficiency; 95% Recycling; Moderate; Wildlife Corridors Established; 10000 km2; 95%; 9/10
4;15%; 18000 MWh; Stable; 50% Utilization; 40% Landfill Diversion; Severe; Marine Protected Areas; 7000 km2; 80%; 7/10
5;5%; 10000 MWh; Decreasing; 80% Efficiency; 70% Waste to Energy; Minimal; Species Recovery Initiatives; 2000 km2; 60%; 5/10
6;25%; 6000 MWh; Increasing; 95% Utilization; 100% Recycling; Moderate; Protected Natural Habitats; 12000 km2; 90%; 10/10
7;18%; 22000 MWh; Stable; 70% Utilization; 60% Landfill Diversion; Severe; Endemic Species Conservation; 9000 km2; 85%; 8/10
8;9%; 13000 MWh; Decreasing; 85% Efficiency; 80% Waste to Energy; Minimal; Rare Species Habitat Restoration; 4000 km2; 70%; 6/10
9;10%; 9000 MWh; Increasing; 65% Utilization; 55% Recycling; Moderate; National Parks and Wildlife Sanctuaries; 6000 km2; 85%; 9/10</s>
