;"""Problems in Math""";"""Theorems in Math""";"""Famous Math Problems""";"""Math Journals""";"""Math Books""";"""Math Websites""";"""Mathematicians' Biographies""";"""Math Competitions""";"""Math Puzzles""";"""Math Games""";"""Math Software""";"""Math Hardware""";"""Math Research Groups""";"""Math Conferences"""
0;" ""Finding the value of infinity""";"""Zorn's Lemma in Set Theory""";"""Goldbach Conjecture""";"""Journal of Algebra""";"""Linear Algebra and Its Applications""";"""Khan Academy""";"""Biography of Euclid""";"""International Mathematical Olympiad""";"""Rubik's Cube""";"""2048 Game""";"""MATLAB""";"""Cray Supercomputers""";"""The Institute for Advanced Study""";"""International Congress of Mathematicians"""
1;"""Prime number theorem""";"""Hairy Ball Theorem in Topology""";"""Twin Prime Conjecture""";"""Annals of Mathematics""";"""A Course in Pure Mathematics""";"""Wolfram MathWorld""";"""Biography of Isaac Newton""";"""Putnam Competition""";"""Sudoku Puzzles""";"""Chess""";"""Maple""";"""IBM Summit""";"""The Fields Institute""";"""Joint Mathematics Meetings"""
2;"""Riemann Hypothesis""";"""Four Color Theorem in Graph Theory""";"""Collatz Conjecture""";"""Journal of the American Mathematical Society""";"""Principles of Mathematical Analysis""";"""Mathway""";"""Biography of Carl Friedrich Gauss""";"""United States of America Mathematical Olympiad""";"""Crossword Puzzles""";"""Go""";"""Microsoft Mathematics""";"""NVIDIA DGX""";"""The Mathematical Association of America""";"""Society for Industrial and Applied Mathematics Annual Meeting"""
3;"""Pythagorean Theorem""";"""P vs NP Problem in Computational Complexity""";"""Golden Ratio""";"""Proceedings of the National Academy of Sciences""";"""Introduction to Graph Theory""";"""Desmos""";"""Biography of Leonhard Euler""";"""European Girls' Mathematical Olympiad""";"""Logic Puzzles""";"""Tetris""";"""R""";"""Google's Tensor Processing Unit""";"""Clay Mathematics Institute""";"""American Mathematical Society Annual Meeting"""
4;"""Quadratic Formula""";"""Fermat's Last Theorem in Number Theory""";"""Perfect Numbers""";"""Inventiones Mathematicae""";"""A First Course in Partial Differential Equations""";"""Photomath""";"""Biography of Blaise Pascal""";"""Pan-African Mathematics Olympiad""";"""Brain Teasers""";"""Simon Tatham's Portable Puzzle Collection""";"""SageMath""";"""Intel Xeon Phi""";"""National Council of Teachers of Mathematics Annual Meeting""";"""Pacific Journal of Mathematics"""
5;"""Law of Sines""";"""Pólya's Conjecture in Combinatorics""";"""Mersenne Primes""";"""Journal of Combinatorial Theory, Series A""";"""A First Course in Calculus""";"""GeoGebra""";"""Biography of Pierre-Simon Laplace""";"""Iranian Mathematics Olympiad""";"""Maze Puzzles""";"""Hex""";"""GNU Octave""";"""Quantum Computing Hardware""";"""American Statistical Association Annual Meeting""";"""Proceedings of the Edinburgh Mathematical Society"""
6;"""Fundamental Theorem of Algebra""";"""Knot Theory in Topology""";"""Catalan Numbers""";"""Journal of Differential Geometry""";"""A Course in Abstract Algebra""";"""Symbolab""";"""Biography of Évariste Galois""";"""Asian Pacific Mathematics Olympiad""";"""Arrow Puzzles""";"""Set""";"""Scilab""";"""Neuromorphic Computing Hardware""";"""European Mathematical Society Congress""";"""Transactions of the American Mathematical Society"""
7;"""Trigonometric Identities""";"""Poincaré Conjecture in Topology""";"""Fibonacci Sequence""";"""Communications in Mathematical Physics""";"""A First Course in Linear Algebra""";"""Mathigon""";"""Biography of Euclid""";"""Balkan Mathematical Olympiad""";"""Sliding Puzzles""";"""Reversi""";"""Julia""";"""Quantum Annealing Hardware""";"""European Congress of Mathematics""";"""Canadian Mathematical Society Annual Meeting"""
8;"""Chinese Remainder Theorem""";"""Jordan Curve Theorem in Topology""";"""Magic Squares""";"""Acta Mathematica""";"""A First Course in Real Analysis""";"""Cymath""";"""Biography of Joseph-Louis Lagrange""";"""Iberoamerican Mathematical Olympiad""";"""Hidato Puzzles""";"""Connect Four""";"""Maxima""";"""Spatial Computing Hardware""";"""International Congress on Mathematical Education""";"""Publications of the Research Institute for Mathematical Sciences"""
9;"""L'Hopital's Rule in Calculus""";"""Hilbert's Nullstellensatz in Algebraic Geometry""";"""Pi""";"""Journal of the American Statistical Association""";"""A First Course in Probability""";"""Math-Drills""";"""Biography of Srinivasa Ramanujan""";"""Canadian Mathematics Olympiad""";"""Su Doku Puzzles""";"""Tic Tac Toe""";"""Macaulay2""";"""AI Accelerator Hardware""";"""International Conference on Mathematical Education""";"""Journal of Symbolic Computation"".</s>"
