;Philosopher Birthplace;Philosophers by Century;Century Duration;School Of Thought Founding Date;NumberOfYearsActive;Famous Student(s);Notable Concern;Areas of Studies;Relating to Other Disciplines;Industries Impacted;Criticisms And Controversies
0; Immanuel Kant;Germany;18th Century;Continental Rationalism;46;Johannes Kiesewetter, Jakob Friedrich Fries;Metaphysics, Epistemology;Philosophy, Psychology;Theology, Mathematics;Education, Technology;Ignores empirical knowledge.
1;Baruch Spinoza;Netherlands;17th Century;Rationalism;21;Alfred Rosenberg, Friedrich Nietzsche;Philosophy of Religion, Philosophy of Mind;Politics, Morality;Theology, Physics;Manufacturing, Arts;Banned by Jewish community.
2;John Locke;England;17th Century;British Empiricism;68;George Berkeley, David Hume;Epistemology, Political philosophy;Science, Medicine;Education, Law;Publishing, Social Sciences;Accused of promoting materialism and relativism.
3;Friedrich Nietzsche;Germany;19th Century;Continental Philosophy;25;Martin Heidegger, Jean-Paul Sartre;Morality, Religion;Literature, Art;Social Sciences, Psychology;Music, Media;Criticized for nihilism, anti-Christian views.
4;René Descartes;France;17th Century;Rationalism;44;Gottfried Wilhelm Leibniz, Nicolas Malebranche;Philosophy of Mind, Metaphysics;Mathematics, Physics;Theology, Engineering;Aerospace, Defense;Under criticism for mind-body dualism, methodological skepticism.
5;Søren Kierkegaard;Denmark;19th Century;Existentialism;13;Jean-Paul Sartre, Martin Heidegger;Existence, Subjectivity;Religion, Literature;Psychology, Politics;Media, Advertising;Criticized for promoting individualism, anti-rationalism.
6;Thomas Hobbes;England;17th Century;British Empiricism;76;John Locke, David Hume;Political Philosophy, Ethics;Science, Mathematics;Education, Economics;Defense, Security;Accused of authoritarianism and materialism.
7;Hannah Arendt;Germany;20th Century;Political Theory;78;Mary McCarthy, Hans Jonas;Political Theory, Totalitarianism;Politics, Social Theory;History, Anthropology;Government, Non-profit;Criticized for controversial views on Adolf Eichmann.
8;Plato;Greece;4th Century BCE;Ancient Greek Philosophy;63;Aristotle;Metaphysics, Ethics;Politics, Aesthetics;Mathematics, Theology;Education, Technology;None.
9;Aristotle;Greece;4th Century BCE;Ancient Greek Philosophy;62;Theophrastus, Alexander the Great;Metaphysics, Ethics;Biology, Physics;Politics, Psychology;Education, Technology;None.</s>
10; Immanuel Kant;Germany;18th Century;Transcendental Idealism;59;Johann Hamann, Johann Herder;Epistemology, Metaphysics;Logic, Ethics;Politics, Aesthetics;Education, Law;Criticized for his complex writing style.
11;Jean-Jacques Rousseau;Switzerland;18th Century;Romanticism, Social Contract Theory;66;Adam Smith, David Hume;Political Philosophy, Education;Music, Literature;Sociology, Economics;Government, Education;Criticized for contradictions in his works.
12;Friedrich Nietzsche;Germany;19th Century;Perspectivism;24;Sigmund Freud, Lou Andreas-Salomé;Morality, Tragedy;Language, Art;Religion, Culture;Humanities, Psychology;Criticized for his views on morality and religion.
13;Søren Kierkegaard;Denmark;19th Century;Christian Existentialism;29;Henrik Ibsen, Ludvig Feuerbach;Existentialism, Religious Philosophy;Literature, Theology;Psychology, Social Sciences;Philosophy of Religion, Theology;Criticized for obscurity and complexity.
14;John Stuart Mill;United Kingdom;19th Century;Liberalism;66;Alexander Bain, Harriet Taylor Mill;Political Theory, Utilitarianism;Economics, Logic;Sociology, Government;Social Sciences, Education;Criticized for initial support of women's subjugation.
15;Thomas Hobbes;United Kingdom;17th Century;Social Contract Theory;32;René Descartes, John Selden;Political Theory, Moral and Political Philosophy;Geometry, Science;Law, History;Political Science, Sociology;Criticized for his skeptical views on human nature.
16;Karl Marx;Germany;19th Century;Marxism;50;Friedrich Engels, Mikhail Bakunin;Political Economy, Class Conflict;Sociology, Social and Political Theory;Philosophy of History, Anthropology;Social Sciences, Economics;Criticized for advocating class struggle and communism.
17;Bertrand Russell;United Kingdom;20th Century;Analytic Philosophy, Logical Atomism;74;Ludwig Wittgenstein, Frank Ramsey;Mathematical Logic, Epistemology;Logic, Ethics;Social and Political Theory, Education;Mathematics, Linguistics;Criticized for his political activism and views on religion.
18;Martha Nussbaum;United States;20th Century;Capabilities Approach;69;Seyla Benhabib, Cass Sunstein;Political Philosophy, Feminist Philosophy;Classics, Literature;Education, Law;Economics, Philosophy;Criticized for her views on the role of emotions.
19;Simone de Beauvoir;France;20th Century;Existentialism, Feminist Theory;51;Jean-Paul Sartre, Albert Camus;Ethics, Phenomenology;Literature, Political Theory;History, Gender Studies;Philosophy, Psychology;Criticized for her views on motherhood and relationships.</s>
20; Immanuel Kant;Prussia (now Germany);18th Century;Critical Philosophy;46;Johannes Kruger, Karl Leonhard Reinhold;Metaphysics, Moral Philosophy;Logic, Anthropology;Political Theory, Aesthetics;Religion, Education;Criticized for his complex writing style.
21;John Locke;England;17th Century;British Empiricism;69;George Berkeley, Anthony Collins;Epistemology, Political Philosophy;Education, Medicine;Economics, Theology;Law, Politics;Criticized for his views on religious tolerance.
