;Stratum Name; Elevation Band Min - Max (masl); Vegetation Type; Light Exposure Category; Slope Degree (degrees); Aspect Direction (degrees from North); Geological Formations (type); Hydrological Features (name / type); Soils Types (USDA ID); Land Use History (year range or periods - historical events); Anthropogenic Disturbance Factors (factor name with impact level);" Biodiversity Indicator Species List (specie names | common + scientific forms separated by ""|"")"; Mean Annual Evapotranspiration (mm); Soil pH Level.
0;" ""Alpine Tundra"; 3200-3600; Herbaceous Vegetation; High Light; 20-30; 0-360; Crystalline Schist; None; Orthic Regosol; Pre-1500s - Indigenous land use; Grazing/Fire; Rock Ptarmigan (Lagopus muta) | White-tailed Ptarmigan (Lagopus leucura); 500;" 5.5"""
1;"""Montane Forest"; 2400-3200; Coniferous Forest; Medium Light; 10-20; 30-120; Metamorphic Gneiss; Mountain Streams; Melanic Umbrisol; 1800s - Mining; Habitat Fragmentation; American Pika (Ochotona princeps) | Columbian Ground Squirrel (Urocitellus columbianus); 800;" 6.0"""
2;"""Subalpine Meadow"; 2800-3200; Grassland; Low Light; 5-15; 150-210; Sedimentary Shale; Melting Glaciers; Haplic Regosol; Post-1950s - Climate Change; Species Migration; White-crowned Sparrow (Zonotrichia leucophrys) | Blue-listed Aster (Aster curtus); 600;" 6.5"""
3;"""Temperate Rainforest"; 800-1500; Deciduous & Evergreen Forest; Low Light; 0-10; 135-225; Volcanic Basalt; Riverine Networks; Histic Epiaquic Melanudand; 1850s - Logging; Soil Erosion; Northern Spotted Owl (Strix occidentalis caurina) | Pacific Banana Slug (Ariolimax columbianus); 1200;" 7.0"""
4;"""Dry Grassland"; 1200-1800; Shrubland; High Light; 5-25; 225-315; Alluvial Sandstone; Ephemeral Puddles; Typic Torrifluvent; Post-1900s - Agriculture; Invasive Species; Western Meadowlark (Sturnella neglecta) | Bunchgrass (Festuca idahoensis); 400;" 8.0"""
5;"""Desert Scrub"; 300-1200; Succulent Vegetation; High Light; 0-5; 315-360; Limestone Conglomerate; Wadi-type Ravines; Calcic Camborthid; Prehistoric - Native American Use; Overgrazing; Desert Bighorn Sheep (Ovis canadensis nelsoni) | Jumping Cholla (Cylindropuntia fulgida); 200;" 8.5"""
6;"""Tundra Wetland"; 50-300; Mosses & Lichens; Medium Light; 0-3; 0-360; Sedimentary Till; Thaw Ponds; Terric Histosol; Post-1980s - Permafrost Thaw; Drainage; Snowy Owl (Bubo scandiacus) | Dwarf Birch (Betula nana); 300;" 7.5"""
7;"""Mangrove Forest"; 0-5; Tropical Vegetation; Low Light; 0-3; 90-270; Marine Deposits; Coastal Lagoons; Typic Medisaprist; Historical - Shoreline Changes; Sedimentation; Mangrove Crab (Scylla paramamosain) | Red Mangrove (Rhizophora mangle); 1500;" 6.5"""
8;"""Coral Reef"; -1 to 10; Coral; High Light; 0; 0-360; Calcareous Limestone; Atolls; Calcic Anthrodox; Post-WWII - Coral Mining; Bleaching; Elkhorn Coral (Acropora palmata) | Pillar Coral (Dendrogyra cylindrus); 100;" 8.2"""
9;"""Oceanic Pelagic Zone"; -5000 to 0; Planktonic Organisms; Very Low Light; 0; 0-360; Basaltic Oceanic Crust; Hydrothermal Vents; Vitric Arenic Epiaquic; Natural - Volcanic Activity; Oil Spills; Gooseneck Barnacle (Lepas anatifera) | C hopepodote (Nannochloropsis); 0;" 8.0""</s>"
