;Additional Data; Study Area ID; Date & Time Stamp; Satellite Image Reference; Land Type Classification; Snow Coverage (+/-); Freeze Index Value; Evapotranspiration Rate (kg/(hm^2)); Heat Wave Duration (days); Storm Cell Tracking Category (- none – assigned if exists–); Temperature (°F); Relative Humidity (%); Atmospheric Pressure (inHg)
0; 10123; 2022-08-10 15:30:01; Image20220810-153000-321; Grassland; No Snow; -1.5; 45.3; 0.45; 0; Present; 89; 1013.7;
1;98765; 2022-08-09 12:05:23; Image20220809-120523-456; Mixed Forest; 20% Snow Cover; -3.2; 44.2; 0.52; 1; Absent; 75; 1014.1;
2;14587; 2022-08-08 06:45:11; Image20220808-064511-789; Cropland; No Snow; -1.8; 47.1; 0.42; 0; Absent; 68; 1013.9;
3;23589; 2022-08-07 23:50:30; Image20220807-235030-123; Shrubland; 50% Snow Cover; -2.9; 42.8; 0.56; 2; Present; 82; 1013.5;
4;65780; 2022-08-06 21:15:44; Image20220806-211544-456; Wetland; 10% Snow Cover; -2.1; 48.6; 0.48; 0; Absent; 70; 1014.2;
5;90135; 2022-08-05 18:40:57; Image20220805-184057-789; Barren; No Snow; -1.3; 51.5; 0.39; 0; Absent; 65; 1013.8;
6;12546; 2022-08-04 16:06:10; Image20220804-160610-123; Urban; 30% Snow Cover; -2.7; 43.4; 0.54; 1; Present; 85; 1014.5;
7;45432; 2022-08-03 13:31:23; Image20220803-133123-456; Deciduous Forest; 40% Snow Cover; -3.1; 46.7; 0.51; 2; Absent; 77; 1013.4;
8;87619; 2022-08-02 11:00:35; Image20220802-110035-789; Evergreen Forest; No Snow; -0.8; 53.9; 0.37; 0; Absent; 62; 1013.6;
9;34560; 2022-08-01 08:29:46; Image20220801-082946-123; Mixed Tundra; 80% Snow Cover; -1.9; 49.8; 0.46; 1; Present; 79; 1014.3</s>;
