;<Nebula Name; Nebula Category; Constellations Associated; Radius (light years); Gas Composition Percentage; Dust Particles Concentration; Temperature (K); Luminosity (% of Solar); Stars within Nebula; Galactic Coordinates (Longitude, Latitude)>
0;  Orion Nebula; Reflection/Emission; Orion; 0.26; Hydrogen 70%, Helium 28%, Others 2%; Dust particles abundant; 10 K - 30,000 K; 10%; Trapezium Cluster; (209.91°, -19.59°)
1; Crab Nebula; Supernova Remnant; Taurus; 3.4; Hydrogen 76%, Oxygen 21%, Others 3%; Moderate dust concentration; 15-50 K; 0.00001%; No prominent stars; (184.57°, 20.09°)
2; Tarantula Nebula; Emission/Supernova Remnant; Dorado; 300; Hydrogen 70%, Helium 28%, Others 2%; High dust particles concentration; 10 K - 50,000 K; 200%; R136 Star Cluster; (260.35°, -44.54°)
3; Helix Nebula; Planetary; Aquarius; 0.22; Hydrogen 99%, Helium 1%; Low dust particles concentration; 1000 K; 0.000002%; No prominent stars; (308.51°, -19.98°)
4; Ring Nebula; Planetary; Lyra; 0.22; Hydrogen 96%, Helium 4%, Others 0.1%; Low dust particles concentration; 10,000 K; 0.000003%; No prominent stars; (170.03°, 38.46°)
5; Eagle Nebula; Emission/Dark; Serpens; 1.5; Hydrogen 75%, Helium 24%, Others 1%; Moderate dust particles concentration; 10 K - 60,000 K; 5%;" Star Cluster ""The Pillars"""; (26.87°, -4.07°)
6; Trifid Nebula; Emission/Reflection; Sagittarius; 0.75; Hydrogen 72%, Helium 26%, Others 2%; High dust particles concentration; 50 K - 100 K; 0.0001%; Few prominent stars; (6.19°, -18.21°)
7; Cat's Eye Nebula; Planetary; Draco; 0.1; Hydrogen 50%, Oxygen 35%, Carbon 10%, Others 5%; Low dust concentration; 100 K; 0.000006%; No prominent stars; (163.25°, 71.38°)
8; Butterfly Nebula; Emission; Scorpius; 0.08; Hydrogen 75%, Helium 25%; Moderate dust concentration; 8000 K; 0.000006%; No prominent stars; (349.86°, -3.94°)
9; California Nebula; Emission; Perseus; 8.5; Hydrogen 76%, Helium 23%, Others 1%; Low dust concentration; 10 K - 18,000 K; 1%; No prominent stars; (158.81°, 52.93°) 
