;Gravity Anomalies;Magnetic anomaly map values;Moho depth variations;Isostasy principles applied;Earthquake epicenter locations;Radiometric age dating results;Paleointensity measurements from rocks;Strain rate tensor components;Rock type classifications based upon seismo-electric methods;Estimated Vp/(Vs or vs) values;Gravitational potential at surface points;Geoid undulations
0; Gravity Anomalies; -0.00235 m/s²; Magnetic anomaly map values; 120 nT; Moho depth variations; 32 ± 2 km; Isostasy principles applied; Airy's theory; Earthquake epicenter locations; 38.345° N, 122.654° W; Radiometric age dating results; 140 Ma  Paleointensity measurements from rocks  35 μT  Strain rate tensor components  (-1.2, 0.5, 0.3)  Rock type classifications based upon seismo-electric methods  Sandstone  Estimated Vp/(Vs or vs) values  1.78  Gravitational potential at surface points  629,987 m²/s²  Geoid undulations  -12 meters
1;Gravity Anomalies; 0.00156 m/s²; Magnetic anomaly map values; -50 nT; Moho depth variations; 40 ± 1.5 km; Isostasy principles applied; Pratt's theory; Earthquake epicenter locations; 27.642° S, 168.423° E; Radiometric age dating results; 520 Ma  Paleointensity measurements from rocks  58 μT  Strain rate tensor components  (0.8, -0.4, -0.2)  Rock type classifications based upon seismo-electric methods  Basalt  Estimated Vp/(Vs or vs) values  1.65  Gravitational potential at surface points  6,065,431 m²/s²  Geoid undulations  3 meters
2;Gravity Anomalies; -0.00087 m/s²; Magnetic anomaly map values; 35 nT; Moho depth variations; 29 ± 1 km; Isostasy principles applied; flexural isostasy; Earthquake epicenter locations; 44.123° N, 103.789° W; Radiometric age dating results; 2.1 Ga  Paleointensity measurements from rocks  15 μT  Strain rate tensor components  (-0.3, 0.1, -0.05)  Rock type classifications based upon seismo-electric methods  Limestone  Estimated Vp/(Vs or vs) values  1.82  Gravitational potential at surface points  593,345 m²/s²  Geoid undulations  -21 meters
3;Gravity Anomalies; 0.00123 m/s²; Magnetic anomaly map values; -65 nT; Moho depth variations; 38 ± 2.5 km; Isostasy principles applied; Vening Meinesz theory; Earthquake epicenter locations; 12.567° S, 86.743° E; Radiometric age dating results; 1.1 Ga  Paleointensity measurements from rocks  28 μT  Strain rate tensor components  (1.1, -0.7, 0.1)  Rock type classifications based upon seismo-electric methods  Schist  Estimated Vp/(Vs or vs) values  1.6  Gravitational potential at surface points  6,675,321 m²/s²  Geoid undulations  18 meters
4;Gravity Anomalies; -0.00194 m/s²; Magnetic anomaly map values; 80 nT; Moho depth variations; 25 ± 1.2 km; Isostasy principles applied; Isostatic compensation; Earthquake epicenter locations; 51.345° N, 14.789° E; Radiometric age dating results; 300 Ma  Paleointensity measurements from rocks  42 μT  Strain rate tensor components  (-0.9, 0.6, 0.2)  Rock type classifications based upon seismo-electric methods  Gneiss  Estimated Vp/(Vs or vs) values  1.72  Gravitational potential at surface points  601,542 m²/s²  Geoid undulations  -28 meters
5;Gravity Anomalies; 0.00056 m/s²; Magnetic anomaly map values; -42 nT; Moho depth variations; 35 ± 1.5 km; Isostasy principles applied; Regional isostasy; Earthquake epicenter locations; 32.876° S, 115.987° W; Radiometric age dating results; 800 Ma  Paleointensity measurements from rocks  60 μT  Strain rate tensor components  (0.5, -0.3, -0.1)  Rock type classifications based upon seismo-electric methods  Granite  Estimated Vp/(Vs or vs) values  1.58  Gravitational potential at surface points  6,852,415 m²/s²  Geoid undulations  11 meters
6;Gravity Anomalies; -0.00165 m/s²; Magnetic anomaly map values; 100 nT; Moho depth variations; 45 ± 2 km; Isostasy principles applied; Isostasy and Airy-Heiskanen model; Earthquake epicenter locations; 1.234° S, 103.543° E; Radiometric age dating results; 1.7 Ga  Paleointensity measurements from rocks  19 μT  Strain rate tensor components  (-1.5, 1.1, 0.4)  Rock type classifications based upon seismo-electric methods  Gabbro  Estimated Vp/(Vs or vs) values  1.9  Gravitational potential at surface points  580,164 m²/s²  Geoid undulations  -34 meters
7;Gravity Anomalies; 0.00188 m/s²; Magnetic anomaly map values; -75 nT; Moho depth variations; 30 ± 1 km; Isostasy principles applied; Local isostasy; Earthquake epicenter locations; 47.654° N, 122.345° W; Radiometric age dating results; 40 Ma  Paleointensity measurements from rocks  34 μT  Strain rate tensor components  (0.7, -0.4, -0.2)  Rock type classifications based upon seismo-electric methods  Shale  Estimated Vp/(Vs or vs) values  1.75  Gravitational potential at surface points  612,987 m²/s²  Geoid undulations  15 meters
8;Gravity Anomalies; -0.00091 m/s²; Magnetic anomaly map values; 55 nT; Moho depth variations; 37 ± 2 km; Isostasy principles applied; Isostatic equilibrium; Earthquake epicenter locations; 36.987° S, 71.765° W; Radiometric age dating results; 620 Ma  Paleointensity measurements from rocks  56 μT  Strain rate tensor components  (-1.1, 0.8, 0.3)  Rock type classifications based upon seismo-electric methods  Quartzite  Estimated Vp/(Vs or vs) values  1.67  Gravitational potential at surface points  6,456,542 m²/s²  Geoid undulations  -19 meters
9;Gravity Anomalies; 0.00112 m/s²; Magnetic anomaly map values; -38 nT; Moho depth variations; 42 ± 1.8 km; Isostasy principles applied; Isostatic residual; Earthquake epicenter locations; 24.567° N, 94.234° E; Radiometric age dating results; 2.8 Ga  Paleointensity measurements from rocks  26 μT  Strain rate tensor components  (1.3, -0.9, 0.1)  Rock type classifications based upon seismo-electric methods  Conglomerate  Estimated Vp/(Vs or vs) values  1.8  Gravitational potential at surface points  599,876 m²/s²  Geoid undulations  7 meters</s>
