;`Nebula Name; Nebula Category; Galactic Coordinates (longitude, latitude); Nebula Radius (light years); Gas Composition Percentage; Temperature Range (Kelvin); Stellar Association Count; Supernova Remnant Indicator; Dark Matter Distribution (Energy Density Mass %)^3; Cosmic Microwave Background Signal Level (ppm)*`
0;" ""Orion Nebula"; Reflection Nebula; (209.92°, -19.55°); 0.26; 70% Hydrogen, 28% Helium, 2% Other; 10 - 30000; 3; No; 0.00004;" 5"" "
1;"""Tarantula Nebula"; Emission Nebula; (287.53°, -18.46°); 300; 70% Hydrogen, 28% Helium, 2% Other; 1000 - 20000; 2; No; 0.0001;" 35"" "
2;"""Crab Nebula"; Supernova Remnant; (184.56°, 22.01°); 3.8; 65% Hydrogen, 33% Helium, 2% Other; 15 - 25000; 1; Yes; 0.00006;" 20"" "
3;"""Carina Nebula"; Emission Nebula; (289.64°, -2.21°); 100; 70% Hydrogen, 28% Helium, 2% Other; 10 - 35000; 0; No; 0.00007;" 75"" "
4;"""Helix Nebula"; Planetary Nebula; (346.78°, -20.84°); 0.002; 76% Hydrogen, 23% Helium, 1% Other; 5000 - 20000; 0; No; 0.00008;" 4"" "
5;"""Eagle Nebula"; Emission Nebula; (18.25°, -13.03°); 2.3; 70% Hydrogen, 28% Helium, 2% Other; 10 - 30000; 1; No; 0.00009;" 15"" "
6;"""Butterfly Nebula"; Planetary Nebula; (358.42°, 0.35°); 0.06; 75% Hydrogen, 24% Helium, 1% Other; 6000 - 15000; 0; No; 0.0001;" 8"" "
7;"""Cat's Eye Nebula"; Planetary Nebula; 60.80°, 5.92°); 0.0015; 72% Hydrogen, 27% Helium, 1% Other; 8000 - 12000; 0; No; 0.00012;" 12"" "
8;"""Ring Nebula"; Planetary Nebula; (57.40°, 5.94°); 0.0004; 76% Hydrogen, 23% Helium, 1% Other; 5000 - 8000; 0; No; 0.00013;" 10"" "
9;"""Trifid Nebula"; Emission/Reflection Nebula; (12.68°, -4.02°); 0.8; 70% Hydrogen, 28% Helium, 2% Other; 10 - 20000; 1; No; 0.00015;" 22"""
10;" ""Andromeda Galaxy Nebula"; Supernova Remnant; (23.45°, 42.36°); 1.3; 74% Hydrogen, 25% Helium, 1% Other; 1000 - 50000; 3; Yes; 0.00018;" 5""  "
