;Study Area ID; Date & Time Stamp; Weather Condition; Additional Data SetID; Satellite Imagery Type; Temperature (°C); Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Precipitation (mm); Cloud Coverage (%); Solar Radiation (W/m²); Soil Moisture (%); Evapotranspiration(ET) (kg/(м^2 s)); Net Primary Productivity($NPP$) (g/((m^3)*d)); LeafAreaIndex$(LAI)$ (unitless); FrequencyOfExtremeWeathers.
0; 101; 2022-01-01 00:00:00; Overcast, Light Rain; DS-123; Infrared, Visible; 5; 89; 1013; 4; 2.5; 75; 100; 20; 0.15; 0.56; 3.8;
1;102; 2022-01-02 12:00:00; Sunny; DS-456; Visible; 12; 23; 1012; 8; 0; 15; 800; 18; 0.12; 1.25; 5.1;
2;103; 2022-01-03 06:00:00; Partly Cloudy; DS-789; Infrared, Visible; 7; 55; 1014; 6; 3.2; 50; 250; 22; 0.18; 0.89; 4.2;
3;104; 2022-01-04 18:00:00; Clear; DS-012; Visible; 0; 10; 1011; 12; 0; 0; 1000; 15; 0.1; 0.5; 5.9;
4;105; 2022-01-05 23:59:59; Thunderstorm; DS-345; Infrared, Visible; 10; 67; 1008; 15; 7.6; 20; 120; 25; 0.21; 1.12; 4.5;
5;106; 2022-01-06 13:30:00; Snowing; DS-678; Thermal Infrared; -2; 92; 1020; 5; 2.9; 100; 0; 17; 0.23; 0.45; 2.9;
6;107; 2022-01-07 04:00:00; Foggy; DS-901; Infrared, Visible; 3; 98; 1010; 3; 1.4; 0; 20; 28; 0.19; 0.72; 4.8;
7;108; 2022-01-08 15:00:00; Hail; DS-234; Infrared, Visible; 2; 76; 1005; 10; 11.1; 5; 180; 30; 0.24; 1.48; 3.6;
8;109; 2022-01-09 20:00:00; Drizzle; DS-567; Infrared, Visible; 6; 84; 1016; 7; 3.8; 1; 120; 22; 0.2; 0.98; 4.3;
9;110; 2022-01-10 11:15:00; Freezing Rain; DS-890; Infrared, Visible; 1; 90; 1015; 8; 5.7; 7; 50; 28; 0.22; 1.05; 3.4;</s>
