;1. Gravity Anomalies;2. Magnetic anomaly map values;3. Moho depth variations;4. Isostasy measurements;5. Heat flow density;6. Paleointensity records;7. Radiometric dating results;8. Strain analysis;9. Fracture pattern characterization;10. Reflection seismo-stratigraphic profiling;11. Aquifer property assessment;12. Aquitards identification;13. Volcanology monitoring indicators
0;  Gravity Anomalies: -8 mGal; Magnetic anomaly map values: 50-100 nT; Moho depth variations: 25-32 km; Isostasy measurements: +20 mGal; Heat flow density: 60 mW/m2; Paleointensity records: 20-30 uT; Radiometric dating results: 120-140 Ma; Strain analysis: 0.002-0.005 strain; Fracture pattern characterization: NW-SE trend; Reflection seismo-stratigraphic profiling: Basement depth 3500-4000 m; Aquifer property assessment: High transmissivity; Aquitards identification: Shale layers; Volcanology monitoring indicators: No seismicity, low SO2 emissions
1; Gravity Anomalies: -2 mGal; Magnetic anomaly map values: -50 nT; Moho depth variations: 30-35 km; Isostasy measurements: -10 mGal; Heat flow density: 40 mW/m2; Paleointensity records: 15-25 uT; Radiometric dating results: 80-100 Ma; Strain analysis: 0.005-0.01 strain; Fracture pattern characterization: NE-SW trend; Reflection seismo-stratigraphic profiling: Basement depth 4500-5000 m; Aquifer property assessment: Moderate transmissivity; Aquitards identification: Clay layers; Volcanology monitoring indicators: Low seismicity, high CO2 emissions
2; Gravity Anomalies: +5 mGal; Magnetic anomaly map values: 200 nT; Moho depth variations: 20-25 km; Isostasy measurements: +50 mGal; Heat flow density: 80 mW/m2; Paleointensity records: 35-45 uT; Radiometric dating results: 160-180 Ma; Strain analysis: 0.001-0.003 strain; Fracture pattern characterization: E-W trend; Reflection seismo-stratigraphic profiling: Basement depth 2500-3000 m; Aquifer property assessment: Low transmissivity; Aquitards identification: Silt layers; Volcanology monitoring indicators: No seismicity, low CO2 emissions
3; Gravity Anomalies: -9 mGal; Magnetic anomaly map values: -100 nT; Moho depth variations: 32-37 km; Isostasy measurements: -30 mGal; Heat flow density: 50 mW/m2; Paleointensity records: 22-32 uT; Radiometric dating results: 100-120 Ma; Strain analysis: 0.004-0.007 strain; Fracture pattern characterization: N-S trend; Reflection seismo-stratigraphic profiling: Basement depth 4000-4500 m; Aquifer property assessment: High storativity; Aquitards identification: Sandstone layers; Volcanology monitoring indicators: Low seismicity, high SO2 emissions
4; Gravity Anomalies: -5 mGal; Magnetic anomaly map values: -200 nT; Moho depth variations: 28-33 km; Isostasy measurements: -50 mGal; Heat flow density: 30 mW/m2; Paleointensity records: 10-20 uT; Radiometric dating results: 140-160 Ma; Strain analysis: 0.006-0.011 strain; Fracture pattern characterization: NE-SW trend; Reflection seismo-stratigraphic profiling: Basement depth 3500-4000 m; Aquifer property assessment: Moderate transmissivity; Aquitards identification: Mudstone layers; Volcanology monitoring indicators: No seismicity, low CO2 emissions
5; Gravity Anomalies: +0 mGal; Magnetic anomaly map values: 150 nT; Moho depth variations: 22-27 km; Isostasy measurements: +40 mGal; Heat flow density: 90 mW/m2; Paleointensity records: 40-50 uT; Radiometric dating results: 190-210 Ma; Strain analysis: 0.002-0.004 strain; Fracture pattern characterization: E-W trend; Reflection seismo-stratigraphic profiling: Basement depth 2000-2500 m; Aquifer property assessment: High transmissivity; Aquitards identification: Limestone layers; Volcanology monitoring indicators: No seismicity, low SO2 emissions
6; Gravity Anomalies: -1 mGal; Magnetic anomaly map values: 0 nT; Moho depth variations: 35-40 km; Isostasy measurements: -60 mGal; Heat flow density: 20 mW/m2; Paleointensity records: 12-22 uT; Radiometric dating results: 70-90 Ma; Strain analysis: 0.007-0.013 strain; Fracture pattern characterization: NW-SE trend; Reflection seismo-stratigraphic profiling: Basement depth 5500-6000 m; Aquifer property assessment: Low transmissivity; Aquitards identification: Schist layers; Volcanology monitoring indicators: Low seismicity, high CO2 emissions
7; Gravity Anomalies: +7 mGal; Magnetic anomaly map values: 300 nT; Moho depth variations: 20-25 km; Isostasy measurements: +30 mGal; Heat flow density: 70 mW/m2; Paleointensity records: 38-48 uT; Radiometric dating results: 170-190 Ma; Strain analysis: 0.003-0.006 strain; Fracture pattern characterization: E-W trend; Reflection seismo-stratigraphic profiling: Basement depth 2500-3000 m; Aquifer property assessment: Moderate transmissivity; Aquitards identification: Gypsum layers; Volcanology monitoring indicators: No seismicity, high SO2 emissions
8; Gravity Anomalies: -4 mGal; Magnetic anomaly map values: -300 nT; Moho depth variations: 30-35 km; Isostasy measurements: -80 mGal; Heat flow density: 40 mW/m2; Paleointensity records: 18-28 uT; Radiometric dating results: 110-130 Ma; Strain analysis: 0.005-0.010 strain; Fracture pattern characterization: N-S trend; Reflection seismo-stratigraphic profiling: Basement depth 4000-4500 m; Aquifer property assessment: High storativity; Aquitards identification: Granite layers; Volcanology monitoring indicators: Low seismicity, low CO2 emissions
9; Gravity Anomalies: +6 mGal; Magnetic anomaly map values: 100 nT; Moho depth variations: 23-28 km; Isostasy measurements: +20 mGal; Heat flow density: 60 mW/m2; Paleointensity records: 25-35 uT; Radiometric dating results: 150-170 Ma; Strain analysis: 0.002-0.005 strain; Fracture pattern characterization: NE-SW trend; Reflection seismo-stratigraphic profiling: Basement depth 3000-3500 m; Aquifer property assessment: Moderate transmissivity; Aquitards identification: Gneiss layers; Volcanology monitoring indicators: No seismicity, low SO2 emissions</s>
