;Periodization; Geographical Impact; Key Figures; Art & Architecture; Religious Beliefs; Cultural Practices; Economic Systems; Political Structures; Social Hierarchies; Scientific Advancements; Technological Innovations; Philosophical Thought; Literature; Archaeology
0;  Periodization: Ancient Mesopotamia; Geographical Impact: Tigris-Euphrates River Valley; Key Figures: Sargon of Akkad, Hammurabi; Art & Architecture: Ziggurats, Cuneiform; Religious Beliefs: Polytheism with many gods and goddesses; Cultural Practices: Epic of Gilgamesh, irrigation; Economic Systems: Slave-based; Political Structures: City-states, empires; Social Hierarchies: Kings, nobles, commoners, slaves; Scientific Advancements: Development of writing, mathematics; Technological Innovations: Plow, wheel, irrigation; Philosophical Thought: Early law codes; Literature: Epic of Gilgamesh; Archaeology: Sumerian ruins, artifacts.
1; Periodization: Ancient Egypt; Geographical Impact: Nile River Valley; Key Figures: Khufu, Ramses II, Cleopatra; Art & Architecture: Pyramids, temples, hieroglyphs; Religious Beliefs: Polytheism with many gods and goddesses; Cultural Practices: Mummification, pharaoh worship; Economic Systems: State-controlled agriculture; Political Structures: Pharaoh as divine ruler; Social Hierarchies: Pharaoh, nobility, priests, soldiers, scribes, merchants, farmers, slaves; Scientific Advancements: Medicine, mathematics; Technological Innovations: Irrigation systems; Philosophical Thought: Concept of Ma'at; Literature: Book of the Dead; Archaeology: Pyramids, tombs, artifacts.
2; Periodization: Classical Greece; Geographical Impact: Mediterranean region; Key Figures: Pericles, Alexander the Great, Socrates, Plato; Art & Architecture: Parthenon, Olympics, drama, philosophy; Religious Beliefs: Polytheism with Olympian gods; Cultural Practices: Democracy, philosophy, theater; Economic Systems: Limited trade and agriculture; Political Structures: City-states, Athenian democracy; Social Hierarchies: Citizens, women, slaves; Scientific Advancements: Geometry, astronomy; Technological Innovations: Improved shipbuilding, pottery; Philosophical Thought: Socratic method, Platonic philosophy, Aristotelian ethics; Literature: Epic poetry, tragedies, comedies; Archaeology: Ruins of Greek city-states, art, artifacts.
3; Periodization: Roman Empire; Geographical Impact: Mediterranean region, Western Europe, North Africa; Key Figures: Julius Caesar, Augustus, Nero; Art & Architecture: Colosseum, aqueducts, roads, mosaics, frescoes; Religious Beliefs: Polytheism with Roman and Greek gods, early Christianity; Cultural Practices: Baths, gladiatorial games, Latin literature; Economic Systems: Trade, agriculture, slavery; Political Structures: Republic, empire; Social Hierarchies: Patricians, plebeians, slaves, freedmen; Scientific Advancements: Engineering, legal system; Technological Innovations: Concrete, improved metalworking; Philosophical Thought: Stoicism, Epicureanism, Neoplatonism; Literature: Virgil, Ovid, Seneca; Archaeology: Roman ruins, artifacts, inscriptions.
4; Periodization: Early Middle Ages (Dark Ages); Geographical Impact: Europe, North Africa, Middle East; Key Figures: Charlemagne, Muhammad, Gregory the Great; Art & Architecture: Illuminated manuscripts, Romanesque architecture; Religious Beliefs: Christianity, Islam, paganism; Cultural Practices: Monasteries, feudalism; Economic Systems: Manorialism, trade; Political Structures: Kingdoms, caliphates; Social Hierarchies: Nobility, clergy, serfs, freemen; Scientific Advancements: Mining, agriculture; Technological Innovations: Water mill, heavy plow; Philosophical Thought: Scholasticism; Literature: Beowulf, hagiographies; Archaeology: Anglo-Saxon artifacts, Islamic architecture.
5; Periodization: High Middle Ages; Geographical Impact: Europe, Middle East; Key Figures: Pope Innocent III, Saladin, Genghis Khan; Art & Architecture: Gothic architecture, stained glass; Religious Beliefs: Christianity, Islam; Cultural Practices: Universities, chivalry; Economic Systems: Trade guilds, manorialism; Political Structures: Papal monarchy, feudal monarchies; Social Hierarchies: Nobility, clergy, burghers, serfs; Scientific Advancements: Universities, medical texts; Technological Innovations: Printing press, spectacles; Philosophical Thought: Thomas Aquinas, scholasticism; Literature: Dante, Chaucer; Archaeology: Cathedrals, castles, artifacts.
6; Periodization: Renaissance; Geographical Impact: Italy, Europe; Key Figures: Michelangelo, Da Vinci, Machiavelli, Luther; Art & Architecture: Renaissance art, humanism, linear perspective; Religious Beliefs: Christianity, Protestantism, Catholic Reformation; Cultural Practices: Patronage, exploration; Economic Systems: Trade, banking; Political Structures: City-states, nation-states; Social Hierarchies: Nobility, merchants, artisans, workers; Scientific Advancements: Copernican heliocentrism, anatomy; Technological Innovations: Printing press, navigation tools; Philosophical Thought: Humanism, individualism, secularism; Literature: Petrarch, Boccaccio, Shakespeare; Archaeology: Ancient Roman and Greek revival.
7; Periodization: Enlightenment; Geographical Impact: Western Europe; Key Figures: Voltaire, Rousseau, Locke, Newton, Franklin; Art & Architecture: Neoclassical architecture, literature; Religious Beliefs: Deism, Christianity; Cultural Practices: Enlightenment salons, exploration, scientific societies; Economic Systems: Mercantilism, capitalism; Political Structures: Enlightened despotism, constitutional monarchy, democracy; Social Hierarchies: Aristocracy, middle class, working class; Scientific Advancements: Newtonian physics, calculus; Technological Innovations: Steam engine, spinning jenny; Philosophical Thought: Empiricism, rationalism; Literature: Samuel Johnson, Goethe, Voltaire; Archaeology: Egyptian and Greek antiquities.
8; Periodization: Industrial Revolution; Geographical Impact: Western Europe, United States; Key Figures: James Watt, Robert Peel, Karl Marx; Art & Architecture: Industrial architecture, romantic literature; Religious Beliefs: Christianity; Cultural Practices: Urbanization, social reform; Economic Systems: Industrial capitalism, free markets; Political Structures: Constitutional monarchy, democracy, socialism; Social Hierarchies: Middle class, working class, poverty; Scientific Advancements: Steam power, electricity; Technological Innovations: Railroads, telegraph, factories; Philosophical Thought: Utilitarianism, socialism; Literature: Charles Dickens, Victor Hugo, Jane Austen; Archaeology: Industrial artifacts, factories.
9; Periodization: Modern Era; Geographical Impact: Global; Key Figures: Einstein, Freud, Gandhi, Hitler, Mandela; Art & Architecture: Modern art, skyscrapers, expressionism; Religious Beliefs: Christianity, Islam, Buddhism, Hinduism, secularism; Cultural Practices: Mass media, consumerism, globalization; Economic Systems: Global capitalism, socialism, mixed economies; Political Structures: Democracy, totalitarianism, socialism; Social Hierarchies: Middle class, working class, poverty; Scientific Advancements: Relativity theory, nuclear power, DNA, space exploration; Technological Innovations: Computers, internet, genetics; Philosophical Thought: Existentialism, multiculturalism, postmodernism; Literature: Virginia Woolf, James Joyce, Gabriel Garcia Marquez; Archaeology: Modern technology for archaeological exploration and preservation.</s>
