;Arrest Details (if applicable); Weapon Used;\
0; Arrest made; Knife used; Self-defense claim
1;Handgun used; Arrested for illegal possession;
2;Arrested; Baseball bat used; Assault charges
3;None; No weapon used; Vandalism conviction
4;Gun present; No arrest; Accidental discharge
5;Taser used; No arrest; Suspect subdued
6;Arrest; Mace used; Domestic disturbance
7;Arrested; Strangulation; Domestic violence charges
8;None; Poison used; Food tampering case
9;Arrest; Rocks used; Property damage.</s>
