;Quantitative Financial Analysis; Company Name; Census Classification Code (e.g., NAICS); Annual Income; Annual Expenses; Current Asset Value; Current Liabilities Value; Net Worth Value Re-calculated; Revenue Growth Rate (%, change from previous year); Net Profit Margin (%, share of annual sales revenue that goes to operating income, expressed in decimal form without the symbol); Gross Profit Margin (%, part of the company's general sales dollars that are directly attributable to the selling prices of all goods or services produced by a company, expressed as a percentage); Profitability Ratio; Earnings Before Special Items, Adjustments, Deductions, Taxes, Interest, Amortization, and Depreciation (EBITDA Margin); Return on Investment (ROI) %; Interest Coverage Ratio %; Marketing Costs (money paid for efforts undertaken aimed at supplying information about products or services to customers or future potential customers to promote their main product line or subsequent increased demand); Dividends Paid (periodic returns based on distributions to particular groups on a dollar basis)
0; Quantitative Financial Analysis; ABC Corporation; 541511 - Custom Computer Programming Services; $5,000,000; $3,500,000; $2,500,000; $1,000,000; $4,000,000; 5%; 0.15; 0.30; 0.50; 0.20; 12%; 4.00; $500,000;
1; Quantitative Financial Analysis; XYZ Enterprises; 561410 - Document Preparation Services; $3,000,000; $1,500,000; $1,000,000; $500,000; $1,500,000; 7%; 0.20; 0.40; 0.60; 0.30; 15%; 5.00; $350,000;
2; Quantitative Financial Analysis; DEF Industries; 334511 - Electronic Component Manufacturing; $8,000,000; $6,000,000; $4,000,000; $2,000,000; $6,000,000; 3%; 0.10; 0.25; 0.40; 0.15; 10%; 4.50; $900,000;
3; Quantitative Financial Analysis; GHI Business Solutions; 541512 - Computer Systems Design Services; $7,000,000; $4,500,000; $5,000,000; $2,500,000; $7,000,000; 4%; 0.12; 0.28; 0.45; 0.22; 11%; 5.50; $750,000;
4; Quantitative Financial Analysis; JKL Consulting Inc.; 541611 - Administrative Management and General Management Consulting Services; $6,000,000; $3,500,000; $3,000,000; $1,500,000; $6,000,000; 6%; 0.18; 0.31; 0.48; 0.25; 14%; 4.50; $800,000;
5; Quantitative Financial Analysis; MNO Tech; 541519 - Other Computer Related Services; $10,000,000; $7,000,000; $8,000,000; $4,000,000; $9,000,000; 2%; 0.10; 0.20; 0.35; 0.18; 9%; 5.00; $1,500,000;
6; Quantitative Financial Analysis; PQR Services; 561990 - All Other Support Services; $4,000,000; $2,000,000; $1,500,000; $750,000; $3,000,000; 8%; 0.25; 0.40; 0.65; 0.35; 18%; 5.00; $400,000;
7; Quantitative Financial Analysis; STU Co.; 326211 - Plastics Material and Resin Manufacturing; $12,000,000; $9,000,000; $6,000,000; $4,000,000; $11,000,000; 3%; 0.08; 0.18; 0.30; 0.12; 8%; 5.00; $1,200,000;
8; Quantitative Financial Analysis; VWX Business Management; 541219 - Other Accounting Services; $9,000,000; $5,500,000; $6,000,000; $3,000,000; $8,000,000; 5%; 0.14; 0.22; 0.40; 0.25; 12%; 4.00; $1,000,000;
9; Quantitative Financial Analysis; YZA Logistics Solutions; 488510 - Freight Transportation Arrangement; $15,000,000; $12,000,000; $10,000,000; $5,000,000; $14,000,000; 3%; 0.07; 0.15; 0.25; 0.10; 7%; 3.50; $2,000,000</s>;
