;Lens Make; Lens Model; Photo Title; Location Shoot; FNumber; Exif Version; Flash & Drive Mode; Color Space; Digital Zoom; White Balance Setting; Focus Distance Range; Image Width; Image Height; GPS Latitude; GPS Longitude; DateTime Original; Software Used; Comment
0;  Canon; EF 70-200mm f/2.8L IS III USM; Wild Animals in Serengeti; Serengeti National Park, Tanzania; F4; Exif Version 0231; Flash did not fire, dial mode 1; sRGB; No digital zoom; Auto white balance; 1m - infinite; 5472; 3648; -3.3841; 34.8482; 2022:05:11 12:20:00; Adobe Lightroom Classic 11.3; Captured the big five in their natural habitat
1; Nikon; AF-S NIKKOR 50mm f/1.4G; Street Musician in New York; New York City, USA; F2.2; Exif Version 0230; Flash did not fire, auto; Adobe RGB (1998); No digital zoom; Auto1 white balance; 0.4m - infinite; 4928; 3264; 40.7128; -74.0060; 2022:04:02 15:30:00; Capture NX-D 1.5; Incredible street performance
2; Sony; FE 16-35mm f/2.8 GM; Milky Way from Atacama Desert; Atacama Desert, Chile; F2.8; Exif Version 0232; Flash did not fire, bulb; sRGB; No digital zoom; Auto white balance; Infinity; 8000; 6000; -22.9176; -68.6458; 2022:06:15 03:20:00; Imaging Edge Desktop 3.3; Breathtaking starry night
3; Fujifilm; XF 56mm f/1.2 R; Bride and Groom's First Dance; The Ritz, London, UK; F1.6; Exif Version 0221; Flash fired, auto; sRGB; No digital zoom; Auto white balance; 1m - infinite; 6000; 4000; 51.5074; -0.1278; 2022:02:14 20:00:00; Film Simulation Streets 4.3; Perfectly timed first dance photo
4; Panasonic; Lumix G Leica DG Vario-Elmarit 12-60mm f/2.8-4 ASPH Power OIS; Sunset over the Great Wall; Mutianyu, China; F4; Exif Version 0220; Flash did not fire, auto; Adobe RGB (1998); No digital zoom; Cloudy white balance; 10m - infinite; 6000; 4000; 40.4430; 116.0408; 2022:09:27 18:35:00; LUMIX Tether for Streaming 1.1; Majestic sunset over the historic landmark
5; Olympus; M.Zuiko Digital ED 40-150mm f/2.8 PRO; Red Squirrel in Algonquin Provincial Park; Algonquin Provincial Park, Canada; F3.5; Exif Version 0210; Flash did not fire, dial mode 1; sRGB; No digital zoom; Auto white balance; 2m - 5m; 4608; 3456; 45.6950; -78.5617; 2022:10:12 10:25:00; Olympus Workspace 3.2; Adorable red squirrel in autumn forest
6; Sigma; 14-24mm f/2.8 DG HSM Art; Northern Lights in Iceland; Kirkjufell, Iceland; F2.8; Exif Version 0231; Flash did not fire, bulb; sRGB; No digital zoom; Auto white balance; Infinity; 7360; 4912; 64.9201; -23.0334; 2022:03:20 01:10:00; SIGMA Photo Pro 6.8; Magical aurora borealis over Kirkjufell mountain
7; Hasselblad; XCD 45mm f/3.5; Portrait of a Maasai Warrior; Maasai Mara, Kenya; F4.5; Exif Version 0211; Flash did not fire, dial mode 1; sRGB; No digital zoom; Auto white balance; 2m - 3m; 5500; 3678; -1.3485; 35.5900; 2022:11:29 16:10:00; Phocus 3.5; Beautiful Maasai warrior portrait
8; Pentax; HD Pentax-DA ★ 20-40mm f/2.8-4 ED DC WR; Morning Fog on Mount Fuji; Fuji Five Lakes, Japan; F5; Exif Version 0221; Flash did not fire, dial mode 1; sRGB; No digital zoom; Auto white balance; 10m - infinite; 5472; 3648; 35.3620; 138.7228; 2022:07:08 06:30:00; Digital Camera Utility 5.7; Serene Mount Fuji in morning fog
9; Leica; Summilux-M 50mm f/1.4 ASPH; Café Culture in Vienna; Vienna, Austria; F2; Exif Version 0221; Flash fired, auto; sRGB; No digital zoom; Auto white balance; 0.5m - 1m; 4256; 2864; 48.2082; 16.3738; 2022:12:18 11:55:00; Leica Image Shuttle 3.6; Exquisite café culture in Vienna</s>
