;Theater Type; Dance Style(s); Choreographer/Director*; Music Composer/Audio Engineer*; Lyricist(**); Playwright/Scriptwriter*; Set Designer/*; Costume Designer; Lighting Technician; Sound Engineer; Stage Manager (*); Production Company (if applicable)
0; Musical Theater; Ballet, Modern; George Balanchine; Igor Stravinsky; W.H. Auden; Jean Cocteau; Jo Mielziner; Christian Lacroix; Jean Rosenthal; Abe Jacob; Joe Haspel; New York City Ballet
1; Opera; Bel Canto; Franco Zeffirelli; Giuseppe Verdi; Piave/Somma; Luchino Visconti; Pier Luigi Pizzi; Gianni Versace; Giorgio Germont; Placido Domingo; James Levine; The Metropolitan Opera
2; Playhouse; Realism; Sam Mendes; Arvo Pärt; Tom Stoppard; Tony Kushner; Vicki Mortimer; Nicholas Hytner; Bob Crowley; Paul Arditti; Mark Henderson; Royal Shakespeare Company
3; Children's Theater; Mime, Physical Comedy; Julie Taymor; Ella Jenkins; Ariana DeBose; James Lapine; Michael Curry; Ann Hould-Ward; Natasha Katz; Brian Ronan; Toni-Leslie James; Disney Theatrical Productions
4; Experimental Theater; Butoh, Improvisation; Robert Wilson; Philip Glass; Heiner Müller; Robert Lepage; Susan Hilferty; Alison Chitty; Jennifer Tipton; Chris Kondek; Ann Carson; Berliner Ensemble
5; Ballet; Neoclassical; Christopher Wheeldon; Leonard Bernstein; Maya Angelou; Jean-Pierre Gorin; Bob Crowley; Holly Hynes; Peter Mumford; Marc Salzberg; Martin Pakledinaz; The Royal Ballet
6; Musical; Pop, Contemporary; Casey Nicholaw; Cyndi Lauper; Harvey Fierstein; Sara Bareilles; David Zinn; Paul Tazewell; Jules Fisher; Brian Ronan; Michael Starobin; Broadway Across America
7; Dance-Drama; Contemporary; Pina Bausch; Henryk Górecki; Friedrich Nietzsche; Goethe; Peter Pabst; Marion Cito; Manfred Voss; André Semenza; Rolf Borzik; Tanztheater Wuppertal Pina Bausch
8; Immersive Theater; Site-Specific; Felix Barrett; Max Richter; Mark Ravenhill; James Seager; Livi Vaughan; Samal Blak; Stephen Dobbie; Natasha Chivers; Basia Bińkowska; Punchdrunk
9; Opera; Baroque; Robert Carsen; George Frideric Handel; Nicola Haym/Apostolo Zeno; Jonathan Dove; Robert Carsen; Alison Chitty; Michel Larivière; Giuliano De'Angelis; Peter Sellars; Glyndebourne Festival Opera</s>
