;Photo Title; Category; Location; Post Processor; Editing Details; Photo Orientation; Aspect Ratio; Color Space; White Balance; Flash Mode; Exposure Program; Focus Mode; Metering Mode; ISO Setting; Noise Reduction; Sharpening.
0;" ""Milky Way Over Horseshoe Bend"""; Landscape; Page, Arizona; Adobe Lightroom; Increased contrast, clarity, and vibrance; Landscape; 3:2; sRGB; Auto; No flash; Aperture priority; Continuous autofocus; Multi-segment; 3200; High; Standard
1;"""Red Panda Close-Up"""; Wildlife; Chengdu, China; Adobe Camera Raw; Increased sharpness, reduced highlights; Portrait; 4:3; ProPhoto RGB; Custom (4850K); External flash; Manual; Single autofocus; Spot; 800; Low; Low
2;"""Autumn in Central Park"""; Cityscape; New York, New York; Capture One Pro; Decreased saturation, increased shadows; Cityscape; 16:9; sRGB; Auto; No flash; Shutter priority; Continuous autofocus; Center-weighted; 200; Low; Standard
3;"""Frozen Waterfall"""; Nature; Banff, Canada; DxO PhotoLab; Increased exposure, clarified detail; Landscape; 3:2; Adobe RGB; Auto; No flash; Aperture priority; Single autofocus; Evaluative; 100; Low; Standard
4;"""Abstract Architecture"""; Abstract; Chicago, Illinois; Skylum Luminar AI; Enhanced details, increased contrast; Panoramic; 2.39:1; ProPhoto RGB; Custom (6500K); No flash; Manual; Manual focus; Matrix; 1600; Medium; High
5;"""Sunset on the Beach"""; Seascape; Maui, Hawaii; ON1 Photo RAW; Boosted shadows, decreased clarity; Panoramic; 16:9; sRGB; Auto; Fill flash; Aperture priority; Continuous autofocus; Average; 200; Low; Standard
6;"""Birds in Flight"""; Wildlife; Kruger, South Africa; Topaz Studio; Increased exposure, reduced noise; Landscape; 3:2; ProPhoto RGB; Auto; No flash; Shutter priority; Continuous autofocus; Multi-segment; 1600; High; High
7;"""Winter Wonderland"""; Cityscape; Quebec City, Canada; Exposure X6; Enhanced contrast, shadow detail; Cityscape; 4:3; Adobe RGB; Custom (5200K); No flash; Aperture priority; Single autofocus; Center-weighted; 400; Low; Standard
8;"""Minimalist Geometry"""; Abstract; Berlin, Germany; PortraitPro; Increased saturation, reduced highlights; Square; 1:1; sRGB; Auto; No flash; Manual; Manual focus; Spot; 800; Low; Low
9;"""Soft, Dreamy Forest"""; Nature; Smoky Mountains, Tennessee; ACDSee Photo Studio; Reduced clarity, increased vibrance; Landscape; 3:2; ProPhoto RGB; Auto; No flash; Aperture priority; Single autofocus; Evaluative; 100; Low; Standard</s>
