;RelatedPhilosophicalConcept; RelatedMajorTheorist; RelatedPhilosophyCount; RelatedInfluentialWork; UnrelatedColumn5; UnrelatedColumn6; UnrelatedColumn7; UnrelatedColumn8; UnrelatedColumn9; UnrelatedColumn10; UnrelatedColumn11; UnrelatedColumn12
0;  Ethical Naturalism; John Dewey; 1; Ethics; The Quest for Certainty; NA; NA; NA; NA; NA; NA; NA  NA
1; Phenomenology; Martin Heidegger; 2; Being and Time; NA; NA; NA; NA; NA; NA; NA; NA
2; Existentialism; Jean-Paul Sartre; 3; Being and Nothingness; NA; NA; NA; NA; NA; NA; NA; NA
3; Stoicism; Epictetus; 4; Enchiridion; NA; NA; NA; NA; NA; NA; NA; NA
4; Empiricism; John Locke; 5; An Essay Concerning Human Understanding; NA; NA; NA; NA; NA; NA; NA; NA
5; Rationalism; René Descartes; 6; Meditations on First Philosophy; NA; NA; NA; NA; NA; NA; NA; NA
6; Pragmatism; William James; 7; Pragmatism: A New Name for Some Old Ways of Thinking; NA; NA; NA; NA; NA; NA; NA; NA
7; Skepticism; David Hume; 8; An Enquiry Concerning Human Understanding; NA; NA; NA; NA; NA; NA; NA; NA
8; Idealism; Immanuel Kant; 9; Critique of Pure Reason; NA; NA; NA; NA; NA; NA; NA; NA
9; Confucianism; Confucius; 10; The Analects; NA; NA; NA; NA; NA; NA; NA; NA</s>
